time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741606.0344062,RIGHT_HAND,8484,-14856,3464,-621,703,-955,128
1729741606.0791483,RIGHT_HAND,11028,-14392,9524,1114,3399,-4305,130
1729741606.1261642,RIGHT_HAND,13152,-10692,13808,7142,1184,-9288,132
1729741606.2145538,RIGHT_HAND,12444,-13296,18156,21768,-9687,-6273,134
1729741606.2593672,RIGHT_HAND,11192,-17792,18788,28199,-12407,-11277,136
1729741606.3045745,RIGHT_HAND,11000,-17740,18560,32767,-5340,-16054,138
1729741606.3495317,RIGHT_HAND,10484,-16240,18180,32767,-4353,-16523,139
1729741606.3940194,RIGHT_HAND,10320,-14432,16532,32767,-5929,-15789,140
1729741606.3944356,RIGHT_HAND,10072,-12608,13984,32470,-8416,-14288,141
1729741606.4390366,RIGHT_HAND,8936,-10748,9736,29471,-10374,-13154,142
1729741606.484417,RIGHT_HAND,7516,-8676,7408,24776,-9686,-11753,143
1729741606.5300224,RIGHT_HAND,7248,-6684,4440,19193,-7443,-10075,144
1729741606.5312376,RIGHT_HAND,7072,-5224,2592,12720,-4173,-8834,145
1729741606.5745058,RIGHT_HAND,6972,-3096,2160,7803,-1210,-7321,146
1729741606.619262,RIGHT_HAND,7104,-1152,496,2716,1060,-4175,147
1729741606.620003,RIGHT_HAND,7268,32,52,-1981,673,-474,148
1729741606.6643324,RIGHT_HAND,6712,660,220,-6723,-1620,4982,149
1729741606.710546,RIGHT_HAND,6328,-400,1496,-10473,-2330,9944,150
1729741606.7543194,RIGHT_HAND,6688,-2540,2072,-15344,-120,12953,151
1729741606.755087,RIGHT_HAND,8668,-4808,4412,-20206,3402,15073,152
1729741606.799714,RIGHT_HAND,9888,-6400,6748,-22830,7674,16830,153
1729741606.8007815,RIGHT_HAND,11220,-8856,10436,-25279,10026,17811,154
1729741606.8453958,RIGHT_HAND,13032,-11608,13276,-27596,7866,18427,155
1729741606.93537,RIGHT_HAND,14376,-12832,13996,-28768,5165,18437,156
1729741606.9361343,RIGHT_HAND,13888,-7748,23408,-32768,2343,27803,157
1729741606.9810035,RIGHT_HAND,812,14348,28520,-24977,12335,19509,158
1729741606.98176,RIGHT_HAND,17200,-27040,4196,-15439,-6813,21599,159
1729741606.982536,RIGHT_HAND,11620,-21244,9044,-24826,5695,16992,160
1729741607.0255485,RIGHT_HAND,12376,-17916,11392,-24685,7034,11288,161
1729741607.0851672,RIGHT_HAND,11516,-15804,11192,-20993,4419,9129,162
1729741607.0857308,RIGHT_HAND,10316,-15076,8244,-15748,2167,8906,163
1729741607.1141868,RIGHT_HAND,9408,-16124,7000,-11809,4269,7684,164
1729741607.2040668,RIGHT_HAND,8372,-16648,7028,-10362,7593,5218,165
1729741607.2045047,RIGHT_HAND,7448,-15340,6956,-9879,10884,2802,166
1729741607.250518,RIGHT_HAND,7984,-14508,6640,-8060,13556,1598,167
1729741607.2513835,RIGHT_HAND,8156,-14196,7444,-5701,13192,655,168
1729741607.2954965,RIGHT_HAND,7752,-14184,7056,-3929,11529,245,169
1729741607.2962563,RIGHT_HAND,7900,-14748,6848,-2808,11249,-222,170
