time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451395.3055534,RIGHT_LEG,14804,5164,5288,206,-614,181,19
1730451395.3945966,RIGHT_LEG,14908,5136,5040,197,-647,203,21
1730451395.4392593,RIGHT_LEG,14932,5084,5216,253,-610,245,23
1730451395.5292482,RIGHT_LEG,14960,5124,5140,231,-466,151,25
1730451395.6191573,RIGHT_LEG,14996,5048,5052,255,-324,91,27
1730451395.6200135,RIGHT_LEG,14952,5092,5064,349,-263,71,28
1730451395.664265,RIGHT_LEG,14920,5144,4932,261,-218,48,29
1730451395.7092066,RIGHT_LEG,14868,5320,4832,218,-136,-29,30
1730451395.7099113,RIGHT_LEG,14960,4992,4768,271,49,-67,31
1730451395.7542775,RIGHT_LEG,14924,5116,4976,254,105,-111,32
1730451395.7998059,RIGHT_LEG,15072,4956,5004,175,162,-104,33
1730451395.8007212,RIGHT_LEG,14840,4988,5200,184,169,-101,34
1730451395.8447864,RIGHT_LEG,14976,5096,5132,172,145,-125,35
1730451395.8892527,RIGHT_LEG,14840,5248,5060,194,173,-75,36
1730451395.9342346,RIGHT_LEG,14956,5128,5148,90,225,-119,37
1730451395.9350574,RIGHT_LEG,14936,5004,5176,161,264,-37,38
1730451395.979756,RIGHT_LEG,14836,5096,5532,138,217,-51,39
1730451396.024045,RIGHT_LEG,14856,5140,5412,138,188,-9,40
1730451396.0248406,RIGHT_LEG,14896,5116,5312,4,230,-54,41
1730451396.0692542,RIGHT_LEG,14956,5008,5396,58,170,-28,42
1730451396.114627,RIGHT_LEG,14836,5000,5292,18,144,-26,43
1730451396.1154368,RIGHT_LEG,14888,5132,5140,19,223,-29,44
1730451396.159749,RIGHT_LEG,14788,5060,5688,54,133,9,45
1730451396.2492712,RIGHT_LEG,14792,5028,5472,29,36,-25,46
1730451396.25004,RIGHT_LEG,14916,4868,5424,61,58,-64,47
1730451396.294782,RIGHT_LEG,14804,5120,5472,72,82,-75,48
1730451396.2955208,RIGHT_LEG,14788,5084,5600,133,73,4,49
1730451396.296921,RIGHT_LEG,14820,5060,5352,136,79,-66,50
1730451396.3391695,RIGHT_LEG,14776,5064,5508,128,155,-89,51
1730451396.384247,RIGHT_LEG,14804,5000,5552,143,136,-74,52
1730451396.4297426,RIGHT_LEG,14840,4984,5780,257,58,38,53
1730451396.4305727,RIGHT_LEG,14772,5136,5752,233,-3,16,54
1730451396.5191443,RIGHT_LEG,14768,5176,5544,172,-76,2,55
1730451396.5199068,RIGHT_LEG,14812,5092,5476,196,-66,38,56
1730451396.5647366,RIGHT_LEG,14848,5212,5708,148,-40,-57,57
1730451396.5654469,RIGHT_LEG,14828,4824,5832,192,-175,49,58
1730451396.5661373,RIGHT_LEG,14824,5000,5580,204,-218,-35,59
1730451396.6098225,RIGHT_LEG,14960,5008,5216,188,-119,-35,60
1730451396.6542444,RIGHT_LEG,14692,5096,5804,212,-152,21,61
1730451396.699215,RIGHT_LEG,14888,5020,5840,244,-288,64,62
1730451396.6999624,RIGHT_LEG,14872,4892,5532,165,-304,55,63
1730451396.789219,RIGHT_LEG,14804,4824,5412,197,-235,2,64
1730451396.8341954,RIGHT_LEG,14676,5228,5656,258,-197,44,65
1730451396.8349335,RIGHT_LEG,14724,5184,5580,145,-172,-16,66
1730451396.8356452,RIGHT_LEG,14896,5012,5248,123,-135,-53,67
1730451396.8792279,RIGHT_LEG,14736,5148,5584,284,-56,35,68
1730451396.9241395,RIGHT_LEG,14820,5044,5500,202,13,-11,69
1730451396.9690678,RIGHT_LEG,14868,4844,5756,227,-18,-3,70
1730451396.9698544,RIGHT_LEG,14756,5212,5776,170,-79,-41,71
1730451397.0145073,RIGHT_LEG,14780,5036,5452,176,-99,37,72
1730451397.0153055,RIGHT_LEG,14628,5040,5620,167,-87,5,73
