time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741615.8027468,RIGHT_LEG,14616,2228,7284,264,-97,-46,95
1729741615.846908,RIGHT_LEG,14640,2308,7472,301,-125,36,97
1729741615.8933601,RIGHT_LEG,14508,2432,7368,263,-146,-1,99
1729741615.982799,RIGHT_LEG,14660,2332,7180,350,-304,-45,101
1729741616.0276847,RIGHT_LEG,14608,2148,7256,224,-452,-197,103
1729741616.072185,RIGHT_LEG,14724,2096,7384,243,-452,-266,104
1729741616.0729346,RIGHT_LEG,14672,2432,7152,230,-383,-288,105
1729741616.1174319,RIGHT_LEG,14716,2436,7096,289,-339,-242,106
1729741616.162182,RIGHT_LEG,14720,2404,7240,376,-282,-211,107
1729741616.1629176,RIGHT_LEG,14672,2320,7088,329,-265,-223,108
1729741616.2072635,RIGHT_LEG,14772,2408,7096,360,-174,-138,109
1729741616.252297,RIGHT_LEG,14752,2544,7080,395,-42,-114,110
1729741616.253123,RIGHT_LEG,14616,2492,7112,437,11,2,111
1729741616.2972548,RIGHT_LEG,14664,2500,7128,290,54,-2,112
1729741616.3422341,RIGHT_LEG,14580,2616,7256,374,137,108,113
1729741616.3429596,RIGHT_LEG,14624,2320,7304,187,66,30,114
1729741616.3872142,RIGHT_LEG,14676,2524,7300,274,63,113,115
1729741616.4322796,RIGHT_LEG,14656,2456,7276,246,160,127,116
1729741616.4330225,RIGHT_LEG,14628,2324,7364,189,112,129,117
1729741616.4773467,RIGHT_LEG,14588,2436,7364,228,108,151,118
1729741616.5672164,RIGHT_LEG,14620,2216,7620,228,71,162,119
1729741616.5679479,RIGHT_LEG,14652,2260,7332,167,60,118,120
1729741616.5686557,RIGHT_LEG,14440,2408,7676,361,72,172,121
1729741616.6122189,RIGHT_LEG,14500,2032,7288,112,-60,63,122
1729741616.6573226,RIGHT_LEG,14552,2276,7616,276,-68,87,123
1729741616.6580284,RIGHT_LEG,14636,2120,7444,175,-134,-24,124
1729741616.7022429,RIGHT_LEG,14592,2412,7316,141,-58,26,125
1729741616.7472267,RIGHT_LEG,14616,2272,7588,152,-114,89,126
1729741616.747949,RIGHT_LEG,14532,2264,7348,119,-107,113,127
1729741616.792244,RIGHT_LEG,14732,2296,7532,194,-71,106,128
1729741616.8382182,RIGHT_LEG,14508,2096,7416,102,-87,95,129
1729741616.8389566,RIGHT_LEG,14544,2316,7112,50,-24,118,130
1729741616.8822474,RIGHT_LEG,14636,2268,7348,184,89,235,131
1729741616.927187,RIGHT_LEG,14532,2296,7100,68,40,218,132
1729741616.9279177,RIGHT_LEG,14620,2080,7452,250,106,270,133
1729741616.972241,RIGHT_LEG,14636,2056,7328,144,137,205,134
1729741617.0172431,RIGHT_LEG,14552,2060,7712,239,118,230,135
1729741617.0180013,RIGHT_LEG,14584,1888,7456,136,102,125,136
1729741617.0622094,RIGHT_LEG,14636,2132,7492,140,110,88,137
1729741617.1072233,RIGHT_LEG,14636,1732,7684,159,65,36,138
1729741617.107977,RIGHT_LEG,14512,2020,7468,142,75,16,139
1729741617.1525254,RIGHT_LEG,14592,1896,7576,174,78,-72,140
1729741617.2422235,RIGHT_LEG,14492,1952,7676,204,6,-121,141
1729741617.242959,RIGHT_LEG,14596,2012,7620,282,-27,-129,142
1729741617.2873409,RIGHT_LEG,14516,2156,7548,238,-113,-162,143
1729741617.288117,RIGHT_LEG,14568,2060,7544,317,-94,-141,144
1729741617.3321848,RIGHT_LEG,14504,1864,7648,307,-114,-77,145
1729741617.3329148,RIGHT_LEG,14496,2284,7516,288,-126,-75,146
