time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741920.9914596,RIGHT_HAND,2252,-18164,964,-1687,413,3589,221
1729741921.0805998,RIGHT_HAND,1328,-15092,1384,-3332,3794,-769,223
1729741921.125484,RIGHT_HAND,2320,-15716,2012,-390,8460,-3280,225
1729741921.1713328,RIGHT_HAND,4996,-14644,2988,200,10607,-3243,227
1729741921.260467,RIGHT_HAND,7204,-14932,3804,142,6059,-373,229
1729741921.3053308,RIGHT_HAND,8388,-14680,2344,329,4482,2765,231
1729741921.3954604,RIGHT_HAND,9120,-15044,2624,24,3215,3613,232
1729741921.3964016,RIGHT_HAND,9540,-15820,2988,49,1095,4471,233
1729741921.440789,RIGHT_HAND,10004,-17708,3592,-219,-782,4569,234
1729741921.4415627,RIGHT_HAND,9552,-17592,3504,-2587,-3222,2685,235
1729741921.4850104,RIGHT_HAND,8728,-15376,2840,-2769,-4595,534,236
1729741921.4854598,RIGHT_HAND,7652,-14520,2688,-529,-4661,-778,237
1729741921.530168,RIGHT_HAND,7028,-15812,2816,365,-3959,-2123,238
1729741921.5751219,RIGHT_HAND,6580,-15808,3036,-659,-2353,-3822,239
1729741921.575693,RIGHT_HAND,6176,-15036,3264,-155,-800,-4647,240
1729741921.6203475,RIGHT_HAND,6288,-15116,3556,951,-309,-4822,241
1729741921.6650267,RIGHT_HAND,6204,-15212,3788,1279,-603,-4650,242
1729741921.6658967,RIGHT_HAND,6184,-15024,3960,1749,-1514,-3921,243
1729741921.7100108,RIGHT_HAND,5856,-14920,4052,1983,-2712,-2730,244
1729741921.7550354,RIGHT_HAND,5636,-15160,3868,1693,-3601,-1648,245
1729741921.7558312,RIGHT_HAND,5204,-14932,3556,1034,-4534,-1136,246
1729741921.8000226,RIGHT_HAND,4492,-13936,2768,1016,-4613,-426,247
1729741921.845396,RIGHT_HAND,4124,-14960,2464,1635,-3590,1087,248
1729741921.8461642,RIGHT_HAND,3868,-16512,2540,164,-2385,1547,249
1729741921.8901765,RIGHT_HAND,3620,-15400,2128,-1781,-867,1278,250
1729741921.9349835,RIGHT_HAND,3504,-14772,2132,-1051,1017,1817,251
1729741921.9353757,RIGHT_HAND,4008,-15924,2632,-582,2337,2212,252
1729741921.9801023,RIGHT_HAND,4572,-16064,2828,-1717,2645,1661,253
1729741922.0251243,RIGHT_HAND,4248,-14972,2772,-1601,2426,1596,254
1729741922.0258172,RIGHT_HAND,4600,-16368,2396,-42,2321,2314,255
1729741922.0701416,RIGHT_HAND,5140,-18356,2692,-1125,3458,1757,1
1729741922.1150477,RIGHT_HAND,5276,-18044,3280,-2977,3789,734,2
1729741922.1154313,RIGHT_HAND,5016,-16804,3604,-3012,4546,-524,3
1729741922.1608381,RIGHT_HAND,4424,-14832,3616,-3118,5535,-1962,4
1729741922.2055573,RIGHT_HAND,4664,-13580,3420,-1563,7003,-2475,5
1729741922.2503493,RIGHT_HAND,5544,-14156,4044,315,7099,-2047,6
1729741922.2511327,RIGHT_HAND,5812,-15560,4708,325,5722,-1306,7
1729741922.2954977,RIGHT_HAND,6312,-15440,4612,-1021,3870,-698,8
1729741922.3415275,RIGHT_HAND,6204,-14324,4420,-1428,2154,-209,9
1729741922.3422842,RIGHT_HAND,6012,-13960,4568,-548,581,385,10
1729741922.3855436,RIGHT_HAND,5768,-14900,4700,122,-644,691,11
1729741922.4304059,RIGHT_HAND,5380,-15436,4512,-362,-1025,310,12
1729741922.4311829,RIGHT_HAND,5192,-15132,4368,-427,-340,14,13
1729741922.4755452,RIGHT_HAND,5180,-15596,4520,-38,571,-55,14
1729741922.5208676,RIGHT_HAND,5276,-15780,4776,-318,871,-397,15
1729741922.5216343,RIGHT_HAND,5208,-15316,4932,-96,800,-659,16
1729741922.5654776,RIGHT_HAND,5236,-15020,4816,538,450,-605,17
1729741922.6105576,RIGHT_HAND,5248,-15280,4668,794,-129,-412,18
1729741922.6113088,RIGHT_HAND,5292,-15384,4616,588,-726,-123,19
1729741922.655546,RIGHT_HAND,5140,-15372,4372,240,-1181,171,20
1729741922.7005002,RIGHT_HAND,5004,-15428,4148,61,-1116,379,21
1729741922.7012532,RIGHT_HAND,5124,-15296,4264,-145,-958,493,22
1729741922.7465365,RIGHT_HAND,5064,-15404,4244,-116,-914,537,23
1729741922.7908406,RIGHT_HAND,5108,-15688,4580,-185,-1141,558,24
1729741922.7916026,RIGHT_HAND,5044,-15784,4752,-329,-1307,445,25
1729741922.8353674,RIGHT_HAND,4972,-15640,4604,-314,-1352,416,26
1729741922.8808124,RIGHT_HAND,4964,-15364,4692,-515,-1296,339,27
1729741922.881604,RIGHT_HAND,4988,-15248,4472,-388,-1433,362,28
1729741922.9254882,RIGHT_HAND,4952,-15340,4620,-343,-1626,404,29
1729741922.97053,RIGHT_HAND,4904,-15464,4760,-523,-1585,383,30
1729741923.0604367,RIGHT_HAND,4920,-15268,4560,-703,-1333,275,31
1729741923.06117,RIGHT_HAND,4996,-15224,4776,-609,-1220,408,32
1729741923.1061363,RIGHT_HAND,5008,-15368,4840,-753,-1590,454,33
1729741923.106893,RIGHT_HAND,5076,-15172,4744,-813,-1821,394,34
1729741923.1076381,RIGHT_HAND,5040,-15332,4596,-574,-1807,403,35
1729741923.1505113,RIGHT_HAND,5084,-15700,4532,-640,-1748,365,36
1729741923.195812,RIGHT_HAND,5048,-15648,4500,-874,-1742,209,37
1729741923.1966026,RIGHT_HAND,5020,-15528,4516,-752,-1473,62,38
1729741923.2405589,RIGHT_HAND,5220,-15688,4180,-758,-1275,-151,39
1729741923.2854993,RIGHT_HAND,5212,-15692,4276,-804,-1145,-429,40
1729741923.2862105,RIGHT_HAND,5088,-15532,4300,-885,-906,-836,41
1729741923.3300738,RIGHT_HAND,5016,-15108,4204,-706,-408,-1109,42
1729741923.375836,RIGHT_HAND,5104,-15448,4520,-308,-29,-996,43
1729741923.3767903,RIGHT_HAND,5448,-15684,4540,-780,-462,-736,44
1729741923.4204805,RIGHT_HAND,5596,-15272,4332,-1170,-908,-479,45
1729741923.4650495,RIGHT_HAND,5488,-15264,4212,-978,-1158,-274,46
1729741923.4657905,RIGHT_HAND,5480,-15244,4240,-977,-1060,-437,47
1729741923.5105689,RIGHT_HAND,5572,-15004,4136,-1005,-985,-591,48
1729741923.5550425,RIGHT_HAND,5536,-14956,4036,-708,-957,-486,49
1729741923.5555563,RIGHT_HAND,5408,-15296,4212,-765,-987,-380,50
