time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741938.94888,RIGHT_LEG,19684,12232,-5252,2761,-9827,-9742,234
1729741938.9932418,RIGHT_LEG,28328,11460,5040,24922,-24551,-20803,236
1729741939.0389137,RIGHT_LEG,32767,8236,16836,32767,-32768,-26115,238
1729741939.1282961,RIGHT_LEG,32767,8248,22808,28642,-32768,-28995,240
1729741939.1731963,RIGHT_LEG,32767,8864,18492,17682,-32768,-28154,242
1729741939.2631893,RIGHT_LEG,23720,3612,13460,10736,-25032,-20271,244
1729741939.2638564,RIGHT_LEG,18084,1004,12772,6973,-16778,-12910,245
1729741939.3082104,RIGHT_LEG,12332,1332,10692,13725,-9557,-4045,246
1729741939.3532224,RIGHT_LEG,8628,-2576,11212,18405,-5961,1943,247
1729741939.353898,RIGHT_LEG,5916,-3284,11700,19137,-4693,3830,248
1729741939.3983023,RIGHT_LEG,3512,-3508,12796,14465,-2021,3613,249
1729741939.4428754,RIGHT_LEG,1928,-4208,12400,7923,1801,2546,250
1729741939.4432313,RIGHT_LEG,2088,-4404,10700,1131,4712,418,251
1729741939.488299,RIGHT_LEG,4808,-2760,8152,-3486,7699,-131,252
1729741939.5331862,RIGHT_LEG,8140,-1120,7108,-7109,11456,1443,253
1729741939.533859,RIGHT_LEG,11472,512,6764,-10010,15944,3873,254
1729741939.5782259,RIGHT_LEG,14808,1532,5760,-11994,19255,6106,255
1729741939.623384,RIGHT_LEG,17328,4556,7572,-13951,21975,7872,1
1729741939.6241128,RIGHT_LEG,21576,4440,6296,-12724,24439,11182,2
1729741939.6682808,RIGHT_LEG,23800,4648,6080,-10369,26548,14280,3
1729741939.7132354,RIGHT_LEG,24300,2812,6556,-9553,27478,16069,4
1729741939.713985,RIGHT_LEG,26564,4240,7556,-9021,27102,16164,5
1729741939.7582018,RIGHT_LEG,25832,4768,8176,-9743,25434,15612,6
1729741939.803211,RIGHT_LEG,24236,5000,7144,-10114,22280,14396,7
1729741939.8039033,RIGHT_LEG,25636,4148,6480,-12131,17733,11357,8
1729741939.8482757,RIGHT_LEG,25372,6144,5408,-15225,13135,6407,9
1729741939.8933816,RIGHT_LEG,19648,5892,2784,-12524,9521,4184,10
1729741939.89416,RIGHT_LEG,16168,2980,1864,-7393,3899,2118,11
1729741939.9382324,RIGHT_LEG,31188,-2372,4652,-9309,-764,6351,12
1729741940.0282547,RIGHT_LEG,22512,27140,-7084,-1534,-5862,-10176,13
1729741940.0289292,RIGHT_LEG,19968,10120,22232,26370,-1345,4126,14
1729741940.0295951,RIGHT_LEG,16780,104,6212,1491,-4310,-7065,15
1729741940.0733278,RIGHT_LEG,16728,-660,7384,2314,-3954,-6841,16
1729741940.118205,RIGHT_LEG,14684,6744,8660,2777,-3938,-4686,17
1729741940.1188931,RIGHT_LEG,15140,5552,7640,3416,-3104,-3700,18
1729741940.1632636,RIGHT_LEG,15168,2200,6888,3732,-2125,-2165,19
1729741940.2082894,RIGHT_LEG,13964,1992,6988,1823,-1616,-2682,20
1729741940.2089856,RIGHT_LEG,14804,3680,7180,1626,-1049,-1812,21
1729741940.2532756,RIGHT_LEG,14224,2824,7672,2151,-608,-1060,22
1729741940.2982152,RIGHT_LEG,14512,2436,7444,1301,-383,-924,23
1729741940.2989044,RIGHT_LEG,14484,2804,7972,1305,-266,-768,24
1729741940.3432574,RIGHT_LEG,14188,1820,8244,1239,-484,-810,25
1729741940.3883374,RIGHT_LEG,14388,2380,7508,511,-608,-1232,26
1729741940.3890288,RIGHT_LEG,14364,3312,7424,330,-259,-881,27
1729741940.4332664,RIGHT_LEG,14156,3124,7364,826,49,-327,28
1729741940.478208,RIGHT_LEG,14152,2660,7916,658,99,-151,29
1729741940.4789512,RIGHT_LEG,14268,3060,7592,405,157,-39,30
1729741940.5233536,RIGHT_LEG,14292,2872,7696,547,287,198,31
1729741940.568316,RIGHT_LEG,14312,1924,7836,469,279,138,32
1729741940.569009,RIGHT_LEG,14132,3036,7828,84,249,17,33
1729741940.6583943,RIGHT_LEG,14188,2740,7912,163,318,270,34
1729741940.7031877,RIGHT_LEG,14120,2912,7900,-46,302,381,35
1729741940.7038991,RIGHT_LEG,14088,2628,8180,23,294,626,36
1729741940.7045991,RIGHT_LEG,14000,2636,7988,77,252,742,37
1729741940.7942662,RIGHT_LEG,14176,2576,8188,191,159,713,38
1729741940.8382704,RIGHT_LEG,13956,2196,8320,643,52,749,39
1729741940.8832495,RIGHT_LEG,14112,2212,8100,503,-94,577,40
1729741940.8839421,RIGHT_LEG,14200,2076,8280,943,50,648,41
1729741940.9282522,RIGHT_LEG,14292,2032,7852,589,-195,630,42
1729741940.9289792,RIGHT_LEG,14116,2220,8060,592,-33,745,43
1729741940.9731877,RIGHT_LEG,14472,1968,7652,279,-26,604,44
1729741941.018208,RIGHT_LEG,14660,2348,8072,409,32,627,45
1729741941.0188804,RIGHT_LEG,14316,1496,8260,462,-46,660,46
1729741941.0631826,RIGHT_LEG,14072,2028,8108,-63,-94,304,47
1729741941.1082172,RIGHT_LEG,14484,1332,8128,-20,-353,245,48
1729741941.1089413,RIGHT_LEG,14440,2764,8072,194,-363,-90,49
1729741941.1532261,RIGHT_LEG,14240,1740,8004,301,-408,125,50
1729741941.1981807,RIGHT_LEG,14236,1944,7964,313,-525,76,51
1729741941.1988926,RIGHT_LEG,14340,1788,7992,251,-439,11,52
1729741941.243209,RIGHT_LEG,14324,2200,8008,284,-440,55,53
1729741941.288401,RIGHT_LEG,14296,1892,8100,237,-479,41,54
1729741941.3332124,RIGHT_LEG,14216,1784,8104,163,-561,-22,55
1729741941.3338833,RIGHT_LEG,14520,2000,7700,5,-439,-34,56
1729741941.3781781,RIGHT_LEG,14352,2172,7840,-39,-426,44,57
1729741941.378845,RIGHT_LEG,14524,2004,7832,3,-327,14,58
1729741941.4234803,RIGHT_LEG,14388,1892,7756,28,-284,69,59
1729741941.4681787,RIGHT_LEG,14340,2184,7712,-10,-207,43,60
1729741941.4688578,RIGHT_LEG,14496,1788,7840,-27,-234,78,61
1729741941.5133355,RIGHT_LEG,14348,1864,8128,103,-190,33,62
1729741941.5582168,RIGHT_LEG,14376,1876,8036,133,-228,90,63
