time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451586.2851539,RIGHT_HAND,-9424,12732,9784,-2619,4067,-4495,221
1730451586.3300493,RIGHT_HAND,-9812,10804,12436,-10978,3615,-9297,223
1730451586.4194596,RIGHT_HAND,-8024,10072,11268,-16775,9252,-9989,225
1730451586.4645472,RIGHT_HAND,-4468,9236,9404,-17124,14132,-8432,227
1730451586.5552497,RIGHT_HAND,208,10372,7260,-16074,17126,-3382,229
1730451586.6002471,RIGHT_HAND,2992,14148,9404,-9466,12059,3889,231
1730451586.6444457,RIGHT_HAND,3608,13624,8812,-4387,5498,4658,232
1730451586.6452305,RIGHT_HAND,1652,13028,8732,-1567,-1984,5423,233
1730451586.6891248,RIGHT_HAND,-496,18268,8976,-4163,-6813,9639,234
1730451586.7356827,RIGHT_HAND,-5448,19220,8476,-2460,-11271,12077,235
1730451586.7368004,RIGHT_HAND,-9800,19396,11336,5309,-12402,6543,236
1730451586.7792246,RIGHT_HAND,-13548,15888,14552,7387,-15228,3035,237
1730451586.8702242,RIGHT_HAND,-14824,14924,14376,5691,-13338,1549,238
1730451586.8709917,RIGHT_HAND,-18808,13616,16172,3747,-10468,-2785,239
1730451586.9143052,RIGHT_HAND,-20232,13308,14744,4761,-7753,-5015,240
1730451586.915154,RIGHT_HAND,-22320,13284,15552,2027,-2078,-6458,241
1730451586.9159684,RIGHT_HAND,-25308,12684,20152,-2124,-3258,-10744,242
1730451586.959227,RIGHT_HAND,-27156,12976,21016,-1929,-8204,-16222,243
1730451587.0042415,RIGHT_HAND,-28516,14620,21516,-5812,-6104,-20948,244
1730451587.0050168,RIGHT_HAND,-25676,15672,19436,-14490,9873,-19909,245
1730451587.0501432,RIGHT_HAND,-20364,16704,21796,-19648,18516,-20092,246
1730451587.0946696,RIGHT_HAND,-16012,16776,20428,-17709,19243,-21660,247
1730451587.0955715,RIGHT_HAND,-12048,16372,17192,-12584,18849,-23274,248
1730451587.1391587,RIGHT_HAND,-8008,14280,12156,-8740,18923,-21915,249
1730451587.1852307,RIGHT_HAND,-5072,11784,9196,-8240,19758,-19141,250
1730451587.1861188,RIGHT_HAND,-2652,10644,6880,-8748,21032,-16165,251
