time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742157.4292195,RIGHT_HAND,8812,-15312,6412,372,-3433,-1237,37
1729742157.4749012,RIGHT_HAND,13480,-13064,9080,517,-7246,-9198,39
1729742157.5642624,RIGHT_HAND,14652,-13008,11544,15003,1842,-12764,41
1729742157.6099124,RIGHT_HAND,11220,-11048,12208,14919,-492,-16570,43
1729742157.654925,RIGHT_HAND,4444,-9004,5864,13960,-8400,-9452,45
1729742157.7455838,RIGHT_HAND,-2568,-8016,1900,6864,-11606,436,47
1729742157.7463465,RIGHT_HAND,-4164,-7188,960,4314,-13506,4365,48
1729742157.7892292,RIGHT_HAND,-5340,-6768,1604,5398,-8578,9289,49
1729742157.834667,RIGHT_HAND,312,-13256,-5032,6565,-3576,14335,50
1729742157.8353443,RIGHT_HAND,2248,-19460,-316,1408,4694,13619,51
1729742157.8792365,RIGHT_HAND,3264,-18364,6664,-8930,12824,13717,52
1729742157.9242256,RIGHT_HAND,8124,-16288,8216,-12016,13811,13430,53
1729742157.9249315,RIGHT_HAND,16812,-17484,10472,-10296,19602,7764,54
1729742157.9692519,RIGHT_HAND,18480,-17292,19584,-11874,7976,4376,55
1729742158.0142505,RIGHT_HAND,20296,-14532,16464,-5362,-3838,4017,56
1729742158.1055312,RIGHT_HAND,23372,-18168,11816,967,-6046,3179,57
1729742158.1063142,RIGHT_HAND,25928,-21796,10536,-778,1833,-3407,58
1729742158.1492424,RIGHT_HAND,28248,-20940,13412,-2570,7587,-10472,59
1729742158.149923,RIGHT_HAND,30148,-19356,18204,1696,9114,-14999,60
1729742158.1506093,RIGHT_HAND,31800,-19928,20440,5795,6098,-19069,61
1729742158.1948519,RIGHT_HAND,31420,-19476,21752,8576,2233,-23255,62
1729742158.23923,RIGHT_HAND,31172,-18184,21336,12737,-3726,-25210,63
1729742158.2399392,RIGHT_HAND,25640,-21576,23560,17822,-10529,-25676,64
