time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742075.1223798,RIGHT_LEG,14520,2568,7468,27,-11,107,57
1729742075.1681397,RIGHT_LEG,14448,3168,7168,-122,330,510,59
1729742075.257485,RIGHT_LEG,14436,3740,5944,-1919,1263,1213,61
1729742075.302507,RIGHT_LEG,13852,2460,7588,-1845,3117,2782,63
1729742075.348283,RIGHT_LEG,15220,2344,5396,-3883,6206,2952,65
1729742075.392532,RIGHT_LEG,14116,1648,6748,-3804,7182,3383,66
1729742075.4373338,RIGHT_LEG,12528,-2812,10552,-1480,6668,4128,67
1729742075.4381187,RIGHT_LEG,14896,1412,7660,-6092,7134,1019,68
1729742075.482348,RIGHT_LEG,12668,2080,9060,-5561,8390,2184,69
1729742075.5274348,RIGHT_LEG,9804,1160,10180,-4816,8091,3359,70
1729742075.5282807,RIGHT_LEG,11136,-2680,13248,-3868,6720,3103,71
1729742075.572572,RIGHT_LEG,13032,-2284,10592,-5494,6457,1932,72
1729742075.6177936,RIGHT_LEG,10176,1616,11332,-5827,6276,1973,73
1729742075.6187263,RIGHT_LEG,11232,-4332,12096,-3010,5862,2707,74
1729742075.6625485,RIGHT_LEG,11444,-2304,13008,-3233,5405,1783,75
1729742075.707498,RIGHT_LEG,10272,-2256,13712,-2954,4052,1145,76
1729742075.7082777,RIGHT_LEG,9808,-2876,14928,-1440,2416,1382,77
1729742075.7525284,RIGHT_LEG,9704,-3148,15304,-764,233,1151,78
1729742075.7975843,RIGHT_LEG,9804,-3916,14928,90,-1883,409,79
1729742075.8426416,RIGHT_LEG,10392,-4072,14416,1510,-3641,-330,80
1729742075.8434973,RIGHT_LEG,10892,-4320,13900,3331,-4844,-978,81
1729742075.889236,RIGHT_LEG,11124,-3548,12712,4646,-5570,-1686,82
1729742075.9322135,RIGHT_LEG,10868,-2816,12452,5643,-6419,-2224,83
1729742075.9326675,RIGHT_LEG,11492,-2208,11436,5635,-6877,-2923,84
1729742075.9774833,RIGHT_LEG,11952,-1424,10392,5293,-6778,-3515,85
1729742076.0228636,RIGHT_LEG,12100,-328,10068,4499,-6797,-3965,86
