time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451748.782758,RIGHT_LEG,14792,5232,5600,171,55,-134,79
1730451748.8721833,RIGHT_LEG,14996,4788,4412,133,885,-377,81
1730451748.9168997,RIGHT_LEG,15356,4492,3484,-219,3310,-1512,83
1730451748.9633808,RIGHT_LEG,15284,3756,4236,383,6431,-2659,85
1730451749.0531795,RIGHT_LEG,13980,5264,4776,-206,8983,-4459,87
1730451749.0539703,RIGHT_LEG,12360,6492,8160,707,8888,-4293,88
1730451749.0972416,RIGHT_LEG,13548,5156,9028,-513,7904,-5067,89
1730451749.1419194,RIGHT_LEG,14240,4992,6044,-2168,8571,-6637,90
1730451749.1874242,RIGHT_LEG,8572,9200,8692,-940,8762,-6058,91
1730451749.1881187,RIGHT_LEG,11564,6812,9668,-713,7851,-5384,92
1730451749.2323341,RIGHT_LEG,11276,8152,11280,-1207,7071,-4557,93
1730451749.276882,RIGHT_LEG,10620,8096,10192,-1816,6399,-4439,94
1730451749.2776175,RIGHT_LEG,9168,7820,11944,-602,5472,-3678,95
1730451749.3223464,RIGHT_LEG,12204,9276,13156,-549,3967,-3515,96
1730451749.3669,RIGHT_LEG,9204,8196,13412,-544,2966,-2600,97
1730451749.4569106,RIGHT_LEG,7672,8148,12676,52,643,-1609,98
1730451749.4576101,RIGHT_LEG,8496,8988,13224,204,136,-200,99
1730451749.5018506,RIGHT_LEG,8560,8976,13536,611,-1597,1353,100
1730451749.5025253,RIGHT_LEG,9260,8624,12924,1093,-3296,2615,101
1730451749.5468996,RIGHT_LEG,9496,8124,13044,1939,-4773,3875,102
1730451749.591947,RIGHT_LEG,9520,8180,12152,2363,-6221,4618,103
1730451749.5927684,RIGHT_LEG,10208,7100,11548,2455,-7202,4811,104
1730451749.637329,RIGHT_LEG,11096,7372,10524,2109,-7976,4614,105
1730451749.6818783,RIGHT_LEG,11128,6708,9440,2255,-8423,4422,106
1730451749.6825645,RIGHT_LEG,11636,6364,8324,2015,-8484,4103,107
1730451749.727275,RIGHT_LEG,12432,5260,7304,2513,-7844,4248,108
1730451749.7718887,RIGHT_LEG,13540,7832,7248,1089,-6914,3525,109
1730451749.772573,RIGHT_LEG,13740,6096,5644,1375,-6116,3807,110
1730451749.8178723,RIGHT_LEG,12464,6680,6412,542,-5281,3333,111
1730451749.8618777,RIGHT_LEG,14000,4316,5528,1494,-4120,3502,112
1730451749.8625586,RIGHT_LEG,14216,5740,5400,0,-3438,1924,113
1730451749.907324,RIGHT_LEG,14200,5332,5800,742,-2421,1910,114
1730451749.952694,RIGHT_LEG,14472,5440,5640,23,-1597,1039,115
1730451749.9534764,RIGHT_LEG,14196,5716,5996,532,-887,1087,116
1730451749.9979858,RIGHT_LEG,14616,5804,5900,-46,-641,689,117
1730451750.0419471,RIGHT_LEG,14040,5380,6444,614,-472,830,118
1730451750.0873327,RIGHT_LEG,13924,5080,6384,-133,-487,469,119
1730451750.0880382,RIGHT_LEG,14448,5768,5964,-114,-324,543,120
1730451750.1323307,RIGHT_LEG,14776,5052,6232,-162,-107,238,121
1730451750.176855,RIGHT_LEG,14012,5792,6932,334,-180,475,122
1730451750.177558,RIGHT_LEG,14192,5060,6296,-243,-312,218,123
1730451750.2223754,RIGHT_LEG,14444,5608,5932,-361,-192,23,124
1730451750.266941,RIGHT_LEG,14344,5384,7256,351,-402,408,125
1730451750.2676365,RIGHT_LEG,14384,5316,6784,-114,-712,139,126
1730451750.3119695,RIGHT_LEG,14264,5784,6464,142,-721,232,127
1730451750.356877,RIGHT_LEG,14488,5232,6156,-20,-904,330,128
1730451750.3575594,RIGHT_LEG,14544,5360,5980,231,-526,293,129
1730451750.4019613,RIGHT_LEG,14404,5236,6172,324,-361,240,130
1730451750.446881,RIGHT_LEG,14632,5180,5956,236,-257,231,131
1730451750.447561,RIGHT_LEG,14268,5452,6352,375,-262,247,132
1730451750.4919002,RIGHT_LEG,14560,5364,5972,305,-236,190,133
1730451750.5372634,RIGHT_LEG,14264,5276,6300,380,-110,70,134
1730451750.537937,RIGHT_LEG,14416,5416,6344,369,-195,151,135
1730451750.5818977,RIGHT_LEG,14324,5368,6536,615,-352,337,136
1730451750.6268609,RIGHT_LEG,14276,5276,6188,535,-405,215,137
1730451750.6275327,RIGHT_LEG,14208,5516,6648,617,-603,322,138
1730451750.6719315,RIGHT_LEG,14500,5276,6088,541,-718,329,139
1730451750.716883,RIGHT_LEG,14436,5408,6680,653,-882,355,140
1730451750.761883,RIGHT_LEG,14304,5492,6088,410,-1016,346,141
1730451750.7625716,RIGHT_LEG,14404,5288,6328,570,-1100,496,142
1730451750.8068829,RIGHT_LEG,14672,5356,5928,528,-1150,410,143
1730451750.8075635,RIGHT_LEG,14624,5184,5888,463,-1092,442,144
1730451750.851897,RIGHT_LEG,14604,4904,5656,221,-974,305,145
1730451750.8969219,RIGHT_LEG,15016,4988,5460,-66,-884,163,146
1730451750.9419706,RIGHT_LEG,14752,5820,5892,33,-884,369,147
1730451750.9427402,RIGHT_LEG,14524,4884,5548,128,-823,404,148
1730451750.9873261,RIGHT_LEG,14912,4520,5040,-176,-479,100,149
1730451751.0314915,RIGHT_LEG,14572,5240,5592,-342,-365,-85,150
1730451751.0321739,RIGHT_LEG,15016,5152,5080,-385,-189,3,151
1730451751.076989,RIGHT_LEG,14636,5260,5936,152,-180,319,152
1730451751.1220574,RIGHT_LEG,14744,4856,6072,118,-451,216,153
1730451751.1228497,RIGHT_LEG,14980,4736,5804,146,-502,206,154
1730451751.166996,RIGHT_LEG,14812,5012,5732,49,-710,36,155
1730451751.211849,RIGHT_LEG,14976,4904,5508,9,-687,-40,156
1730451751.2125225,RIGHT_LEG,14780,5168,5500,209,-581,63,157
1730451751.2572858,RIGHT_LEG,14868,4956,5692,139,-639,0,158
1730451751.3012,RIGHT_LEG,14932,4904,5268,22,-495,-62,159
1730451751.3019826,RIGHT_LEG,14912,4936,5364,98,-348,-130,160
1730451751.3473153,RIGHT_LEG,14888,4904,5264,243,-177,-137,161
1730451751.3919995,RIGHT_LEG,14516,5300,5960,528,-180,28,162
