time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730450338.57265,RIGHT_HAND,-2904,15148,4464,3283,-4646,2771,225
1730450338.663231,RIGHT_HAND,-2772,16356,5300,4146,-8616,1801,227
1730450338.7079594,RIGHT_HAND,-3036,16148,5500,4247,-12308,1076,229
1730450338.7534149,RIGHT_HAND,-3544,16000,4792,3019,-15618,-188,231
1730450338.8419125,RIGHT_HAND,-5284,15468,3480,2697,-14962,-791,233
1730450338.9779918,RIGHT_HAND,-6580,14324,676,623,-5879,317,235
1730450338.9799645,RIGHT_HAND,-6360,15580,1284,-1805,708,1514,236
1730450338.9808834,RIGHT_HAND,-5052,16564,2700,-1247,4033,2026,237
1730450339.0239692,RIGHT_HAND,-4156,16412,2944,599,3762,1547,238
1730450339.0666106,RIGHT_HAND,-3360,15844,2232,1496,863,-79,239
1730450339.0670414,RIGHT_HAND,-2956,15180,2536,1457,-2381,-1218,240
1730450339.1133506,RIGHT_HAND,-2844,14812,2232,915,-4493,-1893,241
1730450339.2029595,RIGHT_HAND,-3292,15268,2040,48,-5707,-1913,242
1730450339.2038321,RIGHT_HAND,-3724,15888,1204,225,-4134,-760,243
1730450339.2472928,RIGHT_HAND,-3428,15908,1212,809,-1094,515,244
1730450339.2482603,RIGHT_HAND,-2644,15520,1656,708,76,1397,245
1730450339.2491994,RIGHT_HAND,-2296,15516,2100,62,-1718,1104,246
1730450339.2932749,RIGHT_HAND,-2472,15880,1804,15,-4180,920,247
1730450339.338153,RIGHT_HAND,-3024,15940,1444,89,-5181,737,248
1730450339.3821564,RIGHT_HAND,-3424,15360,2108,453,-6233,-247,249
1730450339.3830159,RIGHT_HAND,-3600,15296,2448,90,-8343,-1138,250
1730450339.4278738,RIGHT_HAND,-4568,16236,1720,-679,-8850,-1240,251
1730450339.4724352,RIGHT_HAND,-4856,16936,1288,171,-5417,-474,252
1730450339.4731374,RIGHT_HAND,-4228,16024,1464,1142,-1994,267,253
1730450339.51697,RIGHT_HAND,-3700,15408,1812,-5,-1345,698,254
1730450339.561805,RIGHT_HAND,-3748,15808,1432,-719,-1379,806,255
1730450339.5623238,RIGHT_HAND,-3812,16368,1264,-403,-263,910,1
1730450339.6070452,RIGHT_HAND,-3576,16096,1844,-428,651,794,2
1730450339.6519673,RIGHT_HAND,-3328,15728,1760,-296,1062,429,3
1730450339.6527658,RIGHT_HAND,-3096,15824,1728,-490,1461,352,4
1730450339.6970432,RIGHT_HAND,-3040,15940,1980,-790,2199,596,5
1730450339.74199,RIGHT_HAND,-2532,16140,2200,-537,2549,549,6
