time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730450603.4862936,RIGHT_LEG,8068,4632,-32768,-19358,653,-1460,219
1730450603.5316846,RIGHT_LEG,13548,2424,-7352,-601,-2820,-3186,221
1730450603.5775225,RIGHT_LEG,17272,512,-1416,546,-1289,-4991,223
1730450603.6667,RIGHT_LEG,18024,-2212,-4096,1088,-309,-8940,225
1730450603.7124639,RIGHT_LEG,17992,3560,864,1285,454,-13116,227
1730450603.7562935,RIGHT_LEG,19656,2704,740,-1602,704,-13663,228
1730450603.8015373,RIGHT_LEG,21748,992,56,-2309,-836,-16273,229
1730450603.8023295,RIGHT_LEG,24768,2024,6068,-2930,951,-20167,230
1730450603.846312,RIGHT_LEG,26036,-3164,10768,1303,-485,-23653,231
1730450603.891285,RIGHT_LEG,21900,3776,6688,2550,-3027,-28006,232
1730450603.892044,RIGHT_LEG,17984,14080,-13560,-37,-3244,-22482,233
1730450603.93626,RIGHT_LEG,10780,9824,-1536,-649,1138,-12119,234
1730450603.9812613,RIGHT_LEG,6840,3940,-704,-3583,1895,-7630,235
1730450603.9820244,RIGHT_LEG,7324,2172,-5384,1483,2625,5578,236
1730450604.0267048,RIGHT_LEG,8480,-4964,3040,-246,6406,9531,237
1730450604.0715263,RIGHT_LEG,6712,1884,-2008,-2045,6883,12121,238
1730450604.072312,RIGHT_LEG,9256,8172,2052,-4478,7739,19600,239
1730450604.116748,RIGHT_LEG,8836,4964,1532,-309,6705,27074,240
1730450604.161636,RIGHT_LEG,13368,-200,84,873,7849,29126,241
1730450604.1624231,RIGHT_LEG,21032,-2056,1908,-2516,6065,27483,242
1730450604.20656,RIGHT_LEG,22016,7440,572,-6871,3479,26419,243
1730450604.2961924,RIGHT_LEG,23028,2592,-3524,-7601,994,27407,244
1730450604.2969856,RIGHT_LEG,25632,7772,2896,-5317,-123,25598,245
1730450604.3415332,RIGHT_LEG,28016,11476,8000,-8504,-3550,23333,246
1730450604.3423004,RIGHT_LEG,20760,22312,-880,-11722,-9302,20292,247
1730450604.3431482,RIGHT_LEG,14704,21280,-3292,-5934,-7852,16968,248
1730450604.3862479,RIGHT_LEG,16236,10964,-420,-3793,-3723,-939,249
1730450604.431193,RIGHT_LEG,11848,23816,-1764,8844,1081,-11476,250
1730450604.478062,RIGHT_LEG,24136,-14756,13412,29076,7496,-4935,251
1730450604.4789042,RIGHT_LEG,16548,-11936,-18596,-3759,-8481,-14725,252
1730450604.5212379,RIGHT_LEG,15608,6700,9940,8446,150,-17398,253
1730450604.5662246,RIGHT_LEG,14308,13164,-12988,5959,-2080,-4362,254
1730450604.5669937,RIGHT_LEG,17200,-2324,-2156,2460,-743,-3750,255
1730450604.611218,RIGHT_LEG,16884,3752,4788,1307,-56,-4604,1
1730450604.7012372,RIGHT_LEG,16872,3288,1604,1258,-3497,-1832,2
1730450604.7462492,RIGHT_LEG,17936,-1484,1436,299,-3040,-2643,3
1730450604.7469237,RIGHT_LEG,15052,1904,-2900,-352,-2287,-2690,4
1730450604.747661,RIGHT_LEG,17140,-1548,-136,1236,-1201,-2921,5
1730450604.791217,RIGHT_LEG,15940,2324,-1992,680,-989,-3110,6
1730450604.7919912,RIGHT_LEG,16820,2292,2284,164,-1101,-2375,7
1730450604.836691,RIGHT_LEG,16568,2040,-212,-656,-1031,-1706,8
1730450604.837479,RIGHT_LEG,16456,1916,-192,-322,-1380,-1967,9
1730450604.8816528,RIGHT_LEG,16456,1848,-364,-55,-1493,-1690,10
1730450604.9260514,RIGHT_LEG,16912,944,-256,-191,-1024,-2333,11
1730450604.9268517,RIGHT_LEG,16384,2344,-404,-249,-1171,-2897,12
1730450604.9711623,RIGHT_LEG,16348,2280,-1260,-245,-864,-2830,13
1730450605.0161643,RIGHT_LEG,16528,1508,-580,-324,-652,-2960,14
1730450605.106075,RIGHT_LEG,16780,2128,-332,-154,-697,-3990,15
1730450605.1068678,RIGHT_LEG,17044,860,-184,548,-1092,-5326,16
