time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734529.865608,RIGHT_HAND,-1776,16108,-932,-419,-562,-358,168
1729734529.9079032,RIGHT_HAND,-2140,15804,-1660,-841,-336,-861,170
1729734529.9985073,RIGHT_HAND,-6768,17248,-3928,3039,-131,-3744,172
1729734530.0456693,RIGHT_HAND,-13496,21296,-4276,6421,8616,-17244,174
1729734530.0892632,RIGHT_HAND,-18464,19084,-4624,13172,-1420,-32450,176
1729734530.179404,RIGHT_HAND,-13428,11268,-3004,15132,27749,-32374,178
1729734530.1802273,RIGHT_HAND,-9000,9372,-1276,15526,32767,-27202,179
1729734530.2235143,RIGHT_HAND,-4888,6444,2820,14793,32767,-18812,180
1729734530.2696395,RIGHT_HAND,684,1528,5264,5947,32767,-8563,181
1729734530.2704656,RIGHT_HAND,3172,-56,5776,-17272,31490,-7769,182
1729734530.31349,RIGHT_HAND,3944,320,9456,-32768,11589,-7961,183
1729734530.3586195,RIGHT_HAND,5700,5436,2864,-32768,1716,-6069,184
1729734530.3594468,RIGHT_HAND,1012,14556,-3344,-32768,-9930,-218,185
1729734530.406364,RIGHT_HAND,-7108,30976,-272,-32768,-6689,4218,186
1729734530.4483888,RIGHT_HAND,-7972,32767,4600,-17837,-10880,23962,187
1729734530.4492064,RIGHT_HAND,-9364,32767,-13680,29391,16582,4757,188
1729734530.4954004,RIGHT_HAND,-5080,22828,-12432,27669,1799,-9294,189
1729734530.5387833,RIGHT_HAND,-4376,28112,-19940,27339,-7397,-17848,190
1729734530.5834746,RIGHT_HAND,-13820,29288,-17748,30437,-16463,-19301,191
1729734530.5846708,RIGHT_HAND,-21468,27808,-20328,32767,-8845,-27663,192
1729734530.628932,RIGHT_HAND,-28356,23044,-18948,32767,-1906,-32768,193
1729734530.6739037,RIGHT_HAND,-28960,14868,-16012,32767,6710,-32768,194
1729734530.718556,RIGHT_HAND,-23720,11532,-11808,32767,17314,-32768,195
1729734530.7636368,RIGHT_HAND,-17248,3244,-9192,32767,27891,-32768,196
1729734530.8094494,RIGHT_HAND,-13096,-4596,-10576,32767,32767,-32768,197
1729734530.8106134,RIGHT_HAND,-6676,-7616,-3900,32767,29030,-30188,198
1729734530.8535912,RIGHT_HAND,-720,-9392,-2236,32767,22010,-19859,199
1729734530.8986304,RIGHT_HAND,1324,-10408,-1788,19957,22648,-9578,200
1729734530.8998115,RIGHT_HAND,-424,-6304,-3208,2958,27266,851,201
1729734530.9437912,RIGHT_HAND,1452,-2080,872,-7364,31561,9696,202
1729734530.9887376,RIGHT_HAND,2176,664,244,-15561,30136,16301,203
1729734530.9898937,RIGHT_HAND,3324,1564,5144,-25719,19363,11647,204
1729734531.0335002,RIGHT_HAND,4384,5208,588,-17580,4213,9007,205
1729734531.0787761,RIGHT_HAND,2880,3196,-560,-1067,43,5950,206
1729734531.0798867,RIGHT_HAND,2632,-3252,-1200,13075,-7776,2714,207
1729734531.1239655,RIGHT_HAND,2452,-10440,-560,19522,-11857,76,208
1729734531.1684902,RIGHT_HAND,3408,-15580,444,6534,-7393,-5348,209
1729734531.169448,RIGHT_HAND,1988,-10260,-364,-10436,-5510,-7820,210
1729734531.2177634,RIGHT_HAND,344,-3332,-1304,-12742,-5188,-9456,211
1729734531.258577,RIGHT_HAND,876,-396,1436,-11655,-1553,-10396,212
1729734531.259535,RIGHT_HAND,2624,72,2980,-9656,834,-8528,213
1729734531.3038104,RIGHT_HAND,1916,-588,2200,-13369,-4762,-5188,214
1729734531.3487995,RIGHT_HAND,1164,-2424,-3152,-15534,-9848,710,215
1729734531.349885,RIGHT_HAND,-1432,-2132,-8672,-27256,-4511,5623,216
1729734531.3937116,RIGHT_HAND,-2832,-3596,-10432,-30688,-6181,11395,217
1729734531.438756,RIGHT_HAND,-5724,-1420,-15232,-32768,-5089,18525,218
1729734531.4837732,RIGHT_HAND,-7456,1396,-17684,-32768,-11353,17526,219
1729734531.484932,RIGHT_HAND,-9196,5996,-24124,-32768,-32045,19607,220
1729734531.5305245,RIGHT_HAND,-12088,8892,-22592,-32768,-24884,20554,221
1729734531.5736406,RIGHT_HAND,-14660,12804,-20652,-32768,-16576,18843,222
1729734531.574834,RIGHT_HAND,-12692,21096,-24224,-32768,3227,28024,223
1729734531.6186209,RIGHT_HAND,-8340,21576,-20052,-32584,3781,19302,224
1729734531.6637495,RIGHT_HAND,-4140,19432,-18436,-32768,11698,18843,225
1729734531.6649134,RIGHT_HAND,-1984,24100,-14344,-32768,15215,15591,226
1729734531.7087345,RIGHT_HAND,1384,27604,-10592,-32768,10787,17312,227
1729734531.753665,RIGHT_HAND,3652,28060,-4704,-32768,5576,18723,228
1729734531.754819,RIGHT_HAND,2348,29212,-8,-27831,-11707,16065,229
1729734531.798719,RIGHT_HAND,1124,26260,-1736,-15732,-30273,10129,230
1729734531.8436484,RIGHT_HAND,-2788,21964,-5372,-9027,-32768,2467,231
1729734531.8448055,RIGHT_HAND,-3400,20260,-5376,-3315,-32768,-1796,232
1729734531.888732,RIGHT_HAND,-4976,19360,-4152,2520,-24055,-2291,233
1729734531.9336727,RIGHT_HAND,-3868,17336,-2708,6475,-16180,-2684,234
1729734531.934616,RIGHT_HAND,-3536,15712,-1972,6210,-14648,-4001,235
1729734532.023675,RIGHT_HAND,-2804,14568,-2252,3414,-16573,-5214,236
1729734532.0687242,RIGHT_HAND,-3180,14632,-2556,199,-16543,-5351,237
1729734532.0696235,RIGHT_HAND,-3308,15024,-1656,-590,-14118,-5445,238
1729734532.0705042,RIGHT_HAND,-3060,15520,-804,-559,-12189,-5385,239
1729734532.1137676,RIGHT_HAND,-2892,16020,-288,-486,-10692,-5390,240
1729734532.1149304,RIGHT_HAND,-2700,15704,-280,514,-9008,-5477,241
1729734532.1586363,RIGHT_HAND,-2792,15284,-632,-416,-7140,-5956,242
1729734532.2037978,RIGHT_HAND,-2644,15664,-1084,-1511,-4297,-7053,243
1729734532.2488291,RIGHT_HAND,-1424,16896,-3996,-2019,3635,-7570,244
1729734532.249898,RIGHT_HAND,-604,17460,-4476,-2504,13437,-5559,245
1729734532.2936473,RIGHT_HAND,-40,18132,-3488,-3451,17893,-1282,246
1729734532.3388083,RIGHT_HAND,748,17796,-1612,-2534,16771,2448,247
1729734532.3398683,RIGHT_HAND,1092,17120,-80,-1263,11632,3504,248
1729734532.3825595,RIGHT_HAND,752,16676,880,1360,5210,2703,249
1729734532.4287162,RIGHT_HAND,328,15844,600,3199,-1955,608,250
1729734532.4296758,RIGHT_HAND,-756,15440,-280,2828,-6104,-1314,251
1729734532.4738054,RIGHT_HAND,-1644,15276,-1040,1971,-7102,-2282,252
