time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734352.9294486,RIGHT_LEG,16008,-2684,4912,-399,-245,50,159
1729734353.0185263,RIGHT_LEG,15856,-2796,4908,-348,-230,84,161
1729734353.0665956,RIGHT_LEG,15816,-2776,4892,-385,-161,97,163
1729734353.1093328,RIGHT_LEG,15804,-2904,4888,-411,-356,104,165
1729734353.1544766,RIGHT_LEG,15880,-2792,4944,-449,-344,133,167
1729734353.2443025,RIGHT_LEG,15868,-2988,5000,-444,-393,86,168
1729734353.2451093,RIGHT_LEG,16008,-2884,4964,-439,-477,26,169
1729734353.2906706,RIGHT_LEG,15844,-2752,5056,-456,-624,98,170
1729734353.2914705,RIGHT_LEG,15960,-2800,4932,-547,-741,116,171
1729734353.2922971,RIGHT_LEG,15936,-2888,4848,-492,-821,74,172
1729734353.3344696,RIGHT_LEG,15960,-2812,4928,-394,-941,49,173
1729734353.3794427,RIGHT_LEG,15960,-2880,4772,-376,-979,30,174
1729734353.3802788,RIGHT_LEG,15996,-2764,4500,-346,-897,74,175
1729734353.4694147,RIGHT_LEG,15948,-2788,4452,-292,-713,131,176
1729734353.515649,RIGHT_LEG,16064,-2836,4484,-339,-602,159,177
1729734353.5164514,RIGHT_LEG,15944,-2868,4532,-364,-541,119,178
1729734353.51723,RIGHT_LEG,15920,-2736,4528,-423,-458,71,179
1729734353.5606458,RIGHT_LEG,16108,-2960,4780,-477,-477,55,180
1729734353.5614853,RIGHT_LEG,15820,-2788,4408,-843,-271,-125,181
1729734353.6944704,RIGHT_LEG,16020,-2860,4388,-546,-163,4,182
1729734353.6973276,RIGHT_LEG,16236,-2804,4284,-370,-28,86,183
1729734353.6980855,RIGHT_LEG,16028,-2788,4500,-591,157,67,184
1729734353.6988611,RIGHT_LEG,15960,-2892,4612,-531,282,150,185
1729734353.7844799,RIGHT_LEG,15872,-3008,4664,-431,342,126,186
1729734353.7863176,RIGHT_LEG,15912,-3060,4984,-379,214,105,187
1729734353.7871022,RIGHT_LEG,15936,-2852,4800,-348,190,138,188
1729734353.829489,RIGHT_LEG,15968,-2848,4988,-367,130,157,189
