time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739277.7945738,RIGHT_HAND,-1044,16160,-520,-627,247,102,23
1729739277.7952828,RIGHT_HAND,-1612,16064,-676,-980,684,-639,25
1729739277.841348,RIGHT_HAND,-4916,15168,164,506,1437,-4903,27
1729739277.9750159,RIGHT_HAND,-13404,16104,4804,-3778,-14951,-26124,29
1729739278.0202858,RIGHT_HAND,-22164,17108,12352,-15438,-26829,-32768,31
1729739278.064752,RIGHT_HAND,-18356,14744,12728,-29123,-21666,-32768,33
1729739278.0655665,RIGHT_HAND,-16688,12912,13336,-32017,-18501,-32768,34
1729739278.114087,RIGHT_HAND,-14512,11228,9940,-32768,-8538,-32768,35
1729739278.1995077,RIGHT_HAND,-11596,9664,7284,-32768,-77,-27631,36
1729739278.1998231,RIGHT_HAND,-8892,8168,5024,-29715,3313,-22529,37
1729739278.2015245,RIGHT_HAND,-7244,6356,3628,-23754,6940,-18576,38
1729739278.201822,RIGHT_HAND,-4880,6240,68,-16266,5494,-14826,39
1729739278.2443762,RIGHT_HAND,-3624,5236,-408,-9256,5473,-8491,40
1729739278.2896342,RIGHT_HAND,-3156,5068,-1264,-3326,7647,-2204,41
1729739278.3371515,RIGHT_HAND,-1424,5996,-1768,2384,12297,3511,42
1729739278.338113,RIGHT_HAND,-672,7228,36,9290,9440,9001,43
1729739278.424334,RIGHT_HAND,-732,8068,2472,17058,4896,15759,44
1729739278.4720252,RIGHT_HAND,-1372,9676,3100,23333,-961,19670,45
1729739278.4729524,RIGHT_HAND,-2476,11404,5132,28160,-8355,22861,46
1729739278.4738243,RIGHT_HAND,-5184,14556,10300,30073,-11379,25504,47
1729739278.5154762,RIGHT_HAND,-8516,21600,11120,32767,-12133,23997,48
1729739278.5166628,RIGHT_HAND,-11560,26044,12380,32767,-24196,26988,49
1729739278.5603955,RIGHT_HAND,-11524,32767,19484,32767,-18206,27432,50
1729739278.6506135,RIGHT_HAND,-15392,32767,24440,32767,-13238,28359,51
1729739278.6515799,RIGHT_HAND,-11672,32572,20548,32767,-14278,26451,52
1729739278.6991093,RIGHT_HAND,-8712,28492,16016,32767,-29138,21289,53
1729739278.6997013,RIGHT_HAND,-9160,26892,11976,32767,-32768,12847,54
1729739278.739539,RIGHT_HAND,-9724,25700,9800,32767,-32768,4885,55
1729739278.7397792,RIGHT_HAND,-7956,23112,8192,32677,-18003,1107,56
1729739278.7844844,RIGHT_HAND,-5812,18776,7308,30055,-1411,1806,57
1729739278.8753498,RIGHT_HAND,-4164,13680,5748,28467,10295,5487,58
1729739278.9202003,RIGHT_HAND,-3064,11288,7036,22695,16832,7905,59
1729739278.9213908,RIGHT_HAND,-2540,10196,8964,15617,16373,9164,60
1729739278.9651804,RIGHT_HAND,-1240,8204,9460,14683,10066,8931,61
1729739278.9664001,RIGHT_HAND,-1244,5140,8164,11086,2147,6424,62
1729739279.0103831,RIGHT_HAND,-1532,4064,8236,667,-4358,1298,63
1729739279.0994647,RIGHT_HAND,-1804,5476,5668,-10631,-7526,-2574,64
1729739279.0997825,RIGHT_HAND,-3452,10112,5460,-21704,-8863,-5954,65
1729739279.1014802,RIGHT_HAND,-4320,16588,5852,-30181,-4708,-7042,66
1729739279.1017797,RIGHT_HAND,-5180,22024,5676,-32325,1683,-5694,67
1729739279.1453786,RIGHT_HAND,-5268,24208,7232,-32768,10982,-5531,68
1729739279.1902204,RIGHT_HAND,-4312,27300,8512,-32768,11269,-8741,69
1729739279.2352526,RIGHT_HAND,-4496,30612,9440,-32768,9299,-9882,70
1729739279.2362154,RIGHT_HAND,-6300,32767,10472,-32768,6507,-10677,71
1729739279.325324,RIGHT_HAND,-6564,32767,12148,-32768,6837,-12958,72
1729739279.3702576,RIGHT_HAND,-5496,32767,9984,-32768,7472,-13258,73
1729739279.3711843,RIGHT_HAND,-4436,31536,7868,-32768,11699,-11119,74
1729739279.3721225,RIGHT_HAND,-3440,28860,4904,-29880,12774,-11188,75
1729739279.4152844,RIGHT_HAND,-1308,25984,4464,-22920,9234,-11070,76
1729739279.4595609,RIGHT_HAND,-288,23704,1636,-16012,5127,-7410,77
1729739279.4600492,RIGHT_HAND,-1192,21464,-2828,-10647,7967,-1253,78
1729739279.5493102,RIGHT_HAND,-840,20532,-2948,-8069,12389,768,79
1729739279.5981286,RIGHT_HAND,900,20916,-304,-2546,12066,2376,80
1729739279.59904,RIGHT_HAND,1560,20088,-472,2446,8562,6744,81
