time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739338.9753618,RIGHT_LEG,15944,-764,5344,-519,-236,61,164
1729739338.977419,RIGHT_LEG,15916,-844,5336,-556,-291,51,166
1729739339.020099,RIGHT_LEG,15960,-748,5212,-557,-187,18,168
1729739339.1540997,RIGHT_LEG,15968,-188,5436,-211,31,299,170
1729739339.1559436,RIGHT_LEG,15784,-860,5836,-205,-80,279,172
1729739339.198406,RIGHT_LEG,15908,-728,5476,-148,-170,289,173
1729739339.2434533,RIGHT_LEG,15988,-740,5484,-288,-131,402,174
1729739339.2445307,RIGHT_LEG,15872,-884,5540,-458,-223,502,175
1729739339.3343248,RIGHT_LEG,15864,-960,5484,-410,-292,629,176
1729739339.335488,RIGHT_LEG,15988,-928,5360,-236,-360,579,177
1729739339.379512,RIGHT_LEG,16104,-1008,5204,131,-247,802,178
1729739339.3804052,RIGHT_LEG,16152,-1256,4936,201,108,552,179
1729739339.381283,RIGHT_LEG,16060,-1496,5432,939,491,656,180
1729739339.424569,RIGHT_LEG,15868,-912,5672,786,551,825,181
1729739339.4695115,RIGHT_LEG,15888,-872,5640,394,578,917,182
1729739339.470518,RIGHT_LEG,15816,-1096,5692,371,760,1300,183
1729739339.5584278,RIGHT_LEG,15868,-652,5360,598,1274,1781,184
1729739339.5600066,RIGHT_LEG,16132,-564,5592,14,1550,2086,185
1729739339.5609677,RIGHT_LEG,16660,-1156,6192,69,858,2732,186
1729739339.6041973,RIGHT_LEG,15936,-1732,5856,-929,2936,2050,187
1729739339.6481907,RIGHT_LEG,16100,1684,8156,-6862,5451,-579,188
1729739339.7832162,RIGHT_LEG,14520,4952,16272,-16408,5211,-6211,189
1729739339.7843215,RIGHT_LEG,10092,14984,20256,-32768,15949,-25529,190
1729739339.786141,RIGHT_LEG,11888,16164,24772,-32768,27930,-29914,191
1729739339.787245,RIGHT_LEG,14324,12356,25388,5220,32767,-10731,192
1729739339.8299594,RIGHT_LEG,4132,21884,20592,-20108,32767,-25173,193
1729739339.8310878,RIGHT_LEG,14796,8272,16696,6195,32767,-19274,194
1729739339.8738806,RIGHT_LEG,13704,6016,10172,9858,31827,-22511,195
1729739339.8752954,RIGHT_LEG,18808,2688,7168,13200,23193,-21294,196
1729739339.918188,RIGHT_LEG,19196,3368,4756,14800,13386,-17908,197
1729739340.0082612,RIGHT_LEG,18524,612,4084,11314,3596,-14530,198
1729739340.0096478,RIGHT_LEG,15556,3048,9556,1342,-1207,-15303,199
1729739340.0531542,RIGHT_LEG,18860,4684,19520,-2239,-504,-14048,200
1729739340.0540695,RIGHT_LEG,17820,-2464,8548,-3668,-3907,-10866,201
1729739340.0549471,RIGHT_LEG,14564,-500,6064,-2482,-8056,-5189,202
1729739340.0983725,RIGHT_LEG,14736,584,7288,2070,-12570,55,203
1729739340.1457677,RIGHT_LEG,3544,4016,32767,1291,-1293,2679,204
1729739340.1475039,RIGHT_LEG,6416,6892,29240,4300,3099,-1678,205
1729739340.2331822,RIGHT_LEG,684,3196,11468,414,3727,-3261,206
1729739340.2803442,RIGHT_LEG,-1072,5864,10516,2344,319,-2398,207
1729739340.2812905,RIGHT_LEG,1304,5048,15724,1806,249,251,208
1729739340.282175,RIGHT_LEG,1752,6688,20840,-6971,2133,-2730,209
1729739340.3233376,RIGHT_LEG,-2196,9460,17908,-4909,2424,-1978,210
1729739340.3682096,RIGHT_LEG,-724,6752,16936,916,2073,192,211
1729739340.3693802,RIGHT_LEG,1392,4700,15724,4100,1540,2586,212
1729739340.458918,RIGHT_LEG,1296,3096,16136,3618,1184,2699,213
1729739340.503504,RIGHT_LEG,2172,4352,16692,1826,1131,1775,214
1729739340.5043964,RIGHT_LEG,2796,5300,16192,1739,973,1572,215
1729739340.5052812,RIGHT_LEG,2836,5524,14532,3740,401,2384,216
1729739340.549597,RIGHT_LEG,2860,5968,13884,3492,129,3035,217
1729739340.5936012,RIGHT_LEG,3480,7556,14468,4165,-169,3751,218
1729739340.6842933,RIGHT_LEG,3092,7256,15004,5492,306,5064,219
1729739340.6851897,RIGHT_LEG,3476,8112,14344,2610,581,3731,220
1729739340.6860647,RIGHT_LEG,3144,9464,13920,944,190,3091,221
1729739340.7292655,RIGHT_LEG,3348,8740,14564,1771,-518,3339,222
1729739340.730161,RIGHT_LEG,4136,8108,17020,2154,-1524,2992,223
1729739340.731039,RIGHT_LEG,5956,10152,20224,2293,-1670,4137,224
1729739340.7733717,RIGHT_LEG,5392,10116,21188,7578,2039,9503,225
1729739340.819529,RIGHT_LEG,9672,2804,21928,6081,5275,10092,226
1729739340.8205807,RIGHT_LEG,9196,2412,15028,-709,4013,4606,227
1729739340.9084942,RIGHT_LEG,8116,5036,13704,-2835,2700,3171,228
1729739340.910189,RIGHT_LEG,4544,4460,12368,-8017,664,2178,229
1729739340.911097,RIGHT_LEG,5412,4716,12988,-9330,-1172,4177,230
1729739340.9542866,RIGHT_LEG,5644,3312,12496,-10461,-3010,7097,231
1729739340.9983542,RIGHT_LEG,6200,2860,12480,-13840,-4052,9333,232
1729739341.044627,RIGHT_LEG,6764,6200,14416,-13088,-5382,12586,233
1729739341.0456536,RIGHT_LEG,6752,4636,12108,-7194,-6651,16959,234
1729739341.1336129,RIGHT_LEG,7092,4324,12048,-3138,-8127,20290,235
1729739341.1802297,RIGHT_LEG,8352,2744,11848,-1309,-10301,21571,236
1729739341.1811116,RIGHT_LEG,8964,1848,11140,-4526,-12910,19535,237
1729739341.181973,RIGHT_LEG,9532,4592,11944,-4349,-15335,18785,238
1729739341.2234359,RIGHT_LEG,9756,5052,12204,895,-16991,20016,239
1729739341.2245781,RIGHT_LEG,10592,5480,13764,6349,-18544,20543,240
1729739341.26835,RIGHT_LEG,12308,5024,11704,9836,-18844,20329,241
1729739341.3593042,RIGHT_LEG,13040,4032,11152,11297,-17767,18947,242
1729739341.3602579,RIGHT_LEG,14144,3268,9324,8633,-17008,14873,243
1729739341.4045033,RIGHT_LEG,14716,2688,8844,4121,-16936,10658,244
1729739341.4053853,RIGHT_LEG,15340,4448,9504,3730,-16695,6684,245
1729739341.4062521,RIGHT_LEG,13780,2508,8744,2857,-15406,3853,246
1729739341.4495869,RIGHT_LEG,13004,424,8292,-3111,-13317,309,247
