time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739586.7992916,RIGHT_HAND,-2192,16124,-868,-535,198,-152,224
1729739586.8897336,RIGHT_HAND,-1140,19432,-7972,-2212,1575,1804,226
1729739586.934999,RIGHT_HAND,4876,28608,-18224,11508,19339,6257,228
1729739586.9793396,RIGHT_HAND,13148,27788,-14140,18480,22395,21291,230
1729739587.0250146,RIGHT_HAND,11968,30344,-5516,14869,-473,25728,232
1729739587.1588762,RIGHT_HAND,3832,26620,-1624,19656,-23246,23461,234
1729739587.1594312,RIGHT_HAND,808,23496,-1924,22403,-27243,18982,235
1729739587.1599994,RIGHT_HAND,-1248,20240,-4,24540,-25718,14603,236
1729739587.2031877,RIGHT_HAND,-1508,15864,-1564,25867,-25459,11676,237
1729739587.248969,RIGHT_HAND,-1388,11620,-4192,24461,-17335,11154,238
1729739587.2497168,RIGHT_HAND,-2768,8404,-3872,19920,-11228,11892,239
1729739587.3391757,RIGHT_HAND,-2088,5572,-5720,17633,-5756,9848,240
1729739587.3843932,RIGHT_HAND,-1452,3320,-4804,15275,809,7467,241
1729739587.3852136,RIGHT_HAND,-640,896,-5688,14164,784,5317,242
1729739587.3860366,RIGHT_HAND,60,-380,-8564,12157,1819,2899,243
1729739587.4292595,RIGHT_HAND,700,-2168,-6480,8024,3124,466,244
1729739587.4301193,RIGHT_HAND,1548,-1624,-9008,2845,1701,-526,245
1729739587.4744246,RIGHT_HAND,1116,-1520,-7624,-2919,-1231,-1476,246
1729739587.5641677,RIGHT_HAND,1360,-740,-8156,-5605,-3309,-3513,247
1729739587.5650349,RIGHT_HAND,740,696,-8744,-7815,-1740,-4913,248
1729739587.609042,RIGHT_HAND,-228,1044,-7172,-10617,-1355,-6681,249
1729739587.6092968,RIGHT_HAND,1448,2568,-6840,-15207,-615,-9887,250
1729739587.609539,RIGHT_HAND,236,5180,-6032,-17890,-3439,-13173,251
1729739587.6532044,RIGHT_HAND,832,8364,-10716,-20123,-6308,-14505,252
1729739587.6991756,RIGHT_HAND,-1380,9592,-7424,-21032,-5760,-11806,253
1729739587.700329,RIGHT_HAND,-764,13000,-11852,-25259,-7589,-11784,254
1729739587.7881918,RIGHT_HAND,-2068,14920,-7676,-23994,820,-7830,255
1729739587.7899585,RIGHT_HAND,532,17560,-8460,-22870,-1194,-7590,1
1729739587.7909572,RIGHT_HAND,1440,17856,-11056,-20858,-1452,-4837,2
1729739587.834174,RIGHT_HAND,600,18292,-11068,-23904,-5642,-3698,3
1729739587.8792777,RIGHT_HAND,-852,21516,-16576,-26616,-5894,-3622,4
1729739587.9243555,RIGHT_HAND,-2608,22992,-12336,-27977,563,-3536,5
1729739587.925435,RIGHT_HAND,-1912,24544,-13388,-18744,-2064,-4603,6
1729739588.014099,RIGHT_HAND,-2164,21856,-13244,-13695,-2958,-5682,7
1729739588.0152261,RIGHT_HAND,-1924,19832,-10508,-13534,-2907,-5600,8
1729739588.0163317,RIGHT_HAND,-2636,19436,-10804,-12755,-4427,-3918,9
1729739588.0581722,RIGHT_HAND,-3912,18952,-9096,-14851,-1964,-2565,10
1729739588.1041694,RIGHT_HAND,-3224,18628,-6512,-13044,920,-2034,11
1729739588.1051307,RIGHT_HAND,-3696,18540,-6228,-9128,4375,-1606,12
1729739588.1491554,RIGHT_HAND,-3440,17872,-4616,-8044,7611,-1242,13
1729739588.2381995,RIGHT_HAND,-1940,17264,-1760,-5661,3987,-2252,14
1729739588.2391956,RIGHT_HAND,-1308,17020,-3392,-5943,-2897,-4586,15
1729739588.2409575,RIGHT_HAND,-2964,16624,-3992,-7824,-4514,-3673,16
1729739588.2417564,RIGHT_HAND,-3452,18976,-7260,-6967,1348,-2550,17
