time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739633.7013779,RIGHT_LEG,15760,-1016,5556,-518,-491,38,246
1729739633.74519,RIGHT_LEG,15864,-916,5132,-179,-353,76,248
1729739633.7924397,RIGHT_LEG,15928,-1032,5372,-520,-306,148,250
1729739633.9247267,RIGHT_LEG,15920,-980,5572,-552,-173,221,252
1729739633.9273362,RIGHT_LEG,15880,-1104,5676,-510,-126,230,254
1729739633.974098,RIGHT_LEG,15936,-1172,5440,-480,-131,217,255
1729739634.0161395,RIGHT_LEG,15792,-1176,5476,-454,-156,144,1
1729739634.0169768,RIGHT_LEG,15776,-1180,5620,-389,-181,79,2
1729739634.0615103,RIGHT_LEG,15824,-1136,5652,-344,-297,-1,3
1729739634.1063437,RIGHT_LEG,15964,-1200,5780,-381,-384,-91,4
1729739634.1072068,RIGHT_LEG,15792,-1196,5584,-344,-480,-144,5
1729739634.150326,RIGHT_LEG,15976,-1064,5396,-285,-501,-211,6
1729739634.1965148,RIGHT_LEG,15908,-1112,5412,-253,-448,-238,7
1729739634.197472,RIGHT_LEG,15956,-1148,5468,-258,-495,-254,8
1729739634.2413611,RIGHT_LEG,15988,-848,5500,-261,-527,-196,9
1729739634.2865114,RIGHT_LEG,15908,-948,5420,-324,-500,-157,10
1729739634.2874591,RIGHT_LEG,16004,-924,5428,-327,-479,-108,11
1729739634.3746452,RIGHT_LEG,15904,-1032,5536,-324,-467,-37,12
1729739634.375132,RIGHT_LEG,15952,-904,5320,-363,-446,8,13
1729739634.376623,RIGHT_LEG,16016,-876,5488,-397,-430,57,14
1729739634.4203057,RIGHT_LEG,15924,-976,5364,-410,-472,83,15
1729739634.4650056,RIGHT_LEG,15888,-932,5488,-463,-461,91,16
1729739634.4660823,RIGHT_LEG,16048,-1040,5404,-477,-501,89,17
1729739634.5100439,RIGHT_LEG,16024,-984,5192,-465,-454,68,18
1729739634.55503,RIGHT_LEG,16000,-1004,5248,-436,-433,49,19
1729739634.5558796,RIGHT_LEG,15904,-956,5136,-330,-380,26,20
1729739634.6016681,RIGHT_LEG,16052,-972,5396,-336,-313,10,21
1729739634.6452844,RIGHT_LEG,15976,-892,5508,-340,-374,79,22
1729739634.6902134,RIGHT_LEG,15912,-872,5268,-303,-365,187,23
