time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740025.7140338,RIGHT_HAND,-488,16276,-1152,-519,-35,-97,7
1729740025.715449,RIGHT_HAND,-4192,15356,-7800,-1317,5724,-2065,9
1729740025.8031888,RIGHT_HAND,-11020,30832,-3496,451,23721,-13062,11
1729740025.8924298,RIGHT_HAND,-5236,32767,-3000,32767,19238,-32768,13
1729740025.940109,RIGHT_HAND,-1172,20976,-780,32767,-17102,-23182,15
1729740025.9824848,RIGHT_HAND,-1440,11344,-5588,32767,-31239,-21953,17
1729740025.9826763,RIGHT_HAND,-3376,7612,-1776,32767,-24080,-22369,18
1729740026.028093,RIGHT_HAND,-4176,-528,288,32767,-10229,-21450,19
1729740026.1183062,RIGHT_HAND,-4712,-14100,-840,32767,-7817,-21779,20
1729740026.1191483,RIGHT_HAND,-9748,-24652,2412,20572,5549,-22359,21
1729740026.1633472,RIGHT_HAND,-12252,-21676,4292,4741,9893,-27917,22
1729740026.164177,RIGHT_HAND,-9948,-25936,-48,10901,17870,-32768,23
1729740026.208436,RIGHT_HAND,-8484,-32456,1260,8643,17553,-32768,24
1729740026.2535355,RIGHT_HAND,-7608,-32528,2684,9511,10782,-32768,25
1729740026.343204,RIGHT_HAND,-3460,-32160,4264,8373,4437,-32768,26
1729740026.3440378,RIGHT_HAND,-1028,-29500,5824,-862,-6038,-28857,27
1729740026.3893797,RIGHT_HAND,-1620,-22076,6284,-6867,-15336,-15477,28
1729740026.3901765,RIGHT_HAND,-1528,-13016,3172,-15881,-18177,106,29
1729740026.3909538,RIGHT_HAND,-2040,-2968,-1604,-19959,-11910,16073,30
1729740026.4334466,RIGHT_HAND,-3336,8408,-1644,-26048,-191,28030,31
1729740026.4781961,RIGHT_HAND,-3188,11896,-156,-30873,10148,32767,32
1729740026.4790177,RIGHT_HAND,-1580,15456,-16,-27008,18117,32351,33
1729740026.568953,RIGHT_HAND,408,17248,-8668,-9933,16688,23723,34
1729740026.6142068,RIGHT_HAND,1760,6756,-8844,11680,15968,13629,35
1729740026.6150093,RIGHT_HAND,4768,-3932,-8972,21483,9312,5091,36
1729740026.615777,RIGHT_HAND,5716,-10388,-8200,6641,13651,-8167,37
1729740026.6591656,RIGHT_HAND,4180,-5008,-4336,-18223,8813,-14175,38
1729740026.7032108,RIGHT_HAND,2504,2352,-788,-27302,10525,-18925,39
1729740026.7046273,RIGHT_HAND,768,7304,768,-26881,1943,-15932,40
1729740026.839206,RIGHT_HAND,1788,11308,-40,-20624,-7901,-8042,41
1729740026.8833022,RIGHT_HAND,604,6028,-248,-12528,-20831,-4178,42
1729740026.8847022,RIGHT_HAND,-1808,4024,-8524,-15096,-32768,4476,43
1729740026.8873265,RIGHT_HAND,-5268,1520,-12220,-24617,-32768,17397,44
1729740026.8886309,RIGHT_HAND,-11028,6420,-14064,-32768,-32768,29701,45
1729740026.9284308,RIGHT_HAND,-14924,9120,-10448,-32768,-32768,32767,46
1729740026.929444,RIGHT_HAND,-22048,24520,-13672,-32768,-32768,32767,47
1729740027.0185866,RIGHT_HAND,-25604,32767,-10716,-32768,-32768,32767,48
1729740027.0196598,RIGHT_HAND,-23764,32767,-2172,-3484,-32768,32767,49
1729740027.0631828,RIGHT_HAND,-20940,29124,-5248,-6531,-28727,32767,50
1729740027.064293,RIGHT_HAND,-18700,29520,-3024,-10612,-24943,32767,51
1729740027.0652094,RIGHT_HAND,-16328,28816,-2052,-5165,-25115,28777,52
1729740027.1092956,RIGHT_HAND,-15744,25176,-1480,-1276,-19106,19932,53
1729740027.153174,RIGHT_HAND,-14092,21324,-1652,2746,-11158,11567,54
1729740027.154173,RIGHT_HAND,-11372,17696,-1188,2658,-3170,5342,55
1729740027.2433195,RIGHT_HAND,-8704,15952,-1284,-177,2802,1282,56
1729740027.245117,RIGHT_HAND,-7052,15448,28,-2222,4888,-384,57
1729740027.246042,RIGHT_HAND,-5432,15912,192,-1396,6363,-460,58
