time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740097.528373,RIGHT_LEG,15580,-1608,5508,-1076,873,-94,73
1729740097.5291772,RIGHT_LEG,15728,-1600,6144,-1174,928,-330,74
1729740097.5299675,RIGHT_LEG,15632,-1496,6512,-683,617,-240,75
1729740097.5720778,RIGHT_LEG,15568,-1348,6228,-361,440,-133,76
1729740097.618324,RIGHT_LEG,15116,-1120,7356,-678,-909,129,78
1729740097.708142,RIGHT_LEG,15488,-1360,6652,-680,-1730,275,79
1729740097.753299,RIGHT_LEG,15816,-1388,5880,-532,-2043,416,80
1729740097.7540185,RIGHT_LEG,15984,-1308,5692,-129,-1918,516,81
1729740097.7547028,RIGHT_LEG,16016,-1236,5476,-173,-1703,546,82
1729740097.798297,RIGHT_LEG,15892,-888,5644,-390,-1401,626,83
1729740097.7990525,RIGHT_LEG,15652,-1684,5744,-346,-1287,512,84
1729740097.8413873,RIGHT_LEG,15752,-1744,5728,-46,-1240,406,85
1729740097.9324315,RIGHT_LEG,15868,-1400,5336,188,-1070,375,86
1729740097.9328763,RIGHT_LEG,15800,-1680,5608,-15,-901,309,87
1729740097.9775872,RIGHT_LEG,15772,-1300,5696,-241,-978,184,88
1729740097.977834,RIGHT_LEG,15768,-1428,5616,-196,-995,251,89
1729740097.9782596,RIGHT_LEG,15980,-1456,5204,-263,-913,306,90
1729740098.022908,RIGHT_LEG,15984,-1424,5060,-337,-624,304,91
1729740098.0683017,RIGHT_LEG,16048,-1444,4856,-403,-262,263,92
1729740098.0691333,RIGHT_LEG,16000,-1400,5200,-530,-9,209,93
1729740098.158237,RIGHT_LEG,15880,-1576,5328,-742,65,131,94
1729740098.203414,RIGHT_LEG,15896,-1512,5388,-913,97,94,95
1729740098.2043803,RIGHT_LEG,15732,-1436,5384,-1143,152,-62,96
1729740098.2053127,RIGHT_LEG,15824,-1604,5632,-1181,108,-59,97
1729740098.2484531,RIGHT_LEG,15932,-1844,5564,-1087,142,-159,98
1729740098.293422,RIGHT_LEG,16028,-1668,5792,-902,85,-138,99
1729740098.2944071,RIGHT_LEG,15856,-1580,5432,-760,118,-13,100
1729740098.3825743,RIGHT_LEG,15836,-1648,5684,-810,202,-19,101
1729740098.4271395,RIGHT_LEG,15944,-1452,5864,-928,13,92,102
1729740098.4285665,RIGHT_LEG,15700,-1584,5520,-630,4,317,103
1729740098.430946,RIGHT_LEG,15832,-1728,5540,-601,137,248,104
1729740098.4731042,RIGHT_LEG,15924,-1740,5336,-453,309,280,105
1729740098.4742196,RIGHT_LEG,15880,-1728,5640,-329,432,265,106
1729740098.5172427,RIGHT_LEG,15664,-1672,5888,-388,452,227,107
1729740098.6073036,RIGHT_LEG,15784,-1780,5840,-367,384,261,108
1729740098.608458,RIGHT_LEG,15736,-1684,5832,-377,344,212,109
