time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740314.8535757,RIGHT_HAND,-6984,17940,-10224,-3790,11642,-2292,12
1729740314.8980443,RIGHT_HAND,-8972,19848,-9480,-992,13863,-3537,13
1729740314.8988426,RIGHT_HAND,-13240,20028,-14048,11060,353,-4228,14
1729740314.9436045,RIGHT_HAND,-18904,20440,-15124,15510,-2187,-10897,15
1729740314.988045,RIGHT_HAND,-23680,22632,-15032,16598,2972,-19065,16
1729740315.0327957,RIGHT_HAND,-23176,26860,-6964,22769,20892,-26325,18
1729740315.0779965,RIGHT_HAND,-19616,27116,-1812,23814,27771,-26589,19
1729740315.1228073,RIGHT_HAND,-15232,25336,2744,23815,26887,-26688,20
1729740315.12354,RIGHT_HAND,-12212,22060,4664,22512,23253,-27771,21
1729740315.1679645,RIGHT_HAND,-10964,19528,6920,18473,19554,-29649,22
1729740315.2131922,RIGHT_HAND,-9264,16708,6168,13291,14167,-32768,23
1729740315.2139163,RIGHT_HAND,-7796,14076,4636,5040,10338,-32768,24
1729740315.2573256,RIGHT_HAND,-4004,10284,1444,418,10218,-32768,25
1729740315.309486,RIGHT_HAND,-384,7828,-4996,-449,9102,-32768,26
1729740315.3101795,RIGHT_HAND,2432,5572,-6992,-802,9402,-29437,27
1729740315.3474,RIGHT_HAND,6352,2800,-12188,3433,12255,-19497,28
1729740315.392479,RIGHT_HAND,8148,-36,-14128,7173,13557,-11571,29
1729740315.3927464,RIGHT_HAND,11392,-4304,-18984,4449,13085,-4055,30
1729740315.4379826,RIGHT_HAND,13744,-7684,-19076,-2351,10544,1754,31
1729740315.4830887,RIGHT_HAND,12596,-3732,-18064,-6852,910,10391,32
1729740315.4839048,RIGHT_HAND,9428,-488,-19320,-3691,-4078,18017,33
1729740315.528451,RIGHT_HAND,5244,1568,-18216,-1451,-8414,24607,34
1729740315.572511,RIGHT_HAND,2196,2596,-16500,-3717,-12589,28946,35
1729740315.573323,RIGHT_HAND,-2824,6876,-12124,-7200,-2770,31377,36
1729740315.6184592,RIGHT_HAND,-4940,12128,-8968,-12174,-1440,32767,37
1729740315.6630766,RIGHT_HAND,-6124,14784,-3388,-7082,-7731,30552,38
1729740315.6638923,RIGHT_HAND,-7224,12004,-1880,900,-13165,23904,39
1729740315.7084718,RIGHT_HAND,-7412,8764,-4132,-2027,-15679,18396,40
1729740315.7530835,RIGHT_HAND,-7816,8664,-4656,-7505,-16169,13543,41
1729740315.7538946,RIGHT_HAND,-8960,8824,-5160,-9128,-14778,11844,42
1729740315.7975578,RIGHT_HAND,-9232,10948,-7504,-12454,-6894,11755,43
1729740315.8430538,RIGHT_HAND,-9192,11468,-6356,-17635,-2221,14031,44
1729740315.8889894,RIGHT_HAND,-9904,13404,-7332,-20663,-673,16268,45
1729740315.890024,RIGHT_HAND,-9028,14244,-8364,-22264,1192,14974,46
1729740315.9331403,RIGHT_HAND,-9036,16800,-8580,-23079,-2419,14231,47
1729740315.9791877,RIGHT_HAND,-9840,19596,-7348,-24489,-5081,13156,48
1729740315.9801815,RIGHT_HAND,-9668,19848,-10876,-17349,-7367,10997,49
1729740316.023062,RIGHT_HAND,-8796,20368,-11220,-19372,-3422,11418,50
1729740316.068071,RIGHT_HAND,-8300,21944,-4476,-18168,-6217,9298,51
1729740316.0690622,RIGHT_HAND,-9372,19744,-9360,-11217,-18695,4909,52
1729740316.1139164,RIGHT_HAND,-10640,19872,-10700,-16120,-9760,3878,53
1729740316.158369,RIGHT_HAND,-9552,20528,-6060,-14018,-1028,4850,54
1729740316.2030456,RIGHT_HAND,-7440,17356,-4960,-6353,-492,4428,55
1729740316.2481394,RIGHT_HAND,-6444,15856,-5944,-8348,1970,4331,56
1729740316.294683,RIGHT_HAND,-5348,16396,-5632,-8955,1255,4519,57
1729740316.2959237,RIGHT_HAND,-3232,16468,-4000,-7378,-7219,2184,58
1729740316.338218,RIGHT_HAND,-192,18508,-5700,-4149,-20796,-5208,59
1729740316.3831458,RIGHT_HAND,-3212,19732,-2888,6008,-30171,-2577,60
1729740316.3840795,RIGHT_HAND,-5972,15664,-172,9837,-23810,-2609,61
1729740316.429061,RIGHT_HAND,-5932,14220,-1208,4648,-16114,-2492,62
1729740316.5180788,RIGHT_HAND,-5864,15672,-668,421,-6143,-802,63
1729740316.5190153,RIGHT_HAND,-4740,15700,1088,-471,4449,669,64
1729740316.5640635,RIGHT_HAND,-3724,15092,1620,-2219,8703,1549,65
1729740316.5649545,RIGHT_HAND,-3272,15096,1028,-3435,9483,1161,66
1729740316.565815,RIGHT_HAND,-2864,15572,-344,-4214,10083,502,67
1729740316.609192,RIGHT_HAND,-2040,16448,248,-3474,9911,142,68
1729740316.6531992,RIGHT_HAND,-1080,17388,-52,-395,6734,332,69
1729740316.6541193,RIGHT_HAND,-1028,16248,792,2128,3881,825,70
1729740316.6991467,RIGHT_HAND,-1416,15376,1092,938,1855,466,71
1729740316.7441385,RIGHT_HAND,-1544,15472,1168,62,302,4,72
1729740316.7450519,RIGHT_HAND,-1464,15588,1056,-509,-1047,-430,73
1729740316.786723,RIGHT_HAND,-1480,15760,304,-1285,-2601,-722,74
1729740316.8332133,RIGHT_HAND,-1692,16008,128,-1116,-4081,-833,75
1729740316.8766625,RIGHT_HAND,-1972,16316,156,-577,-5452,-846,76
1729740316.8777337,RIGHT_HAND,-2512,16268,148,443,-5819,-762,77
1729740316.923215,RIGHT_HAND,-2892,15864,-52,397,-4744,-631,78
1729740316.9690626,RIGHT_HAND,-3120,15756,-24,-396,-2886,-603,79
1729740316.969992,RIGHT_HAND,-3112,15816,152,-597,-1028,-485,80
1729740317.0132895,RIGHT_HAND,-2876,15992,104,-810,407,-270,81
1729740317.056635,RIGHT_HAND,-2628,16044,24,-645,1277,-178,82
1729740317.0575888,RIGHT_HAND,-2504,15820,40,-520,1526,-99,83
1729740317.103623,RIGHT_HAND,-2320,15928,464,-532,1693,-66,84
1729740317.1482348,RIGHT_HAND,-2264,15816,468,-682,1734,-25,85
1729740317.1491497,RIGHT_HAND,-2096,15720,520,-721,1559,23,86
1729740317.1937168,RIGHT_HAND,-2176,15880,496,-1086,1178,-146,87
1729740317.2381978,RIGHT_HAND,-2188,16020,700,-951,435,-564,88
1729740317.2391152,RIGHT_HAND,-2224,15876,572,-423,-201,-688,89
1729740317.2837358,RIGHT_HAND,-2160,15824,624,-490,138,-563,90
1729740317.327808,RIGHT_HAND,-2084,16288,568,-1020,70,-279,91
1729740317.328744,RIGHT_HAND,-2236,16132,336,-782,-241,-61,92
