time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449076.5915682,RIGHT_HAND,-3800,15996,-6608,-2403,3983,-238,115
1730449076.63668,RIGHT_HAND,-9936,18580,-9332,1355,7372,-3607,117
1730449076.679966,RIGHT_HAND,-12340,19728,-12248,11072,10224,-10862,119
1730449076.7245717,RIGHT_HAND,-13256,22272,-11316,14392,14398,-15329,121
1730449076.815087,RIGHT_HAND,-11956,24560,-9480,19872,14364,-18139,123
1730449076.8634546,RIGHT_HAND,-9508,23776,-8096,24128,13057,-18604,125
1730449076.9040096,RIGHT_HAND,-7196,21424,-6852,24201,13329,-17387,126
1730449076.996674,RIGHT_HAND,-4692,18252,-4876,24554,14799,-14608,127
1730449076.9978185,RIGHT_HAND,-3060,14784,-2992,22795,13116,-12679,128
1730449077.0409577,RIGHT_HAND,-2272,12532,-2248,18484,10921,-12563,129
1730449077.0420046,RIGHT_HAND,-1152,11420,-2020,14936,9654,-13211,130
1730449077.0860016,RIGHT_HAND,-1212,11280,-1872,12222,7284,-13811,131
1730449077.1309383,RIGHT_HAND,-1496,10872,-1708,8608,5410,-15257,132
1730449077.1319966,RIGHT_HAND,1028,9064,-2708,10847,4929,-15795,133
1730449077.219908,RIGHT_HAND,636,5764,-5020,12000,2827,-17179,134
1730449077.2639976,RIGHT_HAND,-336,5244,-8388,7897,-2787,-18444,135
1730449077.2643232,RIGHT_HAND,-320,3064,-10512,6118,-5295,-16238,136
1730449077.3100653,RIGHT_HAND,-1688,-472,-13660,9373,-10539,-13497,137
1730449077.3105502,RIGHT_HAND,-2400,-2364,-15432,4900,-10127,-9465,138
1730449077.3547506,RIGHT_HAND,-2964,-7860,-18260,2374,-12523,-5625,139
1730449077.355784,RIGHT_HAND,-3676,-9328,-18892,3641,-12885,-1953,140
1730449077.4457803,RIGHT_HAND,-4932,-11184,-18220,-107,-10489,1225,141
1730449077.4907956,RIGHT_HAND,-3468,-16784,-20248,-1604,-9242,3298,142
1730449077.4916816,RIGHT_HAND,-4040,-18244,-24212,-380,-7082,4474,143
1730449077.5357733,RIGHT_HAND,-5308,-20296,-24088,-1278,-1924,3667,144
1730449077.536628,RIGHT_HAND,-6256,-19520,-22836,-240,1368,2376,145
1730449077.5795417,RIGHT_HAND,-7880,-17188,-21544,885,2484,694,146
1730449077.5804453,RIGHT_HAND,-8764,-16620,-20360,2904,6665,926,147
1730449077.6707861,RIGHT_HAND,-9788,-12440,-19068,-404,9431,2762,148
1730449077.6719866,RIGHT_HAND,-9452,-7984,-17000,1270,18280,7061,149
1730449077.714557,RIGHT_HAND,-7504,-3804,-14744,-858,21604,12047,150
1730449077.7156322,RIGHT_HAND,-5164,1188,-12176,-4681,15889,15898,151
1730449077.7595208,RIGHT_HAND,-3792,4328,-10440,-12370,9360,18127,152
1730449077.7605598,RIGHT_HAND,-2764,10708,-9316,-16855,7878,17791,153
1730449077.8057272,RIGHT_HAND,-1236,11640,-2636,-14037,-3262,14060,154
1730449077.8069012,RIGHT_HAND,-984,12628,-3152,-2691,-10056,9157,155
1730449077.8947518,RIGHT_HAND,-328,8964,-6728,2865,-6519,5610,156
1730449077.9407983,RIGHT_HAND,828,5216,-7584,1546,-2618,4917,157
1730449077.9418037,RIGHT_HAND,704,3956,-8568,-5847,345,6403,158
1730449077.9846258,RIGHT_HAND,-372,4988,-7976,-15424,1702,8035,159
1730449077.9863431,RIGHT_HAND,-1964,7096,-9792,-18320,-1756,9114,160
1730449077.9873493,RIGHT_HAND,-3864,8524,-10828,-17055,-4249,10506,161
1730449078.0307047,RIGHT_HAND,-5716,8632,-12112,-16607,-5042,12489,162
1730449078.1197484,RIGHT_HAND,-7224,11116,-13692,-22472,-2646,12450,163
1730449078.1657352,RIGHT_HAND,-7628,11944,-12176,-24472,-4477,10831,164
1730449078.1667361,RIGHT_HAND,-8592,15864,-14656,-24329,-4465,11022,165
1730449078.2094688,RIGHT_HAND,-7664,16748,-13256,-23016,602,10513,166
1730449078.2105103,RIGHT_HAND,-6656,17816,-12292,-17516,-3119,10964,167
1730449078.254546,RIGHT_HAND,-7112,18080,-11668,-19186,-6835,10457,168
1730449078.2556007,RIGHT_HAND,-6932,18284,-11388,-16912,-9747,9107,169
1730449078.3457603,RIGHT_HAND,-7252,18660,-10776,-13113,-8255,7951,170
1730449078.3469756,RIGHT_HAND,-6776,18236,-8116,-11800,-8156,6867,171
1730449078.3907802,RIGHT_HAND,-6164,17548,-5444,-10264,-12008,6094,172
1730449078.3917866,RIGHT_HAND,-7156,17276,-7860,-9910,-14181,5816,173
1730449078.4357765,RIGHT_HAND,-7308,17460,-7000,-11006,-10381,5185,174
1730449078.4369206,RIGHT_HAND,-7028,16996,-5420,-8354,-8578,4833,175
1730449078.4806368,RIGHT_HAND,-7268,16340,-8044,-8176,-5450,4258,176
