time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449013.5904167,RIGHT_LEG,16280,-3660,2896,-306,14,184,192
1730449013.635243,RIGHT_LEG,16008,-4096,3416,-536,-255,95,194
1730449013.7264783,RIGHT_LEG,16036,-4068,3412,-491,-722,-29,196
1730449013.77191,RIGHT_LEG,16076,-4284,3296,-365,-764,28,198
1730449013.816341,RIGHT_LEG,16120,-3836,2776,-436,-696,-43,200
1730449013.8613498,RIGHT_LEG,16080,-4052,3108,-394,-560,-94,201
1730449013.9054306,RIGHT_LEG,16076,-3952,3068,-452,-685,-149,202
1730449013.9062748,RIGHT_LEG,16128,-3940,3000,-474,-846,-137,203
1730449013.9510956,RIGHT_LEG,16288,-3740,2788,-349,-793,-78,204
1730449013.9954937,RIGHT_LEG,16304,-3800,2624,-274,-623,11,205
1730449013.9964144,RIGHT_LEG,16252,-3648,2688,-453,-402,104,206
1730449014.040806,RIGHT_LEG,16168,-4040,2800,-486,-254,87,207
1730449014.085357,RIGHT_LEG,16104,-3928,2992,-512,-312,-16,208
1730449014.0861475,RIGHT_LEG,16128,-3748,2732,-514,-347,31,209
1730449014.1308353,RIGHT_LEG,16216,-3884,2692,-498,-185,121,210
1730449014.175402,RIGHT_LEG,16140,-4004,2720,-403,16,97,211
1730449014.1761892,RIGHT_LEG,16024,-4004,3104,-345,81,78,212
1730449014.2203298,RIGHT_LEG,16080,-3888,3312,-499,-193,81,213
1730449014.265809,RIGHT_LEG,15988,-3904,2988,-655,-312,46,214
1730449014.2666245,RIGHT_LEG,16080,-3976,3052,-650,-355,-2,215
1730449014.31041,RIGHT_LEG,16188,-3868,2648,-613,-325,8,216
1730449014.3557835,RIGHT_LEG,16176,-4068,2832,-505,-280,-32,217
1730449014.356602,RIGHT_LEG,16148,-3992,2940,-549,-327,-111,218
1730449014.4003875,RIGHT_LEG,16120,-4020,3024,-514,-421,-108,219
1730449014.4458275,RIGHT_LEG,16204,-4028,3024,-518,-540,-216,220
1730449014.4905095,RIGHT_LEG,16120,-3996,2816,-400,-548,-247,221
1730449014.491543,RIGHT_LEG,16156,-3932,2764,-346,-528,-274,222
1730449014.5357473,RIGHT_LEG,16224,-3844,2892,-134,-523,-255,223
1730449014.5806863,RIGHT_LEG,16120,-3740,3052,-157,-574,-204,224
1730449014.5817187,RIGHT_LEG,16156,-3596,2672,-36,-594,-68,225
1730449014.6257925,RIGHT_LEG,16180,-3660,2592,63,-429,70,226
1730449014.6703894,RIGHT_LEG,16240,-3704,2588,5,-304,129,227
1730449014.7158017,RIGHT_LEG,16180,-3664,2620,9,-116,208,228
1730449014.7604012,RIGHT_LEG,16148,-3756,2764,-57,19,257,229
1730449014.8058317,RIGHT_LEG,16076,-3760,2916,-261,62,209,230
1730449014.8066409,RIGHT_LEG,16172,-3780,3012,-290,66,251,231
1730449014.850383,RIGHT_LEG,16140,-3924,2988,-371,3,228,232
1730449014.8960638,RIGHT_LEG,16212,-3760,2800,-492,-10,179,233
1730449014.8968816,RIGHT_LEG,16160,-4004,3040,-596,-124,149,234
1730449014.9403832,RIGHT_LEG,16100,-3900,2980,-661,-254,158,235
1730449014.9856756,RIGHT_LEG,16036,-3820,2928,-734,-240,137,236
1730449014.9864895,RIGHT_LEG,16192,-3896,2824,-659,-297,116,237
1730449015.030391,RIGHT_LEG,16132,-3880,2932,-585,-274,162,238
1730449015.0753527,RIGHT_LEG,16168,-3828,2864,-648,-197,134,239
1730449015.0761456,RIGHT_LEG,16088,-3964,3000,-677,-212,126,240
1730449015.120636,RIGHT_LEG,16068,-3832,2948,-710,-251,134,241
1730449015.1653636,RIGHT_LEG,16100,-3940,3036,-608,-267,199,242
1730449015.1661513,RIGHT_LEG,16228,-4044,3016,-638,-267,199,243
1730449015.2108703,RIGHT_LEG,16124,-3880,2972,-684,-244,191,244
1730449015.2553656,RIGHT_LEG,16100,-4128,2860,-524,-122,199,245
1730449015.25615,RIGHT_LEG,16176,-3984,2640,-371,63,235,246
1730449015.301415,RIGHT_LEG,16104,-4000,2820,-333,227,284,247
1730449015.3455956,RIGHT_LEG,16100,-4072,3092,-259,282,229,248
1730449015.3906934,RIGHT_LEG,16088,-4040,3300,-289,119,145,249
1730449015.3915071,RIGHT_LEG,15960,-4056,3344,-360,-11,133,250
1730449015.435408,RIGHT_LEG,16120,-4096,3184,-384,-151,103,251
1730449015.4808874,RIGHT_LEG,15988,-3884,3252,-464,-220,49,252
1730449015.4817069,RIGHT_LEG,16020,-3952,3196,-599,-316,-11,253
1730449015.5254076,RIGHT_LEG,16104,-3952,3416,-617,-466,43,254
1730449015.6152887,RIGHT_LEG,16192,-4116,2708,-282,-261,209,255
1730449015.6160824,RIGHT_LEG,16036,-4420,3092,-368,-154,-12,1
1730449015.6608622,RIGHT_LEG,16104,-3984,3352,-321,-265,74,2
1730449015.6616378,RIGHT_LEG,16072,-4180,3064,-294,-312,24,3
1730449015.6624143,RIGHT_LEG,16172,-4052,3124,-225,-262,-1,4
1730449015.705386,RIGHT_LEG,15928,-3900,3268,-327,-228,29,5
1730449015.7508934,RIGHT_LEG,16060,-4016,3204,-354,-269,2,6
1730449015.7517102,RIGHT_LEG,15948,-3992,3248,-446,-286,-18,7
1730449015.7953987,RIGHT_LEG,16036,-4040,3164,-460,-287,-31,8
1730449015.840394,RIGHT_LEG,16064,-3992,3100,-416,-347,29,9
