time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741275.9870753,RIGHT_LEG,16088,-1840,4920,-518,-692,-112,249
1729741276.0753913,RIGHT_LEG,16060,-1732,4860,-260,-480,130,251
1729741276.164929,RIGHT_LEG,16020,-1672,4992,-352,-174,76,253
1729741276.2130952,RIGHT_LEG,15896,-1816,5128,-562,-710,73,255
1729741276.300443,RIGHT_LEG,15956,-1964,4700,-582,-1059,-13,2
1729741276.3012862,RIGHT_LEG,16036,-1828,4408,-525,-944,-51,3
1729741276.3454401,RIGHT_LEG,16208,-1812,4544,-548,-852,-60,4
1729741276.346287,RIGHT_LEG,16144,-1932,4724,-570,-855,-120,5
1729741276.3903797,RIGHT_LEG,16136,-1728,4740,-535,-917,-166,6
1729741276.3914385,RIGHT_LEG,16164,-1736,4488,-437,-907,-139,7
1729741276.4353983,RIGHT_LEG,16236,-1724,4160,-188,-669,-89,8
1729741276.4362478,RIGHT_LEG,16204,-1660,4424,55,-595,50,9
1729741276.5255554,RIGHT_LEG,16304,-1672,4148,-82,-385,113,10
1729741276.526516,RIGHT_LEG,16336,-1416,4012,-6,32,280,11
1729741276.5703545,RIGHT_LEG,16180,-1616,4120,119,504,416,12
1729741276.5715675,RIGHT_LEG,16104,-1668,4408,-145,857,384,13
1729741276.614335,RIGHT_LEG,15972,-1756,4544,-335,1113,418,14
1729741276.6146243,RIGHT_LEG,16016,-1924,4648,-462,1257,358,15
1729741276.660126,RIGHT_LEG,16080,-1744,5304,-502,1052,283,16
1729741276.6609685,RIGHT_LEG,15780,-1912,5572,-724,548,238,17
1729741276.7506306,RIGHT_LEG,15824,-1996,5444,-862,22,192,18
1729741276.7952583,RIGHT_LEG,16096,-1832,5204,-778,-287,112,19
1729741276.797083,RIGHT_LEG,15896,-2160,5572,-675,-634,39,20
1729741276.840329,RIGHT_LEG,16004,-2008,5120,-678,-966,-108,21
1729741276.8414931,RIGHT_LEG,15920,-1824,4876,-722,-1127,-118,22
1729741276.885675,RIGHT_LEG,16060,-1824,4892,-674,-1197,-136,23
1729741276.8870156,RIGHT_LEG,16152,-1972,4648,-358,-1133,-22,24
1729741276.9752998,RIGHT_LEG,16200,-2004,4308,-94,-950,16,25
1729741276.9762695,RIGHT_LEG,16168,-1848,4416,-176,-712,-62,26
1729741277.0202303,RIGHT_LEG,16132,-1624,4308,-214,-499,96,27
1729741277.0651836,RIGHT_LEG,16148,-1788,4520,-197,-248,230,28
1729741277.0667725,RIGHT_LEG,15924,-1648,4740,-168,-89,309,29
1729741277.1103287,RIGHT_LEG,16108,-1868,4752,-194,-83,400,30
1729741277.1114793,RIGHT_LEG,15988,-1940,4736,-377,1,393,31
1729741277.2003832,RIGHT_LEG,16080,-1920,4604,-535,69,344,32
1729741277.2016876,RIGHT_LEG,15896,-2228,4772,-548,98,245,33
1729741277.245338,RIGHT_LEG,15948,-2120,4888,-622,26,179,34
1729741277.2465913,RIGHT_LEG,15860,-2016,4900,-634,-58,168,35
1729741277.290313,RIGHT_LEG,16140,-2072,4732,-576,-106,90,36
1729741277.2912617,RIGHT_LEG,15988,-1984,4664,-401,-2,85,37
1729741277.3385541,RIGHT_LEG,15996,-2136,4892,-405,33,27,38
1729741277.3394809,RIGHT_LEG,15976,-1948,4856,-386,21,27,39
1729741277.425147,RIGHT_LEG,15924,-2060,4884,-412,-20,23,40
1729741277.4705548,RIGHT_LEG,15964,-2072,4860,-468,-77,15,41
1729741277.4715164,RIGHT_LEG,15972,-2028,4768,-331,-52,90,42
1729741277.5155427,RIGHT_LEG,16076,-2028,4808,-279,59,122,43
1729741277.516511,RIGHT_LEG,16132,-1924,4916,-241,133,110,44
1729741277.560606,RIGHT_LEG,15928,-2012,5200,-259,122,112,45
1729741277.5615635,RIGHT_LEG,16004,-2092,4916,-316,136,91,46
1729741277.650379,RIGHT_LEG,16028,-2156,5040,-218,114,96,47
1729741277.6513388,RIGHT_LEG,15948,-1972,5140,-247,147,39,48
1729741277.6955376,RIGHT_LEG,15984,-1920,5084,-350,120,27,49
1729741277.7405324,RIGHT_LEG,15940,-2012,5352,-409,-25,-16,50
1729741277.7414908,RIGHT_LEG,15828,-1948,5132,-495,-170,-100,51
1729741277.7854917,RIGHT_LEG,15872,-2012,5148,-326,-410,-80,52
1729741277.8755963,RIGHT_LEG,16048,-1972,5132,-116,-381,-1,53
1729741277.8765442,RIGHT_LEG,16240,-1932,4720,-223,-267,-84,54
1729741277.9202619,RIGHT_LEG,16012,-1820,4996,-237,-97,13,55
1729741277.9652958,RIGHT_LEG,15812,-1880,5188,-412,-141,14,56
1729741277.9662192,RIGHT_LEG,15916,-1824,5044,-390,-165,74,57
1729741277.9671168,RIGHT_LEG,16012,-2204,5140,-347,-135,13,58
1729741278.010385,RIGHT_LEG,15992,-1976,5032,-263,-134,-93,59
1729741278.100554,RIGHT_LEG,15908,-1868,5104,-265,16,-21,60
1729741278.1015189,RIGHT_LEG,15912,-1852,5236,-363,55,-83,61
1729741278.1456008,RIGHT_LEG,15868,-1968,5412,-301,-23,-23,62
1729741278.146662,RIGHT_LEG,15944,-1956,5220,-359,-124,-39,63
1729741278.1905422,RIGHT_LEG,15948,-2020,5244,-309,-95,-65,64
1729741278.1915011,RIGHT_LEG,15988,-1872,4860,-292,-1,2,65
1729741278.2355053,RIGHT_LEG,16000,-1816,5208,-218,-29,23,66
1729741278.2364628,RIGHT_LEG,15900,-1876,5428,-310,29,-24,67
1729741278.3256135,RIGHT_LEG,15892,-1892,5372,-332,-13,-28,68
1729741278.37052,RIGHT_LEG,15764,-1948,5280,-325,1,-50,69
1729741278.3716385,RIGHT_LEG,15920,-1884,5256,-314,53,-47,70
1729741278.4155653,RIGHT_LEG,15856,-1976,5396,-291,32,-41,71
1729741278.4165232,RIGHT_LEG,15832,-1828,5560,-325,0,-50,72
1729741278.4605641,RIGHT_LEG,15792,-1888,5556,-346,-43,-50,73
1729741278.4615254,RIGHT_LEG,15728,-1888,5452,-368,-82,-49,74
1729741278.550561,RIGHT_LEG,15832,-1760,5460,-346,-67,-54,75
1729741278.5515125,RIGHT_LEG,15860,-1860,5616,-316,-121,-43,76
1729741278.5955818,RIGHT_LEG,15788,-1936,5548,-330,-147,-57,77
