time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741455.6180732,RIGHT_HAND,364,15940,-832,-731,1085,-125,207
1729741455.6634274,RIGHT_HAND,-3196,16788,-5756,-1473,-470,-3880,209
1729741455.6650193,RIGHT_HAND,-12456,23056,-12500,17617,3663,-13952,211
1729741455.751976,RIGHT_HAND,-11080,15560,-11220,11408,-11196,-31487,213
1729741455.841327,RIGHT_HAND,-28264,17668,-4976,10146,-20124,-32768,215
1729741455.8865159,RIGHT_HAND,-26184,18888,3708,-4514,23593,-32768,217
1729741455.8867607,RIGHT_HAND,-21496,19376,7472,-5575,23105,-32768,218
1729741455.9316254,RIGHT_HAND,-15004,15800,8360,-5156,20035,-32768,219
1729741455.9780827,RIGHT_HAND,-10124,12772,6044,-7167,13467,-32768,220
1729741455.9789288,RIGHT_HAND,-7168,10584,3432,-11483,7372,-32768,221
1729741456.0672574,RIGHT_HAND,-4160,8340,2348,-13221,4449,-32768,222
1729741456.0689995,RIGHT_HAND,-1668,6980,-3808,-13740,927,-22732,223
1729741456.0697894,RIGHT_HAND,-352,6804,-9732,-16486,4170,-15063,224
1729741456.1134212,RIGHT_HAND,900,7500,-10664,-15539,8111,-7981,225
1729741456.1584003,RIGHT_HAND,2980,9636,-11852,-4566,5877,-389,226
1729741456.1592402,RIGHT_HAND,3316,8420,-10384,9151,-948,9134,227
1729741456.2022128,RIGHT_HAND,1744,5664,-9196,15969,-8147,17361,228
1729741456.2915835,RIGHT_HAND,-596,4724,-6820,15534,-12443,23569,229
1729741456.2919781,RIGHT_HAND,-4004,5300,-1264,13814,-15703,30025,230
1729741456.293594,RIGHT_HAND,-10172,7500,604,14926,-17665,32767,231
1729741456.2940726,RIGHT_HAND,-14436,9028,1288,10786,-14571,32767,232
1729741456.3371992,RIGHT_HAND,-18312,11740,-992,4215,-3372,32767,233
1729741456.3827622,RIGHT_HAND,-19856,16040,236,-1081,10159,32767,234
1729741456.427661,RIGHT_HAND,-16976,14708,3672,-866,-1944,32767,235
1729741456.4290876,RIGHT_HAND,-17244,15128,-340,-8711,-5104,32767,236
1729741456.5175464,RIGHT_HAND,-17940,20044,-2696,-16297,-7357,32767,237
1729741456.5640664,RIGHT_HAND,-17796,22784,-4560,-10677,-13202,32767,238
1729741456.5656824,RIGHT_HAND,-15504,21756,-6000,-11814,483,32767,239
1729741456.5674653,RIGHT_HAND,-13580,20812,-4324,-9100,5712,30217,240
1729741456.6071687,RIGHT_HAND,-10180,19732,-6644,-11545,4945,25803,241
1729741456.6521113,RIGHT_HAND,-8612,19600,-4420,-14378,3001,20986,242
1729741456.6529138,RIGHT_HAND,-6508,19548,-3868,-10946,-850,15411,243
1729741456.7423363,RIGHT_HAND,-5692,17920,-3688,-7251,-2741,9602,244
1729741456.7873414,RIGHT_HAND,-4544,16908,-3152,-3918,-5007,3283,245
1729741456.7882645,RIGHT_HAND,-4320,16720,-2328,-1714,-6448,-1417,246
1729741456.8345094,RIGHT_HAND,-3356,16456,-2460,-922,-8086,-4016,247
1729741456.8778043,RIGHT_HAND,-2396,16244,-3752,108,-6686,-5233,248
1729741456.8789396,RIGHT_HAND,-2928,16828,-4148,600,3078,-4339,249
1729741456.9683897,RIGHT_HAND,-2204,17384,-4024,-259,14402,-1623,250
1729741457.0125713,RIGHT_HAND,-232,17976,-3064,-190,24613,2244,251
1729741457.0137835,RIGHT_HAND,2080,17636,-808,1536,28274,5132,252
1729741457.0152676,RIGHT_HAND,3812,15648,684,2200,23238,4338,253
1729741457.0573194,RIGHT_HAND,4104,15464,1332,1323,15323,1580,254
1729741457.0586212,RIGHT_HAND,3584,15856,1444,1344,8027,124,255
1729741457.1021774,RIGHT_HAND,2812,15696,1328,781,3431,-434,1
1729741457.1923518,RIGHT_HAND,2188,15816,836,325,383,-408,2
1729741457.193282,RIGHT_HAND,1780,16116,496,-73,-87,-268,3
1729741457.194102,RIGHT_HAND,1776,16168,308,-270,973,112,4
1729741457.194937,RIGHT_HAND,2136,16188,16,-578,1271,93,5
