time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449227.9889045,RIGHT_HAND,-1648,16156,-772,-470,-2138,-702,10
1730449227.9933558,RIGHT_HAND,-4856,15284,-3460,-884,-193,-1482,12
1730449228.080349,RIGHT_HAND,-12592,16072,-4884,-1024,4902,-5666,14
1730449228.1233387,RIGHT_HAND,-20824,15228,-2664,5142,2461,-20104,16
1730449228.1685493,RIGHT_HAND,-21816,15424,-860,-1847,10864,-32768,18
1730449228.3044543,RIGHT_HAND,-20664,21960,4016,-3729,16552,-32768,20
1730449228.3052998,RIGHT_HAND,-19588,20344,3960,-1035,15723,-32768,21
1730449228.306378,RIGHT_HAND,-18032,17740,3992,-3395,11599,-32768,22
1730449228.3071675,RIGHT_HAND,-17076,15736,2980,-6457,7521,-32768,23
1730449228.3497362,RIGHT_HAND,-15620,12872,2980,-7777,9793,-32768,24
1730449228.3947573,RIGHT_HAND,-14200,10648,2972,-10720,8653,-32768,25
1730449228.4397256,RIGHT_HAND,-12516,8124,376,-11054,10812,-32768,26
1730449228.4405718,RIGHT_HAND,-8524,5720,-1116,-11726,14950,-29144,27
1730449228.5279427,RIGHT_HAND,-5052,5564,-3276,-14750,11525,-24208,28
1730449228.5298266,RIGHT_HAND,-2140,6192,-6068,-12268,10792,-18421,29
1730449228.5301337,RIGHT_HAND,272,6812,-8288,-6453,7900,-11490,30
1730449228.5735686,RIGHT_HAND,2036,6364,-10120,-1858,5312,-3794,31
1730449228.620457,RIGHT_HAND,2908,5248,-10636,1273,2441,4861,32
1730449228.6214812,RIGHT_HAND,1260,4232,-9840,2692,-1784,13678,33
1730449228.664579,RIGHT_HAND,-1796,4328,-9368,3014,-6002,21715,34
1730449228.7535946,RIGHT_HAND,-4152,5124,-8032,4591,-6299,28708,35
1730449228.7548938,RIGHT_HAND,-8788,6400,-5900,4939,-7729,32767,36
1730449228.7988462,RIGHT_HAND,-12696,7540,-5760,4075,-5529,32767,37
1730449228.8004162,RIGHT_HAND,-15644,9796,-4660,1308,-1354,32767,38
1730449228.8438535,RIGHT_HAND,-16224,11972,-4772,-846,259,32767,39
1730449228.845009,RIGHT_HAND,-16308,13372,-2940,-4029,2122,32767,40
1730449228.8900392,RIGHT_HAND,-15848,15636,-3112,-8543,-4759,32767,41
1730449228.9786656,RIGHT_HAND,-15744,18704,-3480,-9482,-8282,32767,42
1730449229.0237575,RIGHT_HAND,-16212,18936,-2904,-7720,-7756,32724,43
1730449229.0247624,RIGHT_HAND,-15012,18568,-5272,-9153,-4775,27933,44
1730449229.1136892,RIGHT_HAND,-12748,18584,-4160,-11961,-3735,23992,45
1730449229.1153028,RIGHT_HAND,-10224,18656,-3400,-10520,-6817,19918,46
1730449229.2034817,RIGHT_HAND,-8496,18396,-3440,-9039,-10408,15650,47
1730449229.2047713,RIGHT_HAND,-7464,18000,-2108,-7824,-14171,12236,48
1730449229.2061388,RIGHT_HAND,-6544,17272,-616,-5807,-19262,8708,49
1730449229.2074192,RIGHT_HAND,-6856,15952,-568,-3570,-24113,5443,50
1730449229.2501514,RIGHT_HAND,-7556,15672,-1572,-4104,-24669,2963,51
1730449229.2514725,RIGHT_HAND,-6968,16288,-1500,-4843,-22417,1263,52
1730449229.2935343,RIGHT_HAND,-6312,16404,-1224,-4185,-26179,-1102,53
1730449229.3398087,RIGHT_HAND,-6772,16076,-1080,-1643,-32768,-4493,54
1730449229.3409078,RIGHT_HAND,-7352,15944,-3852,1389,-32768,-6636,55
1730449229.429728,RIGHT_HAND,-9044,15920,-5412,1549,-19279,-5576,56
1730449229.4748163,RIGHT_HAND,-8056,16416,-5064,215,-2915,-3567,57
1730449229.4759705,RIGHT_HAND,-6544,16180,-2532,-1531,8848,-2107,58
1730449229.476978,RIGHT_HAND,-4484,15824,-280,-1808,14611,-1032,59
1730449229.5198102,RIGHT_HAND,-2492,15104,968,-1443,15708,-743,60
1730449229.520983,RIGHT_HAND,-1336,15436,936,-2984,12448,-605,61
1730449229.5648873,RIGHT_HAND,-1064,16604,752,-3861,8929,64,62
1730449229.6547408,RIGHT_HAND,-872,17392,824,-1930,6382,714,63
1730449229.699492,RIGHT_HAND,-300,16288,1060,892,2732,384,64
1730449229.700378,RIGHT_HAND,-728,15192,1484,1171,-3105,-132,65
1730449229.7012432,RIGHT_HAND,-1824,14716,-192,-8,-6110,-48,66
1730449229.744828,RIGHT_HAND,-3152,16716,-1136,-3794,-3785,1276,67
1730449229.7459662,RIGHT_HAND,-3484,18136,-1176,-2321,35,2097,68
1730449229.7896671,RIGHT_HAND,-2568,16452,-1320,2547,3194,1736,69
1730449229.8786354,RIGHT_HAND,-2580,14652,-1316,640,2130,477,70
1730449229.8797984,RIGHT_HAND,-2988,15388,-688,-2186,2598,-237,71
1730449229.881024,RIGHT_HAND,-3044,16368,-392,-697,5642,-157,72
1730449229.8820739,RIGHT_HAND,-2240,16084,-284,-107,7859,-78,73
1730449229.9246993,RIGHT_HAND,-1316,15708,-644,-919,7064,-399,74
1730449229.9698415,RIGHT_HAND,-1000,15856,-396,-1272,5054,-598,75
1730449230.0147755,RIGHT_HAND,-1220,16160,84,-1137,3296,-440,76
1730449230.0159137,RIGHT_HAND,-1684,16328,8,-1101,2517,179,77
1730449230.1046839,RIGHT_HAND,-1848,16168,-356,-879,2715,880,78
1730449230.149801,RIGHT_HAND,-1904,15696,-700,-1057,2950,1103,79
1730449230.1506772,RIGHT_HAND,-1936,15752,-380,-1653,2264,828,80
1730449230.1515386,RIGHT_HAND,-2020,16340,-564,-1465,1765,514,81
1730449230.1946692,RIGHT_HAND,-2152,16464,-944,-583,1959,319,82
1730449230.195818,RIGHT_HAND,-2096,16072,-1040,-187,2656,335,83
1730449230.2385845,RIGHT_HAND,-1952,15712,-1032,-271,3211,305,84
1730449230.328889,RIGHT_HAND,-2024,15784,-908,-384,3334,25,85
1730449230.3741007,RIGHT_HAND,-1960,15888,-824,-98,3267,-440,86
1730449230.374576,RIGHT_HAND,-1568,15976,432,253,2876,-1116,87
1730449230.3749976,RIGHT_HAND,-1464,15068,-448,642,1592,-1490,88
1730449230.4194658,RIGHT_HAND,-2092,16052,-1668,-3011,2412,-469,89
1730449230.4204257,RIGHT_HAND,-2492,18620,-948,-4998,4379,1804,90
1730449230.4648297,RIGHT_HAND,-2136,17920,-616,752,7565,3422,91
1730449230.599721,RIGHT_HAND,-1476,14632,-1548,2488,8627,2392,92
1730449230.6008806,RIGHT_HAND,-1544,14676,-808,-1806,6569,729,93
1730449230.6017592,RIGHT_HAND,-1496,16352,-740,-1679,4753,74,94
