time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741596.7634804,RIGHT_LEG,15940,-2608,5320,-372,-173,99,2
1729741596.8541968,RIGHT_LEG,15772,-2704,5240,-519,-398,34,4
1729741596.8987093,RIGHT_LEG,15776,-2740,5260,-521,-659,-31,6
1729741596.9421031,RIGHT_LEG,15920,-2648,5176,-487,-885,-44,8
1729741596.9890394,RIGHT_LEG,15972,-2608,4772,-423,-767,16,10
1729741597.0781925,RIGHT_LEG,16016,-2712,4948,-404,-719,-37,11
1729741597.1234443,RIGHT_LEG,15996,-2616,4868,-418,-702,-46,12
1729741597.1242843,RIGHT_LEG,16080,-2676,4740,-384,-582,0,13
1729741597.1250806,RIGHT_LEG,15852,-2576,4696,-388,-420,-30,14
1729741597.1684856,RIGHT_LEG,15924,-2544,4740,-368,-292,2,15
1729741597.2134664,RIGHT_LEG,15936,-2576,4836,-346,-191,40,16
1729741597.214521,RIGHT_LEG,15948,-2620,4916,-378,-150,-5,17
1729741597.303275,RIGHT_LEG,15900,-2588,4992,-402,-201,36,18
1729741597.3482318,RIGHT_LEG,16000,-2500,4804,-473,-199,31,19
1729741597.3490505,RIGHT_LEG,16064,-2472,4744,-538,-98,93,20
1729741597.3498156,RIGHT_LEG,15940,-2612,4860,-489,10,121,21
1729741597.3931525,RIGHT_LEG,15860,-2620,4932,-407,69,143,22
1729741597.3942175,RIGHT_LEG,15816,-2668,5072,-400,104,132,23
1729741597.4368474,RIGHT_LEG,15820,-2788,5060,-415,41,129,24
1729741597.5272024,RIGHT_LEG,15872,-2624,5216,-434,-38,101,25
1729741597.5281436,RIGHT_LEG,15812,-2580,5100,-462,-72,67,26
1729741597.572269,RIGHT_LEG,15844,-2552,4908,-485,-58,107,27
1729741597.5730782,RIGHT_LEG,15728,-2552,5092,-462,-44,157,28
1729741597.5738287,RIGHT_LEG,15880,-2564,4800,-422,27,256,29
1729741597.617154,RIGHT_LEG,15820,-2696,4992,-394,97,286,30
1729741597.662188,RIGHT_LEG,15884,-2684,4980,-431,177,306,31
1729741597.663302,RIGHT_LEG,15808,-2636,5056,-449,213,371,32
1729741597.7521966,RIGHT_LEG,15764,-2748,5272,-516,186,396,33
1729741597.7970269,RIGHT_LEG,15688,-2804,5124,-629,127,314,34
1729741597.7981908,RIGHT_LEG,15692,-2908,5100,-575,89,354,35
1729741597.8423412,RIGHT_LEG,15680,-2936,5100,-572,70,285,36
1729741597.8446236,RIGHT_LEG,15744,-2856,5264,-493,74,245,37
1729741597.8873856,RIGHT_LEG,15708,-2864,5340,-459,49,129,38
1729741597.8883197,RIGHT_LEG,15736,-2968,5396,-438,-57,-14,39
1729741597.978599,RIGHT_LEG,15504,-2812,5620,-326,-175,-42,40
1729741598.0231488,RIGHT_LEG,15632,-2888,5416,-322,-333,-51,41
1729741598.02402,RIGHT_LEG,15700,-2868,5420,-412,-375,-50,42
1729741598.024958,RIGHT_LEG,15684,-2760,5200,-329,-347,-4,43
1729741598.067216,RIGHT_LEG,15716,-2732,5096,-331,-152,28,44
1729741598.068311,RIGHT_LEG,15772,-2564,5248,-367,-28,114,45
