time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449427.2325315,RIGHT_LEG,15956,-4372,3348,-483,-248,52,216
1730449427.3218663,RIGHT_LEG,15944,-4272,3532,-399,-253,53,218
1730449427.3681939,RIGHT_LEG,15824,-4228,3412,-476,-504,-116,220
1730449427.4115248,RIGHT_LEG,15960,-4348,3296,-395,-654,-125,222
1730449427.4567804,RIGHT_LEG,15988,-4228,3336,-399,-597,-43,224
1730449427.5457168,RIGHT_LEG,15956,-4224,3376,-433,-515,7,225
1730449427.5474882,RIGHT_LEG,16004,-4184,3312,-426,-425,27,226
1730449427.5483322,RIGHT_LEG,16008,-4228,3292,-358,-367,19,227
1730449427.5909235,RIGHT_LEG,16088,-4188,3128,-294,-267,50,228
1730449427.6357014,RIGHT_LEG,15852,-4276,3316,-286,-215,96,229
1730449427.6819081,RIGHT_LEG,15916,-4264,3376,-335,-165,50,230
1730449427.6829631,RIGHT_LEG,15884,-4272,3496,-349,-200,74,231
1730449427.7716427,RIGHT_LEG,15920,-4220,3308,-404,-190,98,232
1730449427.8164058,RIGHT_LEG,16040,-4296,3460,-435,-214,125,233
1730449427.8170977,RIGHT_LEG,15996,-4256,3416,-460,-264,86,234
1730449427.817847,RIGHT_LEG,15968,-4192,3304,-472,-264,119,235
1730449427.8616037,RIGHT_LEG,15952,-4268,3404,-373,-219,153,236
1730449427.862578,RIGHT_LEG,15880,-4224,3480,-354,-235,165,237
1730449427.9063215,RIGHT_LEG,15972,-4264,3344,-354,-154,147,238
1730449427.9956489,RIGHT_LEG,15924,-4324,3428,-414,-179,86,239
1730449427.99683,RIGHT_LEG,15928,-4360,3396,-433,-260,71,240
1730449428.040557,RIGHT_LEG,15812,-4376,3440,-484,-377,8,241
1730449428.0857058,RIGHT_LEG,15936,-4304,3504,-565,-432,-94,242
1730449428.1318011,RIGHT_LEG,16028,-4348,3372,-469,-367,-98,243
1730449428.2207472,RIGHT_LEG,15860,-4236,3376,-500,-326,-93,244
1730449428.2218087,RIGHT_LEG,15916,-4300,3492,-542,-389,-53,245
1730449428.2228734,RIGHT_LEG,16036,-4304,3268,-570,-517,34,246
1730449428.2240462,RIGHT_LEG,16036,-4276,3116,-484,-406,68,247
1730449428.2676206,RIGHT_LEG,16060,-4196,3108,-355,-141,178,248
1730449428.2689276,RIGHT_LEG,15904,-4104,3360,-365,52,240,249
1730449428.3107822,RIGHT_LEG,15900,-4164,3412,-396,34,235,250
1730449428.3558607,RIGHT_LEG,15936,-4392,3624,-472,-37,191,251
1730449428.3571384,RIGHT_LEG,15984,-4296,3588,-527,-124,167,252
1730449428.4456728,RIGHT_LEG,15932,-4332,3392,-441,-125,170,253
1730449428.4904962,RIGHT_LEG,15996,-4276,3324,-463,-56,142,254
1730449428.4917023,RIGHT_LEG,15884,-4372,3396,-383,-47,106,255
1730449428.4929147,RIGHT_LEG,15860,-4412,3528,-390,7,45,1
1730449428.5357804,RIGHT_LEG,16008,-4392,3632,-436,-42,-56,2
1730449428.5811782,RIGHT_LEG,15816,-4352,3540,-407,-187,-82,3
1730449428.5823665,RIGHT_LEG,15852,-4364,3536,-424,-209,-89,4
1730449428.6717737,RIGHT_LEG,16004,-4348,3552,-386,-224,-79,5
1730449428.7168102,RIGHT_LEG,15968,-4296,3460,-370,-258,-94,6
1730449428.717705,RIGHT_LEG,15892,-4256,3436,-348,-242,-42,7
1730449428.7185793,RIGHT_LEG,15940,-4252,3548,-332,-184,-21,8
1730449428.7618513,RIGHT_LEG,15860,-4116,3516,-284,-159,102,9
1730449428.762791,RIGHT_LEG,15928,-4220,3648,-332,-231,183,10
1730449428.8056834,RIGHT_LEG,15856,-4296,3316,-259,-206,322,11
1730449428.89575,RIGHT_LEG,15828,-4724,3640,-327,-145,189,12
1730449428.8966799,RIGHT_LEG,15884,-4204,3636,-494,-164,121,13
1730449428.897516,RIGHT_LEG,15932,-4232,3448,-427,-189,226,14
1730449428.8977935,RIGHT_LEG,15740,-4516,3692,-340,-180,148,15
1730449428.9409742,RIGHT_LEG,15920,-4316,3608,-302,-219,115,16
1730449428.9856708,RIGHT_LEG,15884,-4552,3584,-344,-238,81,17
1730449429.0338027,RIGHT_LEG,15920,-4356,3644,-378,-189,13,18
1730449429.0349717,RIGHT_LEG,16016,-4328,3676,-359,-205,14,19
1730449429.1209772,RIGHT_LEG,15852,-4268,3728,-397,-211,62,20
1730449429.1668437,RIGHT_LEG,15920,-4436,3532,-420,-210,100,21
1730449429.1677473,RIGHT_LEG,15932,-4428,3732,-429,-270,19,22
1730449429.1686292,RIGHT_LEG,15800,-4392,3688,-454,-296,-13,23
1730449429.2118556,RIGHT_LEG,15824,-4416,3596,-442,-322,18,24
1730449429.256845,RIGHT_LEG,15852,-4276,3592,-364,-325,-3,25
1730449429.2579892,RIGHT_LEG,15804,-4452,3740,-384,-307,-33,26
1730449429.34579,RIGHT_LEG,15832,-4384,3636,-380,-334,-44,27
1730449429.3477056,RIGHT_LEG,15924,-4244,3656,-369,-339,-12,28
1730449429.3486252,RIGHT_LEG,15872,-4252,3644,-375,-401,-58,29
1730449429.3909094,RIGHT_LEG,15928,-4412,3656,-402,-383,10,30
1730449429.4347022,RIGHT_LEG,15980,-4364,3552,-387,-367,5,31
1730449429.4800017,RIGHT_LEG,15980,-4256,3780,-382,-335,33,32
1730449429.4804244,RIGHT_LEG,15992,-4320,3532,-380,-324,43,33
1730449429.571893,RIGHT_LEG,16052,-4384,3580,-344,-250,51,34
1730449429.5728302,RIGHT_LEG,15792,-4316,3660,-331,-300,13,35
1730449429.616886,RIGHT_LEG,15880,-4268,3644,-419,-356,19,36
1730449429.6177676,RIGHT_LEG,15984,-4420,3572,-378,-401,-14,37
1730449429.6186337,RIGHT_LEG,15916,-4356,3644,-434,-428,-28,38
1730449429.660849,RIGHT_LEG,15904,-4304,3456,-413,-394,-11,39
1730449429.7068956,RIGHT_LEG,15852,-4292,3652,-473,-397,-4,40
1730449429.7078216,RIGHT_LEG,15972,-4332,3616,-408,-340,7,41
1730449429.7956765,RIGHT_LEG,15940,-4252,3620,-394,-357,-6,42
1730449429.8418338,RIGHT_LEG,15864,-4364,3564,-391,-350,26,43
1730449429.8427157,RIGHT_LEG,15816,-4328,3508,-380,-355,42,44
