time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741706.1737595,RIGHT_HAND,4620,15928,3688,6897,4922,-2462,114
1729741706.3093226,RIGHT_HAND,4032,14800,2580,4388,-12558,-7757,116
1729741706.3122704,RIGHT_HAND,876,18192,900,658,-19642,-9882,118
1729741706.399424,RIGHT_HAND,292,12660,-4276,2703,-14485,-4217,120
1729741706.4444556,RIGHT_HAND,-1252,14828,-4768,-2215,-11136,6033,122
1729741706.5353515,RIGHT_HAND,-3516,16416,-4540,-5614,-8253,7826,124
1729741706.5361416,RIGHT_HAND,-4288,17408,-3240,-3948,-5576,6115,125
1729741706.5369217,RIGHT_HAND,-4796,18100,-2772,-1872,-3252,4042,126
1729741706.5792706,RIGHT_HAND,-4624,19808,-2280,-1920,-369,2332,127
1729741706.624368,RIGHT_HAND,-4048,19996,-2272,-307,2090,786,128
1729741706.6691628,RIGHT_HAND,-2596,18244,-2764,665,3657,-1056,129
1729741706.6700292,RIGHT_HAND,-1636,16876,-3120,1526,3037,-2118,130
1729741706.7591465,RIGHT_HAND,-1100,15724,-3548,2031,1849,-2203,131
1729741706.8499284,RIGHT_HAND,-912,15404,-3676,1764,963,-1740,132
1729741706.8515196,RIGHT_HAND,-1248,15768,-2964,1642,6,-1112,133
1729741706.852621,RIGHT_HAND,-1624,15760,-3168,1691,177,-894,134
1729741706.894614,RIGHT_HAND,-1472,15820,-2948,1098,1278,-583,135
1729741706.895936,RIGHT_HAND,-1700,15884,-2948,226,2052,392,136
1729741706.8971145,RIGHT_HAND,-1632,15228,-3280,-287,4186,1440,137
1729741706.9846919,RIGHT_HAND,-1404,15000,-3196,-1419,6668,2317,138
1729741707.0293021,RIGHT_HAND,-928,15396,-2684,-2274,9174,2868,139
1729741707.0304728,RIGHT_HAND,16,16520,-1448,-2693,11576,2616,140
1729741707.0315912,RIGHT_HAND,1096,18004,308,-2379,11681,1718,141
1729741707.0752323,RIGHT_HAND,1864,18564,624,-1819,10672,1086,142
1729741707.076325,RIGHT_HAND,2256,15792,588,1087,9854,708,143
1729741707.1191792,RIGHT_HAND,2932,13324,736,1235,8335,510,144
1729741707.209388,RIGHT_HAND,3004,13292,680,72,5807,479,145
1729741707.210599,RIGHT_HAND,2492,15288,140,-3734,1896,616,146
1729741707.2542791,RIGHT_HAND,1504,16284,152,-4249,477,39,147
1729741707.2551844,RIGHT_HAND,920,16424,-104,-3852,1334,-800,148
1729741707.2560833,RIGHT_HAND,760,17292,224,-2574,3093,-845,149
1729741707.298624,RIGHT_HAND,1176,17040,188,-1001,4207,423,150
1729741707.345,RIGHT_HAND,1184,15988,-184,-1933,3596,1773,151
1729741707.3463817,RIGHT_HAND,848,16084,-288,-3111,1650,2364,152
1729741707.4340417,RIGHT_HAND,400,16700,-360,-3071,-533,2184,153
1729741707.4360049,RIGHT_HAND,-192,17036,-528,-1892,-1929,1429,154
1729741707.4371338,RIGHT_HAND,-476,16484,-756,-629,-1832,248,155
1729741707.4808311,RIGHT_HAND,-372,16028,-1208,70,-781,-956,156
1729741707.5245483,RIGHT_HAND,-64,16120,-1240,-51,541,-1539,157
1729741707.525624,RIGHT_HAND,268,16704,-680,62,1804,-1485,158
1729741707.5695794,RIGHT_HAND,828,16664,-328,448,1633,-1100,159
1729741707.6594913,RIGHT_HAND,996,16316,-68,266,717,-929,160
1729741707.704514,RIGHT_HAND,1084,16144,-392,-116,-390,-1029,161
1729741707.705419,RIGHT_HAND,880,16024,-552,-462,-455,-1317,162
1729741707.70631,RIGHT_HAND,948,16328,-600,-379,426,-1483,163
1729741707.7492962,RIGHT_HAND,1296,16388,-560,-195,1048,-1409,164
1729741707.7504852,RIGHT_HAND,1504,16144,-232,-235,986,-1167,165
1729741707.7945457,RIGHT_HAND,1524,15940,-320,-706,380,-763,166
1729741707.8843217,RIGHT_HAND,1344,16080,-568,-1195,-116,-206,167
1729741707.8854034,RIGHT_HAND,1068,16200,-668,-1495,-84,268,168
1729741707.9294887,RIGHT_HAND,952,16216,-584,-1336,178,667,169
1729741707.9304018,RIGHT_HAND,876,16192,-632,-1432,392,853,170
1729741707.9312077,RIGHT_HAND,700,16564,-556,-1504,-20,681,171
1729741707.9742138,RIGHT_HAND,656,16576,-584,-1328,38,508,172
1729741708.0185108,RIGHT_HAND,796,16516,-668,-1123,69,223,173
1729741708.0196807,RIGHT_HAND,836,16308,-684,-982,11,251,174
1729741708.1094246,RIGHT_HAND,756,16276,-636,-1156,29,477,175
1729741708.153252,RIGHT_HAND,816,16212,-780,-1046,15,622,176
1729741708.154304,RIGHT_HAND,820,16168,-716,-845,-133,729,177
1729741708.1553354,RIGHT_HAND,736,16344,-724,-903,-79,593,178
1729741708.1993492,RIGHT_HAND,708,16532,-356,-647,-189,305,179
1729741708.2003908,RIGHT_HAND,680,16368,-540,-353,-154,-120,180
1729741708.2445915,RIGHT_HAND,788,16336,-620,-356,-15,-422,181
1729741708.3344135,RIGHT_HAND,980,16212,-456,-431,232,-480,182
1729741708.3795507,RIGHT_HAND,976,16132,-524,-463,464,-276,183
1729741708.3805802,RIGHT_HAND,1076,16128,-436,-600,570,-99,184
1729741708.3815563,RIGHT_HAND,1112,16104,-328,-660,470,38,185
1729741708.4245746,RIGHT_HAND,1064,16208,-180,-590,344,25,186
1729741708.4256175,RIGHT_HAND,936,16136,-352,-637,327,-42,187
1729741708.4696097,RIGHT_HAND,1012,16248,-540,-650,485,-43,188
1729741708.5586753,RIGHT_HAND,976,16208,-444,-645,775,-120,189
1729741708.559136,RIGHT_HAND,1024,16252,-232,-741,794,-181,190
1729741708.6033418,RIGHT_HAND,1056,16360,-280,-738,721,-248,191
1729741708.6044383,RIGHT_HAND,1064,16372,-236,-649,526,-240,192
1729741708.6054885,RIGHT_HAND,1104,16284,-356,-484,291,-311,193
1729741708.6496277,RIGHT_HAND,1080,16164,-436,-549,225,-397,194
1729741708.6933763,RIGHT_HAND,1092,16300,-412,-642,431,-345,195
1729741708.7833412,RIGHT_HAND,1180,16304,-368,-528,561,-290,196
1729741708.7844238,RIGHT_HAND,1160,16232,-516,-387,388,-393,197
1729741708.8285286,RIGHT_HAND,1052,16052,-232,-354,-154,-477,198
