time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741875.6124814,RIGHT_LEG,28556,-3456,3280,4956,14655,24202,151
1729741875.6581964,RIGHT_LEG,24552,-964,-204,2846,9041,13246,153
1729741875.792177,RIGHT_LEG,22108,7896,3892,-3929,1623,4200,155
1729741875.837215,RIGHT_LEG,23732,8092,-6044,2763,-7549,-8077,157
1729741875.83912,RIGHT_LEG,16392,7276,4680,2959,-4703,-5999,159
1729741875.8823931,RIGHT_LEG,17428,1648,260,-932,-1699,-2117,160
1729741875.9281223,RIGHT_LEG,18112,-5308,596,-1447,1173,-133,161
1729741875.9291394,RIGHT_LEG,16432,-2672,3588,1431,3231,1136,162
1729741875.9731948,RIGHT_LEG,15144,-2820,5572,2940,2357,1805,163
1729741876.01753,RIGHT_LEG,15580,-4304,5836,1433,703,-316,164
1729741876.018472,RIGHT_LEG,15888,-4000,4340,353,-311,-2733,165
1729741876.0625653,RIGHT_LEG,16328,-2432,3980,842,-642,-2682,166
1729741876.1072357,RIGHT_LEG,16600,-924,3720,842,-358,-1701,167
1729741876.1081746,RIGHT_LEG,16424,-1368,3704,214,130,-1017,168
1729741876.1525326,RIGHT_LEG,16264,-1788,3812,-295,708,-743,169
1729741876.2422464,RIGHT_LEG,16252,-1940,4212,-332,983,-495,170
1729741876.2434258,RIGHT_LEG,16176,-2132,4444,7,992,-359,171
1729741876.2875335,RIGHT_LEG,16096,-1980,4756,174,667,-388,172
1729741876.2884479,RIGHT_LEG,16108,-1728,4376,150,489,-308,173
1729741876.2893279,RIGHT_LEG,16160,-1772,4460,15,600,-225,174
1729741876.3325593,RIGHT_LEG,16108,-1564,4484,63,752,23,175
1729741876.377557,RIGHT_LEG,16060,-1956,4900,20,672,100,176
1729741876.4224193,RIGHT_LEG,15960,-2020,4904,-184,605,-85,177
1729741876.4233663,RIGHT_LEG,16000,-1704,4888,-219,518,-61,178
1729741876.4676023,RIGHT_LEG,15984,-1656,4916,-196,455,64,179
1729741876.5125172,RIGHT_LEG,16276,-1808,5012,-178,366,132,180
1729741876.5136058,RIGHT_LEG,15920,-2008,4996,-167,439,192,181
1729741876.557544,RIGHT_LEG,15992,-2008,5168,-251,396,162,182
1729741876.6024506,RIGHT_LEG,15900,-1944,5412,-379,140,-16,183
1729741876.6035326,RIGHT_LEG,16052,-1700,5320,-382,-2,-82,184
1729741876.6923966,RIGHT_LEG,15964,-1792,5208,-360,27,-2,185
1729741876.7375395,RIGHT_LEG,16048,-1852,5152,-391,2,59,186
1729741876.738418,RIGHT_LEG,16000,-1740,5116,-534,82,-25,187
1729741876.7392817,RIGHT_LEG,15924,-1880,5272,-525,-9,44,188
1729741876.8273356,RIGHT_LEG,16040,-1760,5280,-439,59,172,189
1729741876.8285036,RIGHT_LEG,15924,-1864,5088,-455,42,205,190
1729741876.8722975,RIGHT_LEG,15876,-2000,5384,-468,-15,127,191
1729741876.8731763,RIGHT_LEG,15892,-1844,5308,-461,-133,80,192
1729741876.8740451,RIGHT_LEG,15884,-1912,5220,-400,-194,94,193
1729741876.9175909,RIGHT_LEG,15880,-1784,5416,-385,-242,70,194
1729741876.962502,RIGHT_LEG,15780,-1992,5452,-394,-309,85,195
1729741876.963424,RIGHT_LEG,15920,-1860,5348,-389,-338,71,196
1729741877.0065653,RIGHT_LEG,16048,-1824,5288,-415,-336,122,197
1729741877.05256,RIGHT_LEG,15936,-1804,5264,-395,-269,221,198
1729741877.1423736,RIGHT_LEG,15900,-1980,5224,-388,-257,280,199
1729741877.1435556,RIGHT_LEG,15924,-1988,5196,-384,-234,237,200
1729741877.1872685,RIGHT_LEG,15844,-2044,5400,-389,-327,156,201
1729741877.1881497,RIGHT_LEG,15852,-1912,5300,-386,-374,125,202
1729741877.1890056,RIGHT_LEG,15952,-2012,5284,-415,-341,161,203
1729741877.232567,RIGHT_LEG,15928,-1916,5264,-407,-288,203,204
1729741877.2775626,RIGHT_LEG,16012,-1948,5140,-416,-198,235,205
1729741877.2784827,RIGHT_LEG,15876,-2024,5280,-400,-218,208,206
1729741877.3225973,RIGHT_LEG,15880,-1908,5376,-459,-224,168,207
1729741877.3675454,RIGHT_LEG,15916,-2044,5092,-434,-188,245,208
1729741877.36847,RIGHT_LEG,15760,-1928,5212,-445,-132,221,209
1729741877.4113617,RIGHT_LEG,15896,-2108,5316,-454,-84,229,210
1729741877.4575644,RIGHT_LEG,15812,-2136,5088,-421,-123,151,211
1729741877.4584856,RIGHT_LEG,15804,-2192,5468,-445,-224,40,212
1729741877.5025918,RIGHT_LEG,15772,-2068,5248,-404,-331,-44,213
1729741877.5923576,RIGHT_LEG,15964,-2080,5272,-390,-318,-43,214
1729741877.5932848,RIGHT_LEG,15924,-1892,5088,-395,-259,-14,215
1729741877.637267,RIGHT_LEG,15860,-2040,5296,-343,-205,38,216
1729741877.6381679,RIGHT_LEG,15872,-1972,5420,-354,-181,65,217
1729741877.6393037,RIGHT_LEG,15880,-1980,5228,-401,-185,47,218
1729741877.6821778,RIGHT_LEG,15844,-1940,5212,-323,-161,78,219
1729741877.7274907,RIGHT_LEG,15828,-2000,5480,-342,-238,13,220
1729741877.7711122,RIGHT_LEG,15868,-1964,5372,-377,-274,-65,221
1729741877.7721622,RIGHT_LEG,15844,-1996,5196,-347,-218,-4,222
1729741877.8174198,RIGHT_LEG,15728,-2020,5368,-346,-269,-33,223
1729741877.862538,RIGHT_LEG,15852,-2016,5420,-402,-356,-67,224
1729741877.8634653,RIGHT_LEG,15808,-1976,5436,-394,-397,-62,225
1729741877.9074132,RIGHT_LEG,15900,-2020,5356,-382,-329,-2,226
1729741877.9513657,RIGHT_LEG,15920,-2076,5456,-407,-348,-35,227
