time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449577.5022602,RIGHT_HAND,-5244,15504,-1276,-895,-475,-804,6
1730449577.592463,RIGHT_HAND,-12304,15224,-4240,-596,3730,-5039,8
1730449577.6374989,RIGHT_HAND,-16716,14288,-3416,791,-1464,-15103,10
1730449577.6833055,RIGHT_HAND,-21844,15628,1480,1809,-10932,-28857,12
1730449577.7736764,RIGHT_HAND,-22272,17492,3772,-7487,-8654,-32768,14
1730449577.816908,RIGHT_HAND,-18748,16220,3088,-7164,-8058,-32768,16
1730449577.8622696,RIGHT_HAND,-14992,12804,4448,-10071,-2817,-32768,17
1730449577.8644893,RIGHT_HAND,-14280,13644,4604,-13185,-5278,-30228,18
1730449577.9074795,RIGHT_HAND,-16340,12320,-3600,-10112,-642,-31098,19
1730449577.952532,RIGHT_HAND,-15176,10440,-360,2308,-8774,-26526,20
1730449577.9533753,RIGHT_HAND,-11472,4608,-788,-114,8187,-18674,21
1730449577.9963236,RIGHT_HAND,-8816,1576,2228,-10843,27599,-12645,22
1730449578.0424337,RIGHT_HAND,-4440,2572,4976,-10353,31803,-9239,23
1730449578.043271,RIGHT_HAND,2056,3284,5964,-4382,31777,-3811,24
1730449578.0875173,RIGHT_HAND,8688,2996,3604,1428,26316,4025,25
1730449578.1324513,RIGHT_HAND,11516,5276,2268,-1589,15948,14771,26
1730449578.1332924,RIGHT_HAND,10160,7616,2792,-6962,-2543,23371,27
1730449578.1776955,RIGHT_HAND,2128,10980,3340,-13657,-25393,26231,28
1730449578.222736,RIGHT_HAND,-7200,16016,5792,-12155,-26584,25834,29
1730449578.2675083,RIGHT_HAND,-17304,15024,4848,-2393,-16451,29942,30
1730449578.2685943,RIGHT_HAND,-22488,10564,3472,846,-14189,26260,31
1730449578.3114965,RIGHT_HAND,-28020,9040,2240,531,-19314,23067,32
1730449578.3573418,RIGHT_HAND,-32492,9032,2800,794,-20315,16518,33
1730449578.3588777,RIGHT_HAND,-32768,7628,1132,4934,-19079,10366,34
1730449578.4024913,RIGHT_HAND,-32768,3128,2948,6693,-17020,3648,35
1730449578.4924412,RIGHT_HAND,-32768,3112,3048,4305,-13662,-3783,36
1730449578.4937367,RIGHT_HAND,-32768,1172,5460,-3270,-2667,-10564,37
1730449578.537734,RIGHT_HAND,-32768,4396,9848,-4834,6251,-18739,38
1730449578.5391533,RIGHT_HAND,-32768,9152,10656,-8250,15215,-28937,39
1730449578.5403254,RIGHT_HAND,-32768,12304,9436,-10690,16972,-32768,40
1730449578.5825293,RIGHT_HAND,-30128,14108,10820,-11747,18815,-32768,41
1730449578.628313,RIGHT_HAND,-22588,15304,10276,-9031,22102,-32768,42
