time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742210.3044744,RIGHT_HAND,960,16188,-776,-596,188,-79,178
1729742210.393549,RIGHT_HAND,156,16716,-4884,441,-1371,-880,180
1729742210.4395494,RIGHT_HAND,-3264,24100,-22136,1728,10960,-1548,182
1729742210.4845264,RIGHT_HAND,-1756,28612,-20652,28794,18317,-948,184
1729742210.531151,RIGHT_HAND,-5300,32208,-15792,32767,-2889,-10341,186
1729742210.667274,RIGHT_HAND,-11480,25148,-11304,32767,-13695,-24905,188
1729742210.7081916,RIGHT_HAND,-12336,20080,-8540,32767,-14743,-32352,189
1729742210.7091591,RIGHT_HAND,-10436,13936,-5580,32767,-14420,-32768,190
1729742210.753391,RIGHT_HAND,-6768,10268,-1004,25776,-13973,-32768,191
1729742210.7544196,RIGHT_HAND,-3172,7316,1032,22069,-18783,-32768,192
1729742210.8434296,RIGHT_HAND,-2708,5496,3108,14144,-25168,-25293,193
1729742210.844369,RIGHT_HAND,6072,5208,-8144,8309,-19210,-10171,194
1729742210.8884833,RIGHT_HAND,4640,5032,-6540,6805,-7943,-7246,195
1729742210.889531,RIGHT_HAND,5264,5400,-6836,6616,-6849,-2035,196
1729742210.933256,RIGHT_HAND,3476,2000,-252,2944,-8254,-630,197
1729742210.9342582,RIGHT_HAND,4460,872,-2812,-2530,-7658,4276,198
1729742210.9782403,RIGHT_HAND,1436,2172,-284,-5674,-5669,10031,199
1729742210.9790938,RIGHT_HAND,420,1452,2820,-7958,-2260,14193,200
1729742211.0675478,RIGHT_HAND,784,2432,860,-10689,-1142,18325,201
1729742211.0678833,RIGHT_HAND,-316,5056,1576,-14473,-5207,20885,202
1729742211.1133497,RIGHT_HAND,-2256,9900,1228,-16388,-15427,25582,203
1729742211.1149373,RIGHT_HAND,-9132,14800,3060,-17536,-32768,27134,204
1729742211.1581683,RIGHT_HAND,-19252,20716,10008,-13022,-32768,24318,205
1729742211.159165,RIGHT_HAND,-27704,19076,5576,4760,-32768,18221,206
1729742211.2031121,RIGHT_HAND,-32768,11776,3252,4024,-32768,20286,207
1729742211.2039905,RIGHT_HAND,-31860,14608,2344,-1152,-9670,17985,208
1729742211.2936234,RIGHT_HAND,-31024,15144,5884,-2670,7174,14846,209
1729742211.2947817,RIGHT_HAND,-29616,16224,5052,-4923,3625,11152,210
1729742211.3384402,RIGHT_HAND,-28372,16460,2476,114,-430,4916,211
1729742211.3393939,RIGHT_HAND,-28696,13636,1348,1949,-1495,743,212
1729742211.3841627,RIGHT_HAND,-30960,13044,3444,-141,-5059,-5258,213
1729742211.387423,RIGHT_HAND,-32768,12820,3292,3818,-7634,-11728,214
1729742211.4283006,RIGHT_HAND,-32768,11360,1296,2873,-666,-15765,215
1729742211.5191517,RIGHT_HAND,-32768,13344,4472,-1446,8402,-21112,216
1729742211.5201266,RIGHT_HAND,-29788,14816,5132,-732,21961,-24217,217
1729742211.6083,RIGHT_HAND,-23840,15656,5988,55,25367,-27485,218
1729742211.609636,RIGHT_HAND,-19136,16948,7364,2168,23347,-29464,219
1729742211.6532893,RIGHT_HAND,-13628,15436,5812,4486,22342,-30488,220
1729742211.654531,RIGHT_HAND,-9344,13548,4784,4144,22919,-28897,221
