time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449554.4568026,RIGHT_LEG,15744,-4564,3664,-362,-331,50,193
1730449554.5029502,RIGHT_LEG,15656,-4628,3852,-453,-405,21,195
1730449554.5488694,RIGHT_LEG,15660,-4684,3972,-727,-1012,-201,197
1730449554.6358283,RIGHT_LEG,15920,-4256,3492,-575,-1234,-258,199
1730449554.6807053,RIGHT_LEG,15808,-4492,3412,-616,-1276,-378,201
1730449554.726638,RIGHT_LEG,15956,-4464,3180,-587,-1297,-379,202
1730449554.727808,RIGHT_LEG,15948,-4372,3072,-486,-1150,-291,203
1730449554.771619,RIGHT_LEG,15984,-4356,2932,-455,-952,-252,204
1730449554.817885,RIGHT_LEG,16052,-4336,2616,-529,-604,-235,205
1730449554.8189397,RIGHT_LEG,16024,-4420,2800,-528,-130,-210,206
1730449554.8617368,RIGHT_LEG,16248,-4136,2568,-692,305,-89,207
1730449554.9078872,RIGHT_LEG,16240,-3968,2280,-585,1156,232,208
1730449554.9089465,RIGHT_LEG,16192,-4280,2204,-252,2227,453,209
1730449554.9529269,RIGHT_LEG,15656,-3792,1804,243,3809,971,210
1730449554.9978867,RIGHT_LEG,15892,-3964,1724,202,5672,1151,211
1730449555.0428917,RIGHT_LEG,15908,-4596,3540,1281,6629,1402,212
1730449555.043864,RIGHT_LEG,15356,-5220,4136,1830,7234,1285,213
1730449555.0869782,RIGHT_LEG,14216,-4664,6152,1324,7216,1119,214
1730449555.1307304,RIGHT_LEG,14460,-4356,6308,1362,6190,1142,215
1730449555.1310563,RIGHT_LEG,15132,-5272,8252,1238,4338,958,216
1730449555.1765451,RIGHT_LEG,13968,-4896,9476,-212,2371,250,217
1730449555.2224874,RIGHT_LEG,14912,-4956,8260,-411,196,218,218
1730449555.223679,RIGHT_LEG,14416,-5564,8292,-652,-1823,-183,219
1730449555.2661138,RIGHT_LEG,15248,-4840,7272,-860,-3204,-736,220
1730449555.3111112,RIGHT_LEG,14816,-4332,6668,-1027,-4038,-726,221
1730449555.3117213,RIGHT_LEG,14864,-4052,6004,-1158,-4494,-466,222
1730449555.3574843,RIGHT_LEG,14840,-3892,5868,-1189,-4712,-54,223
1730449555.4469352,RIGHT_LEG,15408,-4116,5300,-1499,-4784,260,224
