time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729742113.6910553,RIGHT_LEG,16132,-2544,4664,-401,-329,34,15
1729742113.7375813,RIGHT_LEG,16024,-2560,4648,-405,-317,187,17
1729742113.8275552,RIGHT_LEG,15832,-3068,4612,-331,-368,43,19
1729742113.8732412,RIGHT_LEG,15852,-3004,4696,-257,-668,-459,21
1729742113.9171255,RIGHT_LEG,16068,-2660,4476,-147,-935,-1089,23
1729742114.008893,RIGHT_LEG,16108,-2496,4584,-87,-863,-1214,24
1729742114.0515633,RIGHT_LEG,16016,-2576,4388,-137,-825,-1378,25
1729742114.052409,RIGHT_LEG,16088,-2428,4340,-85,-885,-1443,26
1729742114.0532784,RIGHT_LEG,16048,-2304,4304,80,-958,-1469,27
1729742114.0963125,RIGHT_LEG,16168,-2056,4340,95,-967,-1512,28
1729742114.1415539,RIGHT_LEG,16200,-1884,4348,180,-1060,-1436,29
1729742114.186847,RIGHT_LEG,16084,-1680,4124,232,-1147,-1358,30
1729742114.1874092,RIGHT_LEG,16268,-1764,4004,284,-1185,-1200,31
1729742114.2325184,RIGHT_LEG,16316,-1748,4064,164,-1212,-1094,32
1729742114.2334664,RIGHT_LEG,16224,-1492,4116,145,-1214,-1075,33
1729742114.2776217,RIGHT_LEG,16276,-1200,3996,157,-1200,-877,34
1729742114.322185,RIGHT_LEG,16208,-1112,3724,-19,-1212,-554,35
1729742114.3230953,RIGHT_LEG,16464,-948,3784,-152,-949,-131,36
1729742114.3675575,RIGHT_LEG,16332,-1352,3732,-244,-821,152,37
1729742114.412208,RIGHT_LEG,16304,-1580,3940,-378,-812,125,38
1729742114.413122,RIGHT_LEG,16400,-1164,3768,-511,-764,235,39
1729742114.4577572,RIGHT_LEG,16564,-1328,3676,-644,-709,325,40
1729742114.502264,RIGHT_LEG,16420,-1408,3748,-797,-537,256,41
1729742114.5030465,RIGHT_LEG,16368,-1732,3740,-666,-541,233,42
1729742114.5475674,RIGHT_LEG,16284,-1476,3728,-617,-497,216,43
1729742114.592609,RIGHT_LEG,16380,-1320,3580,-452,-394,432,44
1729742114.5934572,RIGHT_LEG,16468,-1196,3416,-574,-185,623,45
1729742114.637244,RIGHT_LEG,16744,-1304,3260,-751,226,1059,46
1729742114.6824014,RIGHT_LEG,16436,-1364,3540,-702,577,1394,47
1729742114.7275755,RIGHT_LEG,16356,-1936,3632,-635,635,1563,48
1729742114.7721846,RIGHT_LEG,16184,-2148,3788,-552,656,1273,49
1729742114.8175888,RIGHT_LEG,16192,-2160,3732,-414,559,1052,50
1729742114.8184676,RIGHT_LEG,16076,-2424,3916,-393,478,781,51
1729742114.8627222,RIGHT_LEG,15952,-2444,4040,-428,305,398,52
1729742114.9067192,RIGHT_LEG,16076,-2232,4172,-499,199,154,53
1729742114.9072871,RIGHT_LEG,16192,-1936,4036,-529,165,153,54
1729742114.9525464,RIGHT_LEG,16232,-2000,4356,-506,132,215,55
1729742114.9972217,RIGHT_LEG,16184,-1900,4000,-553,91,395,56
1729742115.0422108,RIGHT_LEG,16336,-2204,4176,-447,190,549,57
1729742115.0429986,RIGHT_LEG,16092,-2360,4376,-409,133,539,58
1729742115.0872836,RIGHT_LEG,16104,-2292,4320,-489,61,433,59
1729742115.0881226,RIGHT_LEG,16220,-2252,4164,-541,-6,355,60
1729742115.132205,RIGHT_LEG,16076,-2520,4424,-442,-4,223,61
1729742115.1773865,RIGHT_LEG,16048,-2520,4332,-315,-185,-21,62
1729742115.2229764,RIGHT_LEG,16052,-2468,4288,-403,-331,-355,63
1729742115.2237651,RIGHT_LEG,16212,-2356,4212,-632,-463,-550,64
1729742115.2673345,RIGHT_LEG,16172,-2360,4248,-368,-470,-829,65
1729742115.3126137,RIGHT_LEG,16164,-1868,4364,-294,-589,-684,66
1729742115.313426,RIGHT_LEG,16268,-1652,4240,-429,-541,-400,67
1729742115.3555536,RIGHT_LEG,16356,-1456,3948,-444,-294,136,68
1729742115.358351,RIGHT_LEG,16168,-1940,3964,-323,-27,417,69
1729742115.4472306,RIGHT_LEG,16228,-2240,4080,-324,-17,452,70
1729742115.4920633,RIGHT_LEG,16196,-2240,4140,-307,137,459,71
1729742115.4928226,RIGHT_LEG,16116,-2176,4504,-406,166,301,72
1729742115.4936016,RIGHT_LEG,16048,-2544,4484,-472,-56,-129,73
1729742115.5372047,RIGHT_LEG,16036,-2380,4452,-513,-313,-430,74
1729742115.5821054,RIGHT_LEG,16108,-2052,4432,-466,-507,-497,75
1729742115.58291,RIGHT_LEG,16184,-1876,4244,-488,-493,-399,76
1729742115.6272204,RIGHT_LEG,16376,-1620,3992,-474,-424,-19,77
1729742115.6731386,RIGHT_LEG,16372,-1792,4204,-457,-257,405,78
1729742115.6742814,RIGHT_LEG,16304,-1952,4092,-507,-84,752,79
1729742115.717214,RIGHT_LEG,16276,-2020,4364,-554,35,947,80
1729742115.7624478,RIGHT_LEG,16120,-2296,4268,-546,13,911,81
1729742115.7632518,RIGHT_LEG,15968,-2304,4424,-694,-76,876,82
1729742115.8081238,RIGHT_LEG,16200,-2284,4336,-681,-81,928,83
1729742115.8524215,RIGHT_LEG,16072,-2592,4320,-678,-84,821,84
1729742115.8970916,RIGHT_LEG,16028,-2604,4428,-633,-111,692,85
1729742115.8979065,RIGHT_LEG,15896,-2944,4672,-885,-264,166,86
1729742115.9871109,RIGHT_LEG,16120,-2652,4688,-572,-683,275,87
1729742115.989006,RIGHT_LEG,16152,-2424,4172,-499,-552,189,88
1729742116.0324686,RIGHT_LEG,16184,-2452,4100,-531,-307,288,89
1729742116.0332794,RIGHT_LEG,15904,-2456,4468,-517,-272,371,90
1729742116.0784156,RIGHT_LEG,16048,-2872,4368,-598,-378,125,91
1729742116.0792546,RIGHT_LEG,16040,-2748,4224,-500,-373,29,92
1729742116.1221085,RIGHT_LEG,16104,-2552,4396,-485,-250,91,93
1729742116.1680584,RIGHT_LEG,15940,-2684,4464,-492,-241,87,94
1729742116.1688464,RIGHT_LEG,16188,-2532,4396,-481,-311,33,95
1729742116.2123792,RIGHT_LEG,16124,-2552,4312,-490,-288,43,96
1729742116.2586958,RIGHT_LEG,16056,-2596,4240,-571,-319,34,97
1729742116.2589204,RIGHT_LEG,16076,-2620,4368,-524,-287,44,98
