time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448220.3738408,RIGHT_HAND,2208,13124,-1916,5626,-2076,6868,194
1730448220.4185545,RIGHT_HAND,2532,12592,-2040,-1277,-2931,5912,195
1730448220.419356,RIGHT_HAND,1836,14096,-2344,-989,-4513,6331,196
1730448220.463563,RIGHT_HAND,564,14296,-3516,-3232,-5443,6900,198
1730448220.508504,RIGHT_HAND,-600,14344,-5432,-4328,-6194,6633,200
1730448220.5983438,RIGHT_HAND,-800,13460,-6748,-4022,-4883,5993,201
1730448220.5991592,RIGHT_HAND,-1168,14604,-6620,-6477,-2622,4447,202
1730448220.6446881,RIGHT_HAND,-1816,17376,-6228,-5554,-1508,1515,203
1730448220.6455963,RIGHT_HAND,-1568,21480,-5888,-3956,-387,-2468,204
1730448220.6464448,RIGHT_HAND,-1188,23580,-3884,-1262,988,-6475,205
1730448220.688411,RIGHT_HAND,-140,17320,-5192,9760,2001,-10640,206
1730448220.734702,RIGHT_HAND,-632,15212,-4696,6744,279,-14509,207
1730448220.7350025,RIGHT_HAND,-1476,19536,-2384,3690,2718,-15110,208
1730448220.8240244,RIGHT_HAND,-1028,20432,-780,8196,6323,-13020,209
1730448220.8685663,RIGHT_HAND,-796,17176,-1476,7049,6078,-11169,210
1730448220.8695335,RIGHT_HAND,-492,15460,-1748,3933,4579,-9811,211
1730448220.8704226,RIGHT_HAND,-692,14632,-1972,3057,3349,-8738,212
1730448220.913475,RIGHT_HAND,-1356,14308,-2136,1657,4015,-7603,213
1730448220.9144998,RIGHT_HAND,-1608,14672,-1636,872,6306,-6629,214
1730448220.9586923,RIGHT_HAND,-1200,14432,-992,879,7918,-5657,215
1730448221.048423,RIGHT_HAND,-452,13692,-1452,876,7741,-4961,216
1730448221.093503,RIGHT_HAND,-392,13876,-1780,-300,5866,-4067,217
1730448221.0944033,RIGHT_HAND,-436,15448,-1640,-1896,3805,-2673,218
1730448221.0952463,RIGHT_HAND,-676,16560,-1072,-2366,1800,-718,219
1730448221.1834679,RIGHT_HAND,-552,16180,-3132,-2929,-598,991,220
1730448221.184534,RIGHT_HAND,-1032,16784,-4932,-5019,-1342,2886,221
1730448221.273011,RIGHT_HAND,-2388,22716,-4868,-11297,-1700,5804,222
1730448221.273537,RIGHT_HAND,-2556,22804,-6008,-4361,2346,9491,223
1730448221.274029,RIGHT_HAND,-1364,14384,-7540,4736,6105,9782,224
1730448221.3184972,RIGHT_HAND,-1164,12424,-7460,-333,6368,6264,225
1730448221.3193371,RIGHT_HAND,-668,17388,-3800,-6405,4520,1940,226
1730448221.3201368,RIGHT_HAND,-88,20840,-1628,3439,1406,-996,227
1730448221.364497,RIGHT_HAND,176,15224,-4072,8910,-3356,-3526,228
1730448221.4087799,RIGHT_HAND,-296,11696,-5408,5042,-7346,-5769,229
1730448221.410401,RIGHT_HAND,-960,12516,-4820,1655,-8275,-6309,230
1730448221.4981155,RIGHT_HAND,-1612,14480,-5152,191,-7035,-4789,231
1730448221.5444791,RIGHT_HAND,-2132,14752,-5812,-230,-2781,-1175,232
1730448221.5461578,RIGHT_HAND,-2572,13352,-6660,-1422,3049,2971,233
1730448221.5473588,RIGHT_HAND,-2844,12512,-7444,-3704,9026,6188,234
1730448221.5896668,RIGHT_HAND,-2996,13008,-6772,-5591,15027,8028,235
1730448221.6338549,RIGHT_HAND,-2800,14740,-5288,-5913,18345,8734,236
1730448221.634816,RIGHT_HAND,-2312,16428,-3752,-6034,19473,8609,237
1730448221.7236273,RIGHT_HAND,-1360,16184,-2716,-2999,18004,6762,238
1730448221.724823,RIGHT_HAND,-388,14980,-2368,-2293,12423,2483,239
1730448221.7685683,RIGHT_HAND,-284,19628,-1856,-7355,4744,-2180,240
