time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448112.8085325,RIGHT_LEG,15840,-3652,4836,1737,293,-314,58
1730448112.8536353,RIGHT_LEG,16116,-2476,4084,33,-504,-52,60
1730448112.8977904,RIGHT_LEG,15312,-4292,4604,-1244,1843,1746,62
1730448113.0324118,RIGHT_LEG,15124,-5752,6936,-2899,2559,2472,64
1730448113.0784602,RIGHT_LEG,16020,-4552,4408,-1357,3213,4021,66
1730448113.0792582,RIGHT_LEG,16664,-4744,3760,-1132,5310,5652,67
1730448113.0800767,RIGHT_LEG,16560,-4836,4488,-1333,7696,7316,68
1730448113.122802,RIGHT_LEG,16820,-5644,3376,-1355,9913,8920,69
1730448113.1679237,RIGHT_LEG,17132,-4844,4300,-298,12260,10889,70
1730448113.1688755,RIGHT_LEG,20664,-4676,3836,-306,14036,13618,71
1730448113.2575736,RIGHT_LEG,25836,-4388,956,1529,14304,16607,72
1730448113.3025565,RIGHT_LEG,25684,-4484,1916,4946,15361,18344,73
1730448113.3033597,RIGHT_LEG,23828,-3668,18624,4354,16618,12363,74
1730448113.3041272,RIGHT_LEG,17892,-5320,21240,7669,14268,5897,75
1730448113.3477356,RIGHT_LEG,9776,-7736,2336,-5520,9308,-560,76
1730448113.3487656,RIGHT_LEG,7824,-2720,6136,-6851,5081,-8984,77
1730448113.3930266,RIGHT_LEG,6784,1688,2928,-2278,-3767,-16538,78
1730448113.4814043,RIGHT_LEG,7528,-5100,3844,4278,-12201,-21561,79
1730448113.482459,RIGHT_LEG,9268,-6992,2956,754,-18293,-25780,80
1730448113.4835443,RIGHT_LEG,11484,-9120,4788,2844,-27080,-24358,81
1730448113.4843526,RIGHT_LEG,12964,-10012,6648,5120,-32768,-22702,82
1730448113.5275583,RIGHT_LEG,14660,-13056,9440,1511,-32768,-19953,83
1730448113.5730147,RIGHT_LEG,19828,-7156,13748,-1931,-32768,-17415,84
1730448113.6168969,RIGHT_LEG,19764,-11476,12880,2578,-32768,-8234,85
1730448113.7075977,RIGHT_LEG,13968,-17188,19840,-6748,-13164,-6755,86
1730448113.7096193,RIGHT_LEG,11000,-6244,15620,-250,3797,-1506,87
1730448113.7105641,RIGHT_LEG,26288,-4492,-10968,-1230,12141,3356,88
1730448113.7115028,RIGHT_LEG,11712,-10796,7816,1583,11093,5488,89
1730448113.7525427,RIGHT_LEG,13644,-5800,5272,-1704,12108,1644,90
1730448113.7987669,RIGHT_LEG,17304,-508,6352,4133,7395,2501,91
1730448113.8437402,RIGHT_LEG,16132,-3228,5644,1536,5223,1845,92
1730448114.022642,RIGHT_LEG,16320,-2660,4680,-560,3919,95,93
1730448114.0237224,RIGHT_LEG,16408,-1312,3316,-795,2839,-18,94
1730448114.0246437,RIGHT_LEG,16708,-1140,2796,51,2878,661,95
1730448114.0255356,RIGHT_LEG,16576,-1096,1808,-1548,4724,579,96
1730448114.0259476,RIGHT_LEG,16388,-1240,2684,-2849,6771,588,97
1730448114.0669973,RIGHT_LEG,16848,-956,3336,-3426,8222,899,98
1730448114.0690763,RIGHT_LEG,16400,-1264,4724,-2401,8734,1690,99
1730448114.0696435,RIGHT_LEG,15632,-3064,4232,-2113,9904,1551,100
1730448114.1575766,RIGHT_LEG,16684,-1544,4888,-1112,11576,1928,101
1730448114.1593466,RIGHT_LEG,16500,-3328,6572,-624,11771,2166,102
1730448114.1602774,RIGHT_LEG,16656,-2928,5696,-646,13491,2406,103
1730448114.1611784,RIGHT_LEG,17332,-3032,4812,-779,16363,2741,104
1730448114.24752,RIGHT_LEG,19148,-4208,5616,-834,19849,2257,105
1730448114.2927034,RIGHT_LEG,29640,-5140,-908,-7593,25895,2757,106
1730448114.3824122,RIGHT_LEG,29816,-8056,8,-23334,29294,-495,107
1730448114.383388,RIGHT_LEG,16800,-5252,15764,-25652,24531,-1896,108
1730448114.4274797,RIGHT_LEG,15300,-11896,19840,-19263,22078,1306,109
1730448114.4284337,RIGHT_LEG,4776,276,10492,-19279,16003,-8433,110
1730448114.429379,RIGHT_LEG,5488,-7788,528,-4705,1233,-10369,111
1730448114.472737,RIGHT_LEG,3760,-10152,-3160,264,-9406,-14540,112
1730448114.517748,RIGHT_LEG,6424,-8632,696,5206,-18669,-13244,113
1730448114.6073225,RIGHT_LEG,7156,-13356,728,-1919,-24182,-16961,114
1730448114.6083431,RIGHT_LEG,10076,-11652,2116,-2089,-32602,-14475,115
1730448114.6527119,RIGHT_LEG,12000,-11548,7060,-7921,-32768,-13421,116
1730448114.6536055,RIGHT_LEG,15420,-10588,11692,-6743,-32768,-9349,117
1730448114.654547,RIGHT_LEG,22164,-10120,18024,-5480,-32768,-3868,118
1730448114.6977587,RIGHT_LEG,22732,868,19348,599,-32768,-1105,119
1730448114.742708,RIGHT_LEG,14412,-6280,19964,-9177,-11511,-3240,120
1730448114.7436526,RIGHT_LEG,11672,-1488,17232,-15175,7397,-4300,121
1730448114.8324769,RIGHT_LEG,32767,-3596,-15724,-20757,14007,-5008,122
1730448114.8776991,RIGHT_LEG,16900,-2632,3284,2952,11901,1546,123
1730448114.878588,RIGHT_LEG,16580,-4976,6888,5050,10359,1207,124
1730448114.8794365,RIGHT_LEG,16136,-3032,5340,6245,7494,1040,125
1730448114.9227092,RIGHT_LEG,15868,-4092,5084,4341,5749,418,126
1730448114.9236462,RIGHT_LEG,16140,-2744,4892,-633,5160,-1576,127
1730448114.9677513,RIGHT_LEG,16288,-2816,4924,393,2648,-1381,128
1730448115.0575235,RIGHT_LEG,16356,-2228,2996,1068,1251,-1410,129
1730448115.058609,RIGHT_LEG,16340,-2644,2968,1115,866,-1506,130
1730448115.0594418,RIGHT_LEG,16460,-1108,2176,-335,1991,-1444,131
1730448115.1027355,RIGHT_LEG,16732,-1020,1032,-1413,3865,-1011,132
1730448115.147726,RIGHT_LEG,16684,-544,1020,-989,6242,53,133
1730448115.1926994,RIGHT_LEG,15840,-1128,1032,-73,8643,1387,134
1730448115.1936944,RIGHT_LEG,16764,-1300,-860,150,12606,1754,135
1730448115.2824402,RIGHT_LEG,17236,-1276,3124,574,15095,2165,136
1730448115.2833786,RIGHT_LEG,16604,-3868,6556,-73,15770,1817,137
1730448115.3277013,RIGHT_LEG,16816,-5444,5816,-1556,17312,666,138
1730448115.3286557,RIGHT_LEG,22508,-4072,4484,-3901,20579,-473,139
1730448115.3295722,RIGHT_LEG,28216,-6580,2884,-8139,25376,-1380,140
1730448115.3727348,RIGHT_LEG,28752,-8916,1932,-25085,27061,-6413,141
