time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729665732.631265,RIGHT_HAND,-4080,14768,6220,-683,-322,-172,229
1729665732.6755128,RIGHT_HAND,-4572,15184,6496,114,1088,-476,231
1729665732.721359,RIGHT_HAND,-10580,16488,5880,-554,9187,-2603,233
1729665732.8573096,RIGHT_HAND,-14944,20820,4256,7223,21457,-11729,235
1729665732.8590255,RIGHT_HAND,-22588,20200,3620,5052,32767,-20072,237
1729665732.9465344,RIGHT_HAND,-20564,15696,176,9672,32767,-26317,239
1729665732.9476926,RIGHT_HAND,-16736,12852,-2576,15636,32767,-26932,240
1729665733.0814924,RIGHT_HAND,-13200,10676,-3784,16971,32767,-25836,241
1729665733.0824301,RIGHT_HAND,-9052,9320,-3688,16762,32767,-23269,242
1729665733.1267116,RIGHT_HAND,-6092,8088,-1300,18892,32767,-18562,243
1729665733.1276102,RIGHT_HAND,-3212,4944,176,21672,32767,-13253,244
1729665733.1284351,RIGHT_HAND,-612,1904,204,19302,32767,-10263,245
1729665733.1292918,RIGHT_HAND,2916,2292,840,12679,32767,-10885,246
1729665733.1704552,RIGHT_HAND,5552,-104,1676,3593,19736,-5383,247
1729665733.2606385,RIGHT_HAND,4564,-1012,4628,-1186,2957,-4285,248
1729665733.2619011,RIGHT_HAND,1500,-848,5864,-12070,-11279,-3891,249
1729665733.2627752,RIGHT_HAND,-964,572,4756,-24618,-19940,-1627,250
1729665733.263636,RIGHT_HAND,-2216,2588,2148,-32768,-19885,1019,251
1729665733.3057094,RIGHT_HAND,-3092,3472,-2188,-32768,-18667,4281,252
1729665733.3505635,RIGHT_HAND,-3300,8456,-7788,-32768,-18368,6839,253
1729665733.3964293,RIGHT_HAND,-2736,12396,-8644,-32768,-18487,5507,254
1729665733.3973575,RIGHT_HAND,-4076,18136,-1568,-32768,-15555,12312,255
1729665733.4855487,RIGHT_HAND,-2840,32767,19344,-32768,-23814,2538,1
1729665733.531471,RIGHT_HAND,92,32767,25384,-32768,-32768,8812,2
1729665733.5323596,RIGHT_HAND,-8224,32767,12320,9527,-5056,6418,3
1729665733.5332258,RIGHT_HAND,-10276,27696,-1684,8781,-8489,-4436,4
1729665733.5767274,RIGHT_HAND,-7296,31396,-752,7984,430,-16753,5
1729665733.577656,RIGHT_HAND,-7024,32767,8204,32767,15558,-19092,6
1729665733.6205432,RIGHT_HAND,-8512,32496,3868,32767,22244,-17860,7
1729665733.7115269,RIGHT_HAND,-8916,26216,-7060,32767,21015,-16289,8
1729665733.7124617,RIGHT_HAND,-7560,19824,-12480,32767,16146,-11958,9
1729665733.7566824,RIGHT_HAND,-8696,14956,-20096,32767,15607,-8277,10
1729665733.7575703,RIGHT_HAND,-5624,11560,-20652,32767,22081,-3001,11
1729665733.7584293,RIGHT_HAND,-4664,11708,-19500,32767,21536,-2669,12
1729665733.8465698,RIGHT_HAND,-8288,9500,-19484,32767,22717,-2849,13
1729665733.9356854,RIGHT_HAND,-9788,5460,-18416,32767,28397,-3623,14
1729665733.936695,RIGHT_HAND,-7700,1868,-16692,32767,32717,-2670,15
1729665733.9375937,RIGHT_HAND,-6084,-796,-14144,32767,32767,-6217,16
1729665733.981697,RIGHT_HAND,-3704,-3832,-11464,32767,32767,-3547,17
1729665733.982602,RIGHT_HAND,656,-5896,-8328,32767,32767,-3497,18
1729665733.9835024,RIGHT_HAND,2696,-7740,-5672,30069,32767,-330,19
1729665734.0255432,RIGHT_HAND,4820,-9440,-3380,26719,31917,655,20
1729665734.0717354,RIGHT_HAND,7832,-6944,-2084,20384,30835,3057,21
1729665734.0728104,RIGHT_HAND,6248,-9836,3168,19475,32767,5637,22
1729665734.1617796,RIGHT_HAND,6756,-12636,5836,27134,32767,7511,23
1729665734.2067926,RIGHT_HAND,9648,-12356,10756,9229,2749,4246,24
1729665734.2496076,RIGHT_HAND,3980,-14616,16340,-9556,7336,2422,25
1729665734.2555606,RIGHT_HAND,5140,-14240,17908,-13317,1049,3106,26
1729665734.255902,RIGHT_HAND,4444,-11372,11144,-32768,629,2502,27
1729665734.2566404,RIGHT_HAND,2028,-4988,6980,-32768,-7181,1361,28
1729665734.2954936,RIGHT_HAND,4924,1412,-4784,-32768,-21405,-559,29
1729665734.3856986,RIGHT_HAND,7124,2252,-12072,-32768,-32768,5025,30
1729665734.3869765,RIGHT_HAND,560,5044,5516,-29224,-2653,7372,31
1729665734.387818,RIGHT_HAND,6220,-4904,3708,-14846,-7673,3026,32
1729665734.3886015,RIGHT_HAND,-2012,-2796,812,4849,-6107,-3783,33
1729665734.431795,RIGHT_HAND,-200,-3028,1264,13765,-3750,-5822,34
1729665734.5214424,RIGHT_HAND,1140,-4384,0,12203,-1008,-13890,35
1729665734.7005548,RIGHT_HAND,1772,-3384,-6752,8817,2715,-20021,36
1729665734.701577,RIGHT_HAND,1556,2628,-9096,438,5937,-25611,37
1729665734.7024744,RIGHT_HAND,4204,7140,-4140,-2561,6508,-23892,38
1729665734.8353143,RIGHT_HAND,4388,6784,-2808,10106,8802,-16365,39
1729665734.8361204,RIGHT_HAND,5276,3344,-1440,21583,10259,-14375,40
1729665734.8368764,RIGHT_HAND,9688,-2772,804,27266,9300,-9846,41
1729665734.8379288,RIGHT_HAND,8504,-7276,288,32767,24076,2127,42
1729665734.8387203,RIGHT_HAND,16280,-14388,3052,12701,-23998,1705,43
1729665734.838942,RIGHT_HAND,8912,-17684,-1712,-9037,-32768,12531,44
1729665734.8809857,RIGHT_HAND,6520,-16328,-8220,-31351,-32768,13641,45
1729665734.9264257,RIGHT_HAND,4584,-13168,-13848,-32768,-32768,20013,46
1729665734.9272509,RIGHT_HAND,1928,-13156,-19060,-32768,-32768,24343,47
1729665734.9280143,RIGHT_HAND,1100,-12092,-21948,-32768,-32768,28045,48
1729665734.9287457,RIGHT_HAND,-1296,-10544,-23708,-32768,-22798,31184,49
1729665734.9295142,RIGHT_HAND,-3036,-4844,-24956,-32768,-13060,30851,50
1729665734.9716585,RIGHT_HAND,-1992,-1216,-22560,-32768,-7360,29688,51
1729665735.0616431,RIGHT_HAND,-1292,4160,-20224,-32768,-3428,26091,52
1729665735.1054199,RIGHT_HAND,-1324,6924,-14696,-32768,-4230,17311,53
1729665735.1062667,RIGHT_HAND,-2824,10392,-17192,-32768,-10894,15162,54
1729665735.1515777,RIGHT_HAND,-4692,14764,-15528,-32768,-14781,11232,55
1729665735.1526055,RIGHT_HAND,-8524,17792,-5460,-32768,-27384,7264,56
1729665735.1966457,RIGHT_HAND,-6028,21644,2704,-32768,-27997,1052,57
1729665735.2852426,RIGHT_HAND,-10076,29608,7060,-32768,-32768,-5952,58
