time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729665690.338679,RIGHT_LEG,15364,5596,3092,272,-198,-41,68
1729665690.3405306,RIGHT_LEG,15396,5536,2996,258,-106,-32,70
1729665690.3845837,RIGHT_LEG,15316,5784,2996,218,-117,3,72
1729665690.4274569,RIGHT_LEG,15244,5540,3212,256,-52,13,74
1729665690.4745426,RIGHT_LEG,15256,5700,3072,208,-193,20,76
1729665690.6076791,RIGHT_LEG,15416,5556,3116,145,-209,-16,77
1729665690.609296,RIGHT_LEG,15176,5788,2940,-127,-293,139,78
1729665690.610202,RIGHT_LEG,15304,5592,3364,-299,-482,56,79
1729665690.653519,RIGHT_LEG,15324,5496,3188,-21,-513,144,80
1729665690.6544836,RIGHT_LEG,15320,5532,3008,-30,-569,111,81
1729665690.7873456,RIGHT_LEG,15320,5604,2992,-43,-639,98,82
1729665690.7885864,RIGHT_LEG,15304,5188,2600,85,-557,61,83
1729665690.7895527,RIGHT_LEG,15544,5256,3080,59,-522,-60,84
1729665690.7904441,RIGHT_LEG,15548,5464,2304,-149,-566,-160,85
1729665690.8334637,RIGHT_LEG,15408,5428,3040,384,-478,-103,86
1729665690.8774712,RIGHT_LEG,15392,5456,3412,222,-580,-190,87
1729665690.8783593,RIGHT_LEG,15384,5612,2648,520,-509,-226,88
1729665690.879231,RIGHT_LEG,15436,5584,2604,570,-362,-233,89
1729665691.058559,RIGHT_LEG,15420,5492,2932,675,-306,-284,90
1729665691.060289,RIGHT_LEG,15348,5572,2492,619,-272,-335,91
1729665691.061152,RIGHT_LEG,15472,5656,2352,662,-2,-318,92
1729665691.0619955,RIGHT_LEG,15256,6252,2244,519,411,-103,93
1729665691.1035314,RIGHT_LEG,15044,6004,2336,662,911,229,94
1729665691.1487234,RIGHT_LEG,15048,6852,2452,836,1238,580,95
1729665691.1496284,RIGHT_LEG,15300,5616,3772,103,943,655,96
1729665691.1505225,RIGHT_LEG,14760,4432,3548,-156,342,647,97
1729665691.2387161,RIGHT_LEG,15216,5644,2724,-390,390,584,98
1729665691.2396748,RIGHT_LEG,15340,5504,3312,-472,660,544,99
1729665691.28368,RIGHT_LEG,15240,5572,3040,-1000,349,444,100
1729665691.2848544,RIGHT_LEG,15552,4984,3656,-545,583,322,101
1729665691.328691,RIGHT_LEG,15456,5024,3652,-698,247,-18,102
1729665691.3298154,RIGHT_LEG,15296,5500,3432,-673,64,-77,103
1729665691.3737085,RIGHT_LEG,15584,5196,3320,-468,230,16,104
1729665691.3748014,RIGHT_LEG,15492,5152,3228,-868,129,-86,105
1729665691.4637754,RIGHT_LEG,15588,5400,2612,-1006,345,-220,106
1729665691.508416,RIGHT_LEG,15516,5104,2912,-591,1172,-5,107
1729665691.5095954,RIGHT_LEG,15880,5120,3528,-1095,1031,-215,108
1729665691.553726,RIGHT_LEG,15536,5728,3332,-642,1274,56,109
1729665691.5546176,RIGHT_LEG,16148,5556,3568,-418,1560,180,110
1729665691.555489,RIGHT_LEG,16548,5336,4168,-580,1253,164,111
1729665691.5987687,RIGHT_LEG,17072,6052,4704,-952,435,161,112
1729665691.7335217,RIGHT_LEG,17240,5728,3948,-288,455,540,113
1729665691.734697,RIGHT_LEG,17524,4588,4000,-501,-157,330,114
1729665691.8236034,RIGHT_LEG,16352,4968,3216,722,271,649,115
1729665691.824393,RIGHT_LEG,15412,5612,3320,1677,830,891,116
1729665691.8251224,RIGHT_LEG,15748,4652,5280,1262,-420,813,117
1729665691.8258674,RIGHT_LEG,13640,4876,3736,60,-1114,389,118
1729665691.9135544,RIGHT_LEG,13128,4672,4080,931,-306,475,119
1729665691.9147437,RIGHT_LEG,13828,4332,4692,963,-117,376,120
1729665691.958667,RIGHT_LEG,13984,3944,4864,1233,32,420,121
1729665691.959613,RIGHT_LEG,13828,3940,5196,1686,271,553,122
1729665691.9604237,RIGHT_LEG,13176,4860,4764,1455,407,344,123
1729665692.0485578,RIGHT_LEG,12388,4380,6436,1319,410,286,124
1729665692.1385188,RIGHT_LEG,11952,4508,5380,-423,-6,-1062,125
1729665692.1394093,RIGHT_LEG,12456,5124,5172,-207,394,-1109,126
1729665692.1402833,RIGHT_LEG,13476,4216,4968,-929,344,-1302,127
1729665692.1837065,RIGHT_LEG,13092,3416,4032,-3006,305,-1262,128
1729665692.184594,RIGHT_LEG,13688,5328,4816,-3772,-776,-1489,129
1729665692.1854637,RIGHT_LEG,15664,6808,4768,-2618,-1260,-1364,130
1729665692.2287133,RIGHT_LEG,15348,4000,3756,-2703,-793,-1111,131
1729665692.2736955,RIGHT_LEG,16228,4984,4940,-1692,-1129,-893,132
1729665692.2748528,RIGHT_LEG,20592,5040,7256,-1413,-4231,-289,133
1729665692.363579,RIGHT_LEG,20656,5804,4164,417,-5041,140,134
1729665692.4086907,RIGHT_LEG,17220,5244,-468,1260,-3747,-275,135
1729665692.4095817,RIGHT_LEG,14076,7296,-844,2038,-821,-614,136
1729665692.410453,RIGHT_LEG,14588,6688,3172,4969,1576,382,137
1729665692.4535642,RIGHT_LEG,16612,4556,5260,4584,1041,439,138
1729665692.4546065,RIGHT_LEG,16224,4448,3816,1992,-510,-183,139
1729665692.4986029,RIGHT_LEG,15196,5232,3480,936,-1039,-60,140
1729665692.5886002,RIGHT_LEG,15448,5676,3676,1119,-1129,217,141
1729665692.5898676,RIGHT_LEG,15388,5460,3052,966,-1327,216,142
