time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667212.3029308,RIGHT_HAND,156,15944,1840,-773,1354,120,193
1729667212.3917367,RIGHT_HAND,-4820,15140,-2676,843,-4401,-2040,195
1729667212.4367056,RIGHT_HAND,-13296,17220,56,6786,-1082,-7980,197
1729667212.4817526,RIGHT_HAND,-15504,15488,4492,-3335,4106,-22522,199
1729667212.526696,RIGHT_HAND,-16948,16520,10692,-8919,-5642,-32768,201
1729667212.571728,RIGHT_HAND,-22584,19004,15808,-21109,-10958,-32768,203
1729667212.5728216,RIGHT_HAND,-24964,18828,17620,-25516,-3702,-32768,204
1729667212.6167455,RIGHT_HAND,-23280,18116,17800,-27026,1258,-32768,205
1729667212.6178296,RIGHT_HAND,-21288,15296,19852,-26655,-3885,-32768,206
1729667212.6616673,RIGHT_HAND,-18868,12092,17584,-27621,-12065,-32768,207
1729667212.662763,RIGHT_HAND,-17264,8804,11776,-29562,-13178,-32768,208
1729667212.706839,RIGHT_HAND,-14428,5536,7640,-32185,-2156,-31087,209
1729667212.7078652,RIGHT_HAND,-11324,3184,4592,-32676,7888,-25349,210
1729667212.750605,RIGHT_HAND,-8720,4004,904,-30691,21232,-21012,211
1729667212.7511046,RIGHT_HAND,-6780,1432,3672,-21874,22397,-17615,212
1729667212.7967212,RIGHT_HAND,-4312,-1564,2236,-11420,14581,-14562,213
1729667212.7978535,RIGHT_HAND,-3640,-6508,912,-3953,5572,-11900,214
1729667212.841539,RIGHT_HAND,-2948,-10260,-1132,-2516,-6037,-10641,215
1729667212.8868315,RIGHT_HAND,-3052,-14428,-5364,-6497,-6894,-8695,216
1729667212.9316776,RIGHT_HAND,-3324,-13308,-5868,-9326,-713,-6828,217
1729667212.9328446,RIGHT_HAND,-2424,-11384,-8232,-6746,4678,-4761,218
1729667212.9764912,RIGHT_HAND,-488,-9656,-10024,-1304,6570,-2566,219
1729667212.9776177,RIGHT_HAND,1048,-7364,-9220,3344,4553,-99,220
1729667213.0216305,RIGHT_HAND,2480,-5020,-9576,7171,2588,3269,221
1729667213.0667686,RIGHT_HAND,2964,-2192,-9180,11242,3007,6827,222
1729667213.0678775,RIGHT_HAND,2704,676,-7596,15125,1879,9817,223
1729667213.11179,RIGHT_HAND,2860,4548,-4676,17472,2096,14515,224
1729667213.156795,RIGHT_HAND,2616,7744,-2656,21021,3564,19077,225
1729667213.1578882,RIGHT_HAND,1784,11180,-652,23813,762,22939,226
1729667213.2018106,RIGHT_HAND,68,14132,1752,26320,-1213,26392,227
1729667213.246787,RIGHT_HAND,-1508,17272,6408,28389,-822,29333,228
1729667213.2477849,RIGHT_HAND,-3700,19664,9036,28774,-5566,31859,229
1729667213.2918427,RIGHT_HAND,-5252,23324,11024,26877,-6212,31325,230
1729667213.3369129,RIGHT_HAND,-6580,28888,14456,25399,-10012,30247,231
1729667213.3817856,RIGHT_HAND,-7812,32767,17772,29303,-13677,28377,232
1729667213.3828747,RIGHT_HAND,-7756,32767,19628,31461,-18121,27390,233
1729667213.4267788,RIGHT_HAND,-9252,32767,20916,29670,-19231,27091,234
1729667213.5167692,RIGHT_HAND,-10596,32767,23164,31035,-15252,28852,235
