time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667243.1758401,RIGHT_LEG,13940,-6444,7464,-1158,1837,-270,141
1729667243.1785321,RIGHT_LEG,14092,-5592,8700,-78,1730,-244,143
1729667243.444502,RIGHT_LEG,12108,-4276,9100,-4303,3212,-3132,145
1729667243.4477816,RIGHT_LEG,13676,-4372,9260,163,-3521,-2236,147
1729667243.580022,RIGHT_LEG,15120,-4664,8904,1433,-3098,-117,149
1729667243.5814047,RIGHT_LEG,15096,-5252,7704,974,-3513,-459,150
1729667243.5836418,RIGHT_LEG,14224,-4236,8876,-890,-3686,-975,151
1729667243.5853446,RIGHT_LEG,13924,-4972,7076,-297,-3982,-539,152
1729667243.5862727,RIGHT_LEG,14092,-5224,7328,1089,-4449,-246,153
1729667243.6693752,RIGHT_LEG,14228,-4848,6884,559,-4051,-439,154
1729667243.8050437,RIGHT_LEG,14896,-4656,6608,580,-4084,-550,155
1729667243.805923,RIGHT_LEG,14676,-5092,6556,1086,-4051,-483,156
1729667243.8068016,RIGHT_LEG,14072,-6472,5620,895,-3555,-918,157
1729667243.849348,RIGHT_LEG,15384,-5184,4800,550,-2720,-1354,158
1729667243.8503768,RIGHT_LEG,15172,-3952,5796,1071,-2185,-1020,159
1729667243.8512533,RIGHT_LEG,16280,-2460,4956,20,-1160,-1032,160
1729667243.852127,RIGHT_LEG,15668,-3252,6356,1348,-1134,31,161
1729667243.8925889,RIGHT_LEG,15592,-4120,7268,-662,-618,57,162
1729667243.8935382,RIGHT_LEG,15160,-3736,7484,-860,-1160,472,163
1729667243.894468,RIGHT_LEG,15084,-4960,6932,-1349,-1604,401,164
1729667243.8977275,RIGHT_LEG,15740,-3132,5312,-2015,-1038,744,165
1729667243.9398744,RIGHT_LEG,15148,-3620,4688,-2171,-173,1440,166
1729667243.9408817,RIGHT_LEG,15588,-4516,4660,-2272,681,1692,167
1729667244.0294445,RIGHT_LEG,14940,-5208,3160,-2510,2168,1485,168
1729667244.030587,RIGHT_LEG,16412,-4892,3024,-3349,5381,1805,169
1729667244.0757072,RIGHT_LEG,16224,-4872,6544,-4293,5406,1923,170
1729667244.0766156,RIGHT_LEG,14984,-3728,7124,-4361,9495,3390,171
1729667244.0775058,RIGHT_LEG,12148,-4976,12104,-1001,10216,4732,172
1729667244.1199734,RIGHT_LEG,9920,-3428,25104,-534,19869,3422,173
1729667244.1648865,RIGHT_LEG,7844,-4252,24748,3173,26340,4917,174
1729667244.1658015,RIGHT_LEG,7708,-3160,22732,1590,31911,2121,175
1729667244.255601,RIGHT_LEG,7144,-3116,19696,6871,32202,2032,176
1729667244.2566197,RIGHT_LEG,7568,-2512,17156,12549,29329,190,177
1729667244.2575858,RIGHT_LEG,8372,-2952,14792,15363,26629,-2755,178
1729667244.2584565,RIGHT_LEG,7612,-3048,12144,13449,23881,-6943,179
1729667244.5259688,RIGHT_LEG,8328,-840,12576,10932,19125,-12181,180
1729667244.5706897,RIGHT_LEG,4064,-4008,9108,-2623,16211,-14464,181
1729667244.572112,RIGHT_LEG,7752,1652,14412,-1334,14811,-13808,182
1729667244.5731683,RIGHT_LEG,6564,3568,13940,2298,10870,-11064,183
