time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667569.2765865,RIGHT_HAND,584,18160,-7176,-2855,-4711,-217,17
1729667569.365588,RIGHT_HAND,2696,23392,-11480,4585,13232,3867,19
1729667569.4548862,RIGHT_HAND,5848,24828,-13128,14960,-3932,5964,21
1729667569.501311,RIGHT_HAND,2864,26796,-10892,19827,-4603,6010,23
1729667569.5473619,RIGHT_HAND,2000,26432,-9136,23001,113,7752,25
1729667569.6354403,RIGHT_HAND,2712,25228,-7888,24505,4115,8956,27
1729667569.680475,RIGHT_HAND,3048,23096,-8560,24217,2906,9992,28
1729667569.6813993,RIGHT_HAND,2976,21360,-8468,23371,3035,10446,29
1729667569.6823156,RIGHT_HAND,3032,19228,-7336,23726,2141,10760,30
1729667569.725644,RIGHT_HAND,2848,16556,-7072,22455,166,10615,31
1729667569.727116,RIGHT_HAND,2488,13848,-6876,21318,-1072,10120,32
1729667569.7704785,RIGHT_HAND,2276,11096,-8252,19890,-2456,9554,33
1729667569.8153634,RIGHT_HAND,1956,8728,-9356,18449,-1108,8906,34
1729667569.8162918,RIGHT_HAND,1820,6868,-10308,17493,-736,8658,35
1729667569.8618903,RIGHT_HAND,1344,5640,-11080,15876,4089,8327,36
1729667569.9056587,RIGHT_HAND,1600,3804,-6224,16139,4201,7837,37
1729667569.950784,RIGHT_HAND,2868,884,-6688,18012,-387,7662,38
1729667569.9517937,RIGHT_HAND,2608,-1716,-6000,17474,-3903,7351,39
1729667569.9955206,RIGHT_HAND,2172,-5412,-6676,14552,-7002,4873,40
1729667570.041699,RIGHT_HAND,2904,-7448,-6384,6794,-3277,3704,41
1729667570.0428782,RIGHT_HAND,1688,-7200,-8880,417,-3204,1118,42
1729667570.1328037,RIGHT_HAND,1956,-4344,-12256,-1849,-5428,728,43
1729667570.1756794,RIGHT_HAND,1896,-4200,-12624,618,-2716,778,44
1729667570.1768327,RIGHT_HAND,2128,-5692,-13684,1968,-2616,-144,45
1729667570.1781337,RIGHT_HAND,2624,-6404,-15756,-1512,440,-1093,46
1729667570.220579,RIGHT_HAND,2840,-5448,-15204,-2476,3518,-1493,47
1729667570.2218182,RIGHT_HAND,3692,-4740,-14228,-1605,3522,-1440,48
1729667570.2661476,RIGHT_HAND,3404,-4704,-12164,-1805,1231,-1691,49
1729667570.3113532,RIGHT_HAND,2804,-4784,-10232,-3089,-2083,-2353,50
1729667570.3122778,RIGHT_HAND,1424,-4580,-8440,-4291,-3516,-3185,51
1729667570.3554082,RIGHT_HAND,576,-3992,-5424,-6425,-4839,-4547,52
1729667570.4017718,RIGHT_HAND,24,-3236,-4076,-10253,-7280,-6527,53
1729667570.4028406,RIGHT_HAND,-500,-1356,-4180,-14811,-7561,-7886,54
1729667570.4456117,RIGHT_HAND,-744,1152,-7308,-20945,-5596,-8875,55
1729667570.5374062,RIGHT_HAND,-1052,3828,-7912,-24063,1751,-10194,56
1729667570.5382903,RIGHT_HAND,464,7036,-10172,-27446,6352,-9431,57
1729667570.5803876,RIGHT_HAND,1124,9496,-9444,-29816,9360,-10350,58
1729667570.5833747,RIGHT_HAND,2924,14136,-9840,-31286,7223,-9922,59
1729667570.5842876,RIGHT_HAND,3644,17444,-11020,-25707,4379,-8293,60
1729667570.625805,RIGHT_HAND,4036,17792,-11928,-22779,2406,-7713,61
1729667570.6707895,RIGHT_HAND,3544,17500,-10868,-22523,474,-7826,62
1729667570.7157502,RIGHT_HAND,2984,20940,-9964,-26387,380,-8260,63
1729667570.7610345,RIGHT_HAND,2388,23748,-11160,-24794,-575,-7281,64
1729667570.805897,RIGHT_HAND,1860,22900,-10652,-21182,1636,-5860,65
1729667570.8510396,RIGHT_HAND,1720,23608,-7784,-24144,-3883,-6843,66
1729667570.8519871,RIGHT_HAND,364,25312,-8900,-20767,-5473,-7045,67
1729667570.8956363,RIGHT_HAND,-144,24628,-6420,-19242,-1874,-6911,68
1729667570.9411783,RIGHT_HAND,1216,24696,-8212,-19579,-3754,-6578,69
1729667570.942012,RIGHT_HAND,236,23916,-10828,-17092,-359,-4644,70
1729667571.0326908,RIGHT_HAND,1216,23264,-8020,-15883,5887,-3925,71
1729667571.1216888,RIGHT_HAND,3096,22820,-10180,-11807,2973,-2670,72
1729667571.1227305,RIGHT_HAND,3420,20900,-9772,-9521,241,-1853,73
1729667571.123756,RIGHT_HAND,2664,21092,-6416,-9021,-6152,-1536,74
1729667571.1662586,RIGHT_HAND,1488,24684,-11312,-4564,-7904,-58,75
1729667571.1671107,RIGHT_HAND,2124,21292,-12204,6802,612,1070,76
1729667571.1679597,RIGHT_HAND,256,15360,-2768,1353,1281,1561,77
1729667571.210339,RIGHT_HAND,-804,16676,-244,-2446,3074,815,78
1729667571.211264,RIGHT_HAND,-760,17088,1908,-623,5086,845,79
1729667571.300358,RIGHT_HAND,-556,15468,3056,1123,1132,316,80
1729667571.3023784,RIGHT_HAND,-1084,14580,2484,626,-723,-727,81
1729667571.3032968,RIGHT_HAND,-1280,14728,1532,-1138,1682,-1101,82
1729667571.3457348,RIGHT_HAND,-552,15512,100,-2160,3672,-906,83
1729667571.3909123,RIGHT_HAND,4,16944,-316,-1736,1871,-543,84
1729667571.5715039,RIGHT_HAND,8,17144,-724,356,-3242,-743,85
1729667571.5726738,RIGHT_HAND,-304,16304,-1472,1315,-5403,-992,86
1729667571.6164827,RIGHT_HAND,-1092,15744,-1000,0,-4518,-876,87
1729667571.6173952,RIGHT_HAND,-1388,16208,-764,-1366,-2483,-626,88
1729667571.618288,RIGHT_HAND,-1472,16620,-224,-990,-1202,-565,89
1729667571.6617792,RIGHT_HAND,-1488,16276,64,18,-407,-394,90
1729667571.6626847,RIGHT_HAND,-1412,15760,488,-71,489,-228,91
1729667571.6635742,RIGHT_HAND,-1500,15696,568,-772,615,-167,92
1729667571.7058432,RIGHT_HAND,-1364,16036,-52,-735,533,-267,93
1729667571.7061925,RIGHT_HAND,-1384,16136,-760,-424,1180,-336,94
1729667571.7511697,RIGHT_HAND,-1172,16320,-612,-729,2084,-351,95
1729667571.751627,RIGHT_HAND,-924,16224,-104,-512,2130,-321,96
1729667571.796116,RIGHT_HAND,-608,16056,-16,-545,1413,-301,97
1729667571.797278,RIGHT_HAND,-780,16204,80,-860,594,-322,98
1729667571.887801,RIGHT_HAND,-868,16280,112,-776,429,-248,99
1729667571.9324598,RIGHT_HAND,-940,16084,64,-578,-30,-128,100
1729667571.9333613,RIGHT_HAND,-1200,16076,52,-811,-473,-155,101
