time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729667574.808201,RIGHT_LEG,15536,-5360,3872,-401,-296,49,212
1729667574.898345,RIGHT_LEG,15564,-5296,3812,-410,-308,9,214
1729667575.0355062,RIGHT_LEG,15488,-5352,3832,-415,-322,28,216
1729667575.0380325,RIGHT_LEG,15528,-5316,3940,-413,-330,9,218
1729667575.1265213,RIGHT_LEG,15436,-5320,3764,-291,-295,69,220
1729667575.1276264,RIGHT_LEG,15520,-5320,4156,-369,-284,57,221
1729667575.213429,RIGHT_LEG,15496,-5540,3664,-398,-232,457,230
1729667575.2145853,RIGHT_LEG,15432,-5648,3616,-252,-174,438,231
1729667575.304563,RIGHT_LEG,15484,-5556,3716,-370,-47,319,232
1729667575.3485107,RIGHT_LEG,15444,-5668,3872,-258,41,279,233
1729667575.349534,RIGHT_LEG,15532,-5668,3928,-227,-31,173,234
1729667575.393514,RIGHT_LEG,15444,-5680,4160,-203,-77,88,235
1729667575.4392807,RIGHT_LEG,15428,-5744,4036,-229,-76,-27,236
1729667575.4407163,RIGHT_LEG,15460,-5476,4072,-299,-60,-98,237
1729667575.4835293,RIGHT_LEG,15440,-5596,4160,-426,-138,-228,238
1729667575.5739362,RIGHT_LEG,15336,-5556,4324,-436,-252,-309,239
1729667575.6638339,RIGHT_LEG,15540,-5548,4152,-620,-277,-385,240
1729667575.6647928,RIGHT_LEG,15440,-5408,3948,-493,-314,-382,241
1729667575.708648,RIGHT_LEG,15492,-5352,3856,-466,-300,-364,242
1729667575.709605,RIGHT_LEG,15536,-5364,3880,-408,-292,-336,243
1729667575.7544453,RIGHT_LEG,15520,-5232,3972,-328,-280,-228,244
1729667575.755454,RIGHT_LEG,15584,-5248,4084,-414,-309,-184,245
1729667575.8888943,RIGHT_LEG,15488,-5124,4032,-481,-366,-104,246
1729667575.9335911,RIGHT_LEG,15456,-5308,3860,-464,-375,-31,247
1729667575.9347696,RIGHT_LEG,15540,-5292,3928,-501,-383,-16,248
1729667575.9356546,RIGHT_LEG,15536,-5420,3716,-481,-352,29,249
1729667575.9365027,RIGHT_LEG,15520,-5316,3952,-377,-246,97,252
1729667575.9372027,RIGHT_LEG,15500,-5312,3928,-338,-204,135,253
1729667575.977495,RIGHT_LEG,15436,-5432,4156,-382,-213,95,254
1729667576.0228589,RIGHT_LEG,15456,-5332,3984,-367,-276,87,255
1729667576.0231075,RIGHT_LEG,15404,-5296,3952,-403,-289,29,1
1729667576.1138625,RIGHT_LEG,15592,-5492,3984,-398,-263,19,2
1729667576.1149163,RIGHT_LEG,15560,-5436,3848,-378,-242,-42,3
1729667576.2038743,RIGHT_LEG,15556,-5400,4052,-350,-259,-31,4
1729667576.2049809,RIGHT_LEG,15364,-5372,4204,-370,-341,-81,5
1729667576.248848,RIGHT_LEG,15636,-5420,4064,-486,-396,-102,6
1729667576.2499015,RIGHT_LEG,15532,-5132,4044,-340,-421,-106,7
1729667576.2937372,RIGHT_LEG,15512,-5392,4220,-418,-419,-83,8
1729667576.294816,RIGHT_LEG,15476,-5360,3984,-415,-419,-85,9
1729667576.3384929,RIGHT_LEG,15516,-5172,3844,-375,-397,-11,10
1729667576.3396652,RIGHT_LEG,15564,-5104,3964,-419,-410,37,11
1729667576.340557,RIGHT_LEG,15504,-5236,3892,-236,-394,114,12
1729667576.3414023,RIGHT_LEG,15492,-5176,3968,-255,-383,117,13
1729667576.3422627,RIGHT_LEG,15596,-5364,4108,-237,-438,160,14
1729667576.3839355,RIGHT_LEG,15400,-5272,3864,-189,-356,99,15
1729667576.4288957,RIGHT_LEG,15372,-5196,3852,-55,-300,229,16
1729667576.4738512,RIGHT_LEG,15524,-5352,3844,-438,-142,185,17
1729667576.4749064,RIGHT_LEG,15624,-5224,4040,-302,-134,260,18
1729667576.5629225,RIGHT_LEG,15424,-5356,3908,-456,-60,177,19
1729667576.5633416,RIGHT_LEG,15592,-5384,4168,-448,-147,200,20
1729667576.6087575,RIGHT_LEG,15508,-5492,4032,-611,-220,145,21
1729667576.6098206,RIGHT_LEG,15396,-5316,4100,-596,-325,141,22
1729667576.6538482,RIGHT_LEG,15368,-5460,4068,-720,-337,57,23
1729667576.655099,RIGHT_LEG,15548,-5428,3948,-608,-394,101,24
1729667576.6988363,RIGHT_LEG,15548,-5224,3840,-572,-354,83,25
1729667576.788516,RIGHT_LEG,15468,-5508,4204,-499,-326,48,26
1729667576.7896774,RIGHT_LEG,15532,-5420,4056,-494,-316,37,27
1729667576.833477,RIGHT_LEG,15460,-5384,3884,-599,-312,-35,28
1729667576.83537,RIGHT_LEG,15424,-5596,3992,-488,-291,-16,29
1729667576.8362541,RIGHT_LEG,15484,-5320,4256,-478,-316,-6,30
1729667576.8371313,RIGHT_LEG,15408,-5500,3804,-504,-377,-4,31
1729667576.8789032,RIGHT_LEG,15528,-5336,3952,-454,-341,18,32
1729667576.923623,RIGHT_LEG,15472,-5392,3968,-398,-355,-18,33
1729667577.0137208,RIGHT_LEG,15604,-5436,3948,-417,-324,-27,34
1729667577.014809,RIGHT_LEG,15544,-5356,3872,-366,-290,4,35
1729667577.0636513,RIGHT_LEG,15496,-5328,3884,-282,-240,3,36
1729667577.063866,RIGHT_LEG,15572,-5384,3960,-316,-215,16,37
1729667577.10312,RIGHT_LEG,15540,-5460,3852,-269,-160,9,38
1729667577.148136,RIGHT_LEG,15496,-5380,4024,-268,-127,7,39
