time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729668060.5745373,RIGHT_HAND,-1908,16008,-836,-710,626,-229,113
1729668060.6641152,RIGHT_HAND,-1920,16120,-628,-437,-142,-298,115
1729668060.709597,RIGHT_HAND,-3220,16964,-2936,-785,-1951,-2883,117
1729668060.8438272,RIGHT_HAND,-12996,28584,-10084,7063,-7112,-18088,119
1729668060.8887558,RIGHT_HAND,-19084,32512,-13124,21406,20653,-31918,121
1729668060.8903015,RIGHT_HAND,-14968,26552,-9224,32767,20024,-32768,123
1729668060.9332519,RIGHT_HAND,-15552,21284,-9308,32767,13642,-32768,124
1729668060.9777117,RIGHT_HAND,-18144,18332,-10652,31701,11135,-32768,125
1729668060.9780107,RIGHT_HAND,-20808,15932,-8604,30728,21774,-32768,126
1729668061.0246723,RIGHT_HAND,-17404,11488,-6924,28897,32767,-32768,127
1729668061.0258844,RIGHT_HAND,-12960,8372,-6508,24441,32767,-32768,128
1729668061.06967,RIGHT_HAND,-10216,5564,-4240,22491,32767,-27958,129
1729668061.1133437,RIGHT_HAND,-8076,2788,-1372,21392,32767,-22540,130
1729668061.1594586,RIGHT_HAND,-4476,-128,-620,19771,32767,-18436,131
1729668061.1607614,RIGHT_HAND,-284,-3620,-1748,17644,32767,-12739,132
1729668061.204437,RIGHT_HAND,1860,-6520,-2940,14379,32767,-11882,133
1729668061.2494366,RIGHT_HAND,1068,-7308,-1920,9266,32767,-12793,134
1729668061.2505739,RIGHT_HAND,3324,-6412,-2016,3694,32767,-11242,135
1729668061.2933242,RIGHT_HAND,6228,-5616,-1624,1096,32767,-9002,136
1729668061.3839617,RIGHT_HAND,7652,-4808,372,1858,31594,-8428,137
1729668061.3848906,RIGHT_HAND,9596,-5460,2828,3005,24209,-6835,138
1729668061.4283092,RIGHT_HAND,11140,-7564,2432,2594,21681,-4577,139
1729668061.429183,RIGHT_HAND,10936,-9020,2260,-670,21132,-4918,140
1729668061.4300363,RIGHT_HAND,11224,-10272,5684,-2081,18981,-6605,141
1729668061.5204315,RIGHT_HAND,12308,-8724,9316,-4681,16098,-7441,142
1729668061.5215006,RIGHT_HAND,12436,-6908,13548,-5032,10582,-6716,143
1729668061.5226123,RIGHT_HAND,12624,-5276,10280,-2047,7047,-4944,144
1729668061.5640275,RIGHT_HAND,11904,-5276,8024,-337,9148,-3306,145
1729668061.6084912,RIGHT_HAND,12796,-4556,9116,-304,12440,-1170,146
1729668061.6545415,RIGHT_HAND,14256,-4476,12240,4517,11583,1926,147
1729668061.65582,RIGHT_HAND,14644,-6024,11424,8025,7557,3955,148
1729668061.698414,RIGHT_HAND,13660,-6980,13316,8228,5233,5423,149
1729668061.7443805,RIGHT_HAND,13672,-6908,14280,12038,3664,7698,150
1729668061.7453113,RIGHT_HAND,13692,-8072,14712,14595,5253,9238,151
1729668061.7884216,RIGHT_HAND,13120,-8924,16696,18838,6438,11193,152
1729668061.8341105,RIGHT_HAND,13200,-8380,19252,20442,4578,13711,153
1729668061.8352458,RIGHT_HAND,12032,-7468,21648,21133,1054,17473,154
1729668061.878352,RIGHT_HAND,10612,-7904,23940,20513,-3976,22029,155
1729668061.9236405,RIGHT_HAND,10356,-7476,24844,15108,-8155,26611,156
1729668061.9245422,RIGHT_HAND,8604,-7556,25536,9373,-12758,30614,157
1729668061.9683607,RIGHT_HAND,7080,-8084,24908,1931,-20261,32767,158
1729668062.0140572,RIGHT_HAND,5936,-9740,25444,-3989,-26907,32767,159
1729668062.0149615,RIGHT_HAND,4176,-12156,20888,-10425,-32768,32767,160
1729668062.058587,RIGHT_HAND,3672,-13440,13216,-17800,-32410,32767,161
1729668062.104273,RIGHT_HAND,1576,-12800,10160,-23826,-26895,32767,162
