time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729668127.6235347,RIGHT_LEG,15196,-6036,4180,-444,-325,38,58
1729668127.6674874,RIGHT_LEG,15268,-5976,4232,-419,-323,35,62
1729668127.757386,RIGHT_LEG,15164,-6052,4220,-349,-329,72,64
1729668127.8473947,RIGHT_LEG,15364,-6028,4224,-207,-405,151,66
1729668127.8923402,RIGHT_LEG,15264,-5912,4048,-183,-273,231,68
1729668127.8935747,RIGHT_LEG,15156,-6016,4256,-302,-169,246,69
1729668127.9383547,RIGHT_LEG,15112,-6328,4296,-265,-217,213,70
1729668127.9396434,RIGHT_LEG,15116,-6360,4592,66,-324,199,71
1729668127.9826915,RIGHT_LEG,15108,-6176,4492,-386,-368,31,72
1729668128.0735128,RIGHT_LEG,15164,-5868,4244,-523,-432,-1,73
1729668128.0747535,RIGHT_LEG,15100,-6200,4396,-422,-392,62,74
1729668128.1177008,RIGHT_LEG,15156,-6120,4292,-654,-426,23,75
1729668128.1194305,RIGHT_LEG,15072,-5956,4476,-716,-513,31,76
1729668128.1637986,RIGHT_LEG,15000,-6384,4244,-793,-585,-24,77
1729668128.164889,RIGHT_LEG,15188,-5924,3868,-762,-561,-31,78
1729668128.2087674,RIGHT_LEG,15268,-6064,3816,-473,-450,105,79
1729668128.20984,RIGHT_LEG,15232,-5920,4108,-559,-235,102,80
1729668128.2986794,RIGHT_LEG,15224,-6052,4064,-563,-123,108,81
1729668128.3000352,RIGHT_LEG,15084,-6244,4260,-362,-159,114,82
1729668128.3426342,RIGHT_LEG,15136,-6308,4356,-482,-188,-34,83
1729668128.3436902,RIGHT_LEG,15064,-6400,4336,-490,-200,-119,84
1729668128.387507,RIGHT_LEG,14984,-6648,4632,-832,-180,-331,85
1729668128.3885264,RIGHT_LEG,15224,-5972,4580,-2187,-17,-632,86
1729668128.4338107,RIGHT_LEG,15308,-5732,4616,-1531,-573,-305,87
1729668128.4347932,RIGHT_LEG,15172,-5892,4200,-1887,-618,-351,88
1729668128.5236359,RIGHT_LEG,15240,-5584,4200,-1763,-698,-157,89
1729668128.524973,RIGHT_LEG,15504,-5896,3948,-1672,-814,111,90
1729668128.5687876,RIGHT_LEG,15168,-5716,3776,-2142,-554,89,91
1729668128.569826,RIGHT_LEG,15316,-6092,3484,-2119,-376,152,92
1729668128.6125634,RIGHT_LEG,15292,-6272,3028,-2436,61,73,93
1729668128.6135418,RIGHT_LEG,15152,-6156,2800,-1873,382,131,94
1729668128.793968,RIGHT_LEG,15388,-6220,3252,-1678,831,159,95
1729668128.7952478,RIGHT_LEG,15172,-6128,3424,-1082,1017,318,96
1729668128.837574,RIGHT_LEG,14924,-6224,3836,-630,1006,424,97
1729668128.838745,RIGHT_LEG,15024,-6516,4272,-573,867,332,98
1729668128.9740007,RIGHT_LEG,14852,-6556,4664,-379,479,258,99
1729668128.975391,RIGHT_LEG,15112,-6516,4800,-15,-186,214,100
1729668129.0638888,RIGHT_LEG,15060,-6468,4260,74,-484,239,101
1729668129.0651221,RIGHT_LEG,15116,-6212,4012,538,-686,302,102
1729668129.1089618,RIGHT_LEG,15136,-6208,4252,1063,-893,425,103
1729668129.1103244,RIGHT_LEG,15208,-6376,4100,822,-921,291,104
1729668129.198788,RIGHT_LEG,14928,-6616,4016,786,-858,257,105
1729668129.1999109,RIGHT_LEG,15052,-6448,3864,559,-712,24,106
1729668129.2438056,RIGHT_LEG,15068,-6520,3812,747,-601,-24,107
1729668129.2449124,RIGHT_LEG,15276,-6508,3852,766,-399,-182,108
1729668129.2887614,RIGHT_LEG,14972,-6156,3660,1093,-195,-117,109
1729668129.289853,RIGHT_LEG,15224,-6324,4200,1910,-240,115,110
1729668129.4237616,RIGHT_LEG,15164,-5660,4260,2023,-223,230,114
1729668129.4247935,RIGHT_LEG,14868,-5648,4188,1899,-39,265,115
1729668129.4685473,RIGHT_LEG,15400,-5948,4752,1316,133,177,116
1729668129.4697773,RIGHT_LEG,15080,-5464,5200,-250,501,165,119
1729668129.5137548,RIGHT_LEG,15056,-5816,5252,-994,344,120,120
1729668129.5148628,RIGHT_LEG,14936,-5952,5236,-865,95,253,121
1729668129.5587137,RIGHT_LEG,14868,-6160,5288,-959,-168,239,122
1729668129.55988,RIGHT_LEG,14928,-6216,5416,-1855,-303,-113,123
1729668129.6479836,RIGHT_LEG,14952,-6152,5224,-1966,-481,-41,124
1729668129.6482866,RIGHT_LEG,15008,-6284,4512,-1933,-517,11,125
1729668129.6929727,RIGHT_LEG,15064,-6100,4132,-2228,-205,-82,126
1729668129.6934333,RIGHT_LEG,15008,-6088,4388,-1480,-174,188,127
1729668129.7388375,RIGHT_LEG,15232,-6352,4568,-1538,-74,180,128
1729668129.7837756,RIGHT_LEG,15048,-6224,4668,-1648,-21,148,129
1729668129.7848904,RIGHT_LEG,14816,-6288,4636,-1229,-157,246,130
1729668129.873216,RIGHT_LEG,15064,-6516,4672,-1025,-321,219,131
1729668129.8744407,RIGHT_LEG,14812,-6304,4800,-975,-433,147,132
1729668129.9176335,RIGHT_LEG,15004,-6384,4848,-812,-611,106,133
1729668129.918761,RIGHT_LEG,14988,-6268,4540,-635,-759,133,134
1729668129.963548,RIGHT_LEG,15052,-6416,4568,-546,-848,58,135
1729668129.9646459,RIGHT_LEG,15056,-6284,4320,-505,-805,80,136
1729668130.0087993,RIGHT_LEG,14980,-6208,4532,-350,-919,105,137
1729668130.0988047,RIGHT_LEG,15100,-6572,4600,-446,-1030,15,138
1729668130.0999131,RIGHT_LEG,15068,-6540,4272,-567,-1023,-97,139
1729668130.1459332,RIGHT_LEG,15052,-6356,3964,-368,-1015,-106,140
1729668130.1462643,RIGHT_LEG,15076,-6220,4108,-320,-910,-65,141
1729668130.1883352,RIGHT_LEG,15180,-6404,4020,-474,-748,-92,142
1729668130.1890173,RIGHT_LEG,14992,-6308,3896,-548,-543,-109,143
1729668130.2337787,RIGHT_LEG,15148,-6440,4044,-480,-355,-91,144
1729668130.2349062,RIGHT_LEG,15172,-6328,3968,-462,-199,-145,145
1729668130.3235428,RIGHT_LEG,15100,-6300,4100,-317,-103,-160,146
1729668130.3247266,RIGHT_LEG,15008,-6276,4288,-388,-58,-169,147
1729668130.368805,RIGHT_LEG,15040,-6268,4440,-480,-117,-169,148
