time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729670638.8253098,RIGHT_HAND,-4076,17120,-4364,-294,5305,-672,50
1729670638.8272178,RIGHT_HAND,-11908,19404,-10624,2562,6182,-6586,52
1729670638.9151807,RIGHT_HAND,-19100,20928,-11536,9149,10331,-12519,54
1729670638.9602764,RIGHT_HAND,-17900,20300,-4752,7469,26172,-13628,56
1729670639.0514255,RIGHT_HAND,-17460,19800,-1972,17942,20430,-13754,58
1729670639.0961838,RIGHT_HAND,-15784,20148,664,18514,25148,-12080,60
1729670639.0970592,RIGHT_HAND,-12472,19336,520,17339,26519,-13330,61
1729670639.140389,RIGHT_HAND,-9792,19408,64,14549,28281,-12689,62
1729670639.185493,RIGHT_HAND,-7020,18280,-448,13936,28561,-13031,63
1729670639.1866524,RIGHT_HAND,-3424,17020,152,13516,27731,-13951,64
1729670639.275408,RIGHT_HAND,296,14380,-292,12734,25502,-13467,65
1729670639.3205369,RIGHT_HAND,4664,10856,-3356,12232,22923,-13412,66
1729670639.321697,RIGHT_HAND,8116,9600,-4848,7284,20525,-12774,67
1729670639.3653522,RIGHT_HAND,11048,9680,-3332,5480,15369,-9100,68
1729670639.4105337,RIGHT_HAND,10552,8520,-5292,4435,6596,-8121,69
1729670639.411697,RIGHT_HAND,6796,8052,-4724,2375,1990,-8336,70
1729670639.500259,RIGHT_HAND,2176,9608,-8180,-2220,-3298,-11706,71
1729670639.5455265,RIGHT_HAND,-2384,13352,-7452,-4580,-960,-15845,72
1729670639.5464172,RIGHT_HAND,-4452,17240,-8104,-1490,4472,-19939,73
1729670639.5472906,RIGHT_HAND,-1796,16632,-8928,3493,10673,-22696,74
1729670639.590533,RIGHT_HAND,2180,11620,-16012,7870,9772,-25501,75
1729670639.6355119,RIGHT_HAND,7888,9528,-16680,5537,11013,-24600,76
1729670639.6366684,RIGHT_HAND,11076,3896,-12156,13716,-4527,-21046,77
1729670639.6805832,RIGHT_HAND,7764,-4356,-20096,19939,-20195,-16373,78
1729670639.7249587,RIGHT_HAND,9396,-12660,-22600,-1784,-2861,-12930,79
1729670639.7254145,RIGHT_HAND,28216,8584,-32768,-15440,-3310,-3655,80
1729670639.770629,RIGHT_HAND,4460,744,-7928,5519,-32768,3717,81
1729670639.8155615,RIGHT_HAND,-3316,-1640,-24700,-2247,-22803,5514,82
1729670639.8166587,RIGHT_HAND,-5336,-76,-24500,-10540,464,2666,83
1729670639.8604023,RIGHT_HAND,-5904,1840,-18084,-5370,5512,6845,84
