time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729670334.077208,RIGHT_LEG,15460,-4524,5260,-618,81,91,160
1729670334.2124753,RIGHT_LEG,15404,-4584,5468,-861,178,46,162
1729670334.2163703,RIGHT_LEG,15304,-4552,5648,-1131,-231,59,164
1729670334.2575836,RIGHT_LEG,15252,-4636,5660,-1217,-830,93,166
1729670334.3034964,RIGHT_LEG,15364,-4772,5228,-890,-1247,168,168
1729670334.3476574,RIGHT_LEG,15448,-4916,5208,-555,-1328,196,169
1729670334.4371035,RIGHT_LEG,15328,-4888,5232,-234,-1436,108,170
1729670334.4380887,RIGHT_LEG,15408,-4816,4824,68,-1462,84,171
1729670334.4814758,RIGHT_LEG,15520,-4896,4608,11,-1380,-68,172
1729670334.4824896,RIGHT_LEG,15516,-4728,4600,85,-1135,-140,173
1729670334.4835918,RIGHT_LEG,15516,-4680,4632,239,-979,-95,174
1729670334.526345,RIGHT_LEG,15632,-4616,4724,202,-866,-128,175
1729670334.57168,RIGHT_LEG,15528,-4520,4456,17,-667,-178,176
1729670334.5727055,RIGHT_LEG,15548,-4440,4684,-70,-498,-200,177
1729670334.6183925,RIGHT_LEG,15684,-4520,4768,-83,-409,-180,178
1729670334.6636896,RIGHT_LEG,15608,-4432,4628,112,-367,-56,179
1729670334.6648328,RIGHT_LEG,15560,-4344,4684,131,-331,28,180
1729670334.7072737,RIGHT_LEG,15532,-4300,4496,-157,-196,-13,181
1729670334.752246,RIGHT_LEG,15692,-4728,4628,-139,-102,24,182
1729670334.7531486,RIGHT_LEG,15572,-4596,4736,-230,-71,-31,183
1729670334.7970214,RIGHT_LEG,15448,-4452,4756,-276,-60,-21,184
1729670334.8422077,RIGHT_LEG,15580,-4520,4784,-313,-16,-37,185
1729670334.8431022,RIGHT_LEG,15460,-4592,4804,-196,22,-24,186
1729670334.8870032,RIGHT_LEG,15564,-4288,4908,-451,115,-74,187
1729670334.9323187,RIGHT_LEG,15504,-4208,4672,-670,203,-78,188
1729670334.9762704,RIGHT_LEG,15492,-4500,4892,-563,249,36,189
1729670334.9773974,RIGHT_LEG,15476,-4500,5212,-636,155,62,190
1729670335.022263,RIGHT_LEG,15516,-4352,5124,-847,11,83,191
1729670335.1119797,RIGHT_LEG,15460,-4520,5212,-854,-116,154,192
1729670335.1130612,RIGHT_LEG,15500,-4468,5108,-734,-276,149,193
1729670335.15616,RIGHT_LEG,15516,-4712,5116,-807,-406,102,194
1729670335.201268,RIGHT_LEG,15568,-4540,5044,-728,-429,52,195
1729670335.2034516,RIGHT_LEG,15416,-4716,4988,-658,-477,-18,196
1729670335.204543,RIGHT_LEG,15408,-4568,5036,-657,-521,-98,197
1729670335.2472603,RIGHT_LEG,15528,-4628,4880,-633,-538,-135,198
1729670335.2483342,RIGHT_LEG,15444,-4600,4804,-684,-468,-152,199
1729670335.291307,RIGHT_LEG,15512,-4444,4792,-508,-436,-152,200
1729670335.4712532,RIGHT_LEG,15500,-4584,4764,-255,-368,-115,201
1729670335.472336,RIGHT_LEG,15512,-4416,4660,-97,-318,-67,202
1729670335.4733443,RIGHT_LEG,15520,-4504,4956,-102,-351,-28,203
1729670335.4743645,RIGHT_LEG,15504,-4560,4960,-218,-444,24,204
1729670335.5172293,RIGHT_LEG,15512,-4420,4840,-212,-472,83,205
1729670335.518323,RIGHT_LEG,15616,-4388,4980,-371,-502,81,206
1729670335.607008,RIGHT_LEG,15616,-4604,4936,-440,-536,83,207
1729670335.6080694,RIGHT_LEG,15540,-4344,4616,-411,-560,113,208
1729670335.6091428,RIGHT_LEG,15488,-4508,4848,-356,-609,167,209
1729670335.7412162,RIGHT_LEG,15496,-4644,4864,-329,-657,206,210
1729670335.7422519,RIGHT_LEG,15552,-4640,4496,-136,-560,200,211
1729670335.7432969,RIGHT_LEG,15572,-4652,4280,168,-354,141,212
1729670335.8778062,RIGHT_LEG,15612,-4580,4416,415,-100,139,213
1729670335.8787122,RIGHT_LEG,15556,-4616,4480,559,60,85,214
1729670335.879737,RIGHT_LEG,15428,-4368,4624,605,191,62,215
1729670335.966233,RIGHT_LEG,15528,-4140,4916,468,243,122,216
1729670335.968199,RIGHT_LEG,15412,-4268,5128,126,258,156,217
1729670335.9692607,RIGHT_LEG,15512,-4416,5260,-148,188,194,218
1729670336.0121622,RIGHT_LEG,15540,-4444,5072,-374,166,143,219
1729670336.0132663,RIGHT_LEG,15468,-4396,5140,-571,151,128,220
1729670336.102855,RIGHT_LEG,15568,-4492,5260,-888,101,50,221
1729670336.1038916,RIGHT_LEG,15332,-4432,5140,-966,68,14,222
1729670336.104948,RIGHT_LEG,15344,-4828,5144,-682,-47,48,223
1729670336.1462598,RIGHT_LEG,15400,-4636,4912,-647,26,-57,224
1729670336.1472883,RIGHT_LEG,15400,-4600,4844,-418,83,-30,225
1729670336.1483173,RIGHT_LEG,15600,-4616,5088,-365,193,-85,226
1729670336.1928303,RIGHT_LEG,15384,-4444,5248,-396,233,-144,227
1729670336.1937823,RIGHT_LEG,15400,-4468,5080,-408,239,-150,228
1729670336.2362905,RIGHT_LEG,15488,-4416,5300,-638,265,-206,229
1729670336.2373977,RIGHT_LEG,15400,-4588,5440,-558,225,-140,230
1729670336.281841,RIGHT_LEG,15468,-4424,5484,-612,82,-148,231
1729670336.416133,RIGHT_LEG,15384,-4236,5512,-751,14,-103,232
1729670336.4170985,RIGHT_LEG,15304,-4296,5684,-661,-116,15,233
1729670336.417999,RIGHT_LEG,15300,-4436,5820,-561,-346,165,234
1729670336.4188578,RIGHT_LEG,15424,-4528,5468,-752,-462,110,235
1729670336.4611106,RIGHT_LEG,15352,-4556,5212,-719,-376,147,236
1729670336.4620628,RIGHT_LEG,15400,-4596,5368,-597,-393,151,237
1729670336.5070992,RIGHT_LEG,15416,-4616,5448,-523,-400,101,238
1729670336.5962186,RIGHT_LEG,15380,-4544,5216,-463,-360,83,239
1729670336.59729,RIGHT_LEG,15404,-4596,5280,-295,-414,143,240
1729670336.598288,RIGHT_LEG,15440,-4584,5524,-173,-484,190,241
1729670336.5992975,RIGHT_LEG,15444,-4428,5336,-211,-509,176,242
1729670336.6431131,RIGHT_LEG,15304,-4528,5288,-255,-570,209,243
