time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729670894.3842027,RIGHT_HAND,-2772,14884,312,-1166,976,484,47
1729670894.387036,RIGHT_HAND,-9860,17084,-7176,-4622,5953,1002,49
1729670894.5193129,RIGHT_HAND,-14784,16112,2772,2634,16203,-5405,51
1729670894.564297,RIGHT_HAND,-15336,14056,3664,1571,14284,-15647,53
1729670894.6100173,RIGHT_HAND,-16804,15124,6804,-4523,23408,-20469,55
1729670894.6546454,RIGHT_HAND,-17512,18168,9512,-10636,29089,-24966,57
1729670894.655283,RIGHT_HAND,-19028,19748,10332,-13079,28944,-28094,58
1729670894.7893667,RIGHT_HAND,-20936,20516,9332,-15762,30604,-31143,59
1729670894.7908711,RIGHT_HAND,-20144,21296,7884,-17164,32767,-32768,60
1729670894.8343043,RIGHT_HAND,-15728,19916,6132,-11708,32767,-32192,61
1729670894.8354576,RIGHT_HAND,-10216,16064,4168,-7309,32767,-29698,62
1729670894.8807225,RIGHT_HAND,-5640,12852,1756,-4991,32767,-27657,63
1729670894.8816822,RIGHT_HAND,-3252,10900,176,-3593,22707,-24557,64
1729670894.9692898,RIGHT_HAND,-3696,9592,-1304,-2986,13245,-21496,65
1729670894.9704418,RIGHT_HAND,-4088,8460,-5868,-1062,6103,-17951,66
1729670895.0142994,RIGHT_HAND,-5224,7460,-8568,1013,5628,-14281,67
1729670895.015575,RIGHT_HAND,-6332,6172,-8836,1755,5297,-11465,68
1729670895.0593429,RIGHT_HAND,-5392,5452,-11284,445,4955,-8277,69
1729670895.0602965,RIGHT_HAND,-4168,4328,-13756,552,3503,-5529,70
1729670895.1057117,RIGHT_HAND,-3648,2624,-11580,2941,7814,-1149,71
1729670895.1066546,RIGHT_HAND,-4044,980,-11556,5622,351,1830,72
1729670895.2405963,RIGHT_HAND,-5256,-1096,-12424,7135,-3910,3254,73
1729670895.2416878,RIGHT_HAND,-6744,-1916,-12600,5435,-5360,5297,74
1729670895.2856705,RIGHT_HAND,-6700,-584,-13040,879,-2635,7079,75
1729670895.2866323,RIGHT_HAND,-4540,2224,-11632,-3186,3070,10586,76
1729670895.2875216,RIGHT_HAND,-2668,5420,-8268,-4480,6195,14554,77
1729670895.465669,RIGHT_HAND,-1336,7532,-5360,-3475,-1324,18579,78
1729670895.4667218,RIGHT_HAND,-2100,9532,-5204,-1544,-10941,22575,79
1729670895.5107646,RIGHT_HAND,-5576,10000,-5064,180,-16149,25666,80
1729670895.5119696,RIGHT_HAND,-8020,11688,-3588,-831,-18809,28483,81
1729670895.555709,RIGHT_HAND,-12336,13564,-2748,-4818,-23304,32253,82
1729670895.5567524,RIGHT_HAND,-16808,16996,-4460,-3640,-25426,31449,83
1729670895.6456594,RIGHT_HAND,-17704,18168,-2548,2940,-17489,30117,84
1729670895.646736,RIGHT_HAND,-17088,15692,-3108,902,-16087,31262,85
1729670895.7357287,RIGHT_HAND,-16704,15372,-1476,-3227,-9610,28500,86
1729670895.7806914,RIGHT_HAND,-14160,16300,1072,-5546,-12224,24071,87
1729670895.7817392,RIGHT_HAND,-12820,17552,296,-6747,-22851,21088,88
1729670895.8705559,RIGHT_HAND,-13932,17924,212,-4799,-28555,19184,89
1729670895.8717303,RIGHT_HAND,-14144,17184,332,-2072,-24075,15731,90
1729670895.9157193,RIGHT_HAND,-12920,16148,1056,-2175,-19493,12805,91
1729670896.005651,RIGHT_HAND,-11392,15892,536,-3372,-19357,10435,92
1729670896.006835,RIGHT_HAND,-10324,16188,624,-3583,-18798,7862,93
1729670896.0957036,RIGHT_HAND,-9528,16108,1492,-3282,-18805,6031,94
1729670896.0967453,RIGHT_HAND,-8924,15808,1832,-2793,-18263,4385,95
1729670896.1393752,RIGHT_HAND,-8496,15400,1220,-1652,-16121,2640,96
1729670896.1405473,RIGHT_HAND,-7684,14836,700,-2355,-14466,1611,97
1729670896.1856728,RIGHT_HAND,-6712,14796,1104,-3489,-12382,38,98
1729670896.1866152,RIGHT_HAND,-6300,16324,740,-1932,-16068,-2567,99
1729670896.2306986,RIGHT_HAND,-7036,17128,-848,2039,-19832,-3494,100
1729670896.2317424,RIGHT_HAND,-7020,16088,-2544,3196,-13174,-2837,101
1729670896.3206816,RIGHT_HAND,-5344,15556,-2032,487,-4649,-1805,102
1729670896.321749,RIGHT_HAND,-3572,16460,-1376,-549,-521,-931,103
1729670896.3677607,RIGHT_HAND,-2728,16656,-1036,608,700,-323,104
1729670896.3679914,RIGHT_HAND,-2244,15960,-1132,283,604,148,105
1729670896.4083133,RIGHT_HAND,-2164,15924,-756,-738,863,410,106
1729670896.408561,RIGHT_HAND,-2504,16084,-148,-1024,1009,530,107
1729670896.544942,RIGHT_HAND,-2664,15984,-96,-1029,1678,561,108
1729670896.5453074,RIGHT_HAND,-2836,16000,392,-1077,3309,517,109
1729670896.589261,RIGHT_HAND,-2388,16028,1012,-775,4331,548,110
1729670896.5901012,RIGHT_HAND,-2164,15856,1528,-537,4450,479,111
1729670896.6353052,RIGHT_HAND,-1948,15640,1828,-438,3911,402,112
1729670896.6361856,RIGHT_HAND,-1648,15548,1904,-658,3217,337,113
1729670896.6369374,RIGHT_HAND,-1444,15700,1672,-763,2583,309,114
1729670896.6379638,RIGHT_HAND,-1328,15848,1620,-625,1797,201,115
1729670896.6389983,RIGHT_HAND,-1300,15776,1476,-664,744,27,116
1729670896.6793487,RIGHT_HAND,-1576,16136,1352,-824,-76,-64,117
1729670896.7705564,RIGHT_HAND,-1688,16184,1304,-479,-395,-138,118
1729670896.7714567,RIGHT_HAND,-1936,15844,908,-339,-300,-160,119
1729670896.8156722,RIGHT_HAND,-1832,15840,828,-676,-158,-187,120
1729670896.8167448,RIGHT_HAND,-1992,15984,784,-710,-261,-168,121
1729670896.8596272,RIGHT_HAND,-2240,15932,688,-408,58,-107,122
1729670896.8606975,RIGHT_HAND,-2172,16056,804,-585,642,-88,123
1729670896.9056778,RIGHT_HAND,-2004,16016,1024,-544,806,-103,124
1729670896.9955914,RIGHT_HAND,-1852,15864,808,-412,868,-74,125
1729670896.9965644,RIGHT_HAND,-1700,15916,820,-599,1162,-33,126
1729670897.0406725,RIGHT_HAND,-1660,16032,876,-515,1224,20,127
1729670897.0416698,RIGHT_HAND,-1644,15944,1076,-523,761,25,128
1729670897.0842366,RIGHT_HAND,-1648,15928,1124,-573,548,8,129
1729670897.085073,RIGHT_HAND,-1740,16048,1032,-510,433,62,130
1729670897.1304233,RIGHT_HAND,-1668,15900,720,-538,317,16,131
