time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729670931.1096566,RIGHT_LEG,15608,-3768,5288,-486,-266,2,122
1729670931.1545098,RIGHT_LEG,15392,-3964,5360,-687,-189,70,124
1729670931.1983938,RIGHT_LEG,15452,-3688,5680,-751,-393,129,126
1729670931.2442966,RIGHT_LEG,15468,-3824,5460,-1101,-611,109,128
1729670931.3795428,RIGHT_LEG,15596,-4268,5284,-841,-744,6,130
1729670931.42421,RIGHT_LEG,15532,-4204,5396,-581,-832,-82,131
1729670931.4254053,RIGHT_LEG,15584,-4064,5220,-321,-886,-164,132
1729670931.4693155,RIGHT_LEG,15644,-3952,4992,-145,-851,-234,133
1729670931.4702237,RIGHT_LEG,15736,-3740,4948,-205,-760,-249,134
1729670931.4710982,RIGHT_LEG,15692,-3812,5024,-100,-679,-223,135
1729670931.559186,RIGHT_LEG,15768,-3852,5028,-70,-598,-211,136
1729670931.5601351,RIGHT_LEG,15724,-3212,4948,174,-442,-93,137
1729670931.6040425,RIGHT_LEG,15784,-3436,4800,175,-271,-92,138
1729670931.604955,RIGHT_LEG,15656,-3504,5024,14,-166,-25,139
1729670931.648787,RIGHT_LEG,15676,-3760,5188,45,-219,101,140
1729670931.6498458,RIGHT_LEG,15676,-3736,5180,-17,-236,140,141
1729670931.693343,RIGHT_LEG,15712,-3676,5084,-93,-188,63,142
1729670931.7831588,RIGHT_LEG,15752,-3644,5092,-189,-32,-17,143
1729670931.784489,RIGHT_LEG,15696,-3796,5264,-315,67,-99,144
1729670931.8286843,RIGHT_LEG,15540,-3752,5336,-411,15,-107,145
1729670931.8298423,RIGHT_LEG,15580,-3636,5300,-421,-42,-63,146
1729670931.8314762,RIGHT_LEG,15720,-3596,5156,-404,0,-51,147
1729670931.874349,RIGHT_LEG,15632,-3828,5264,-346,53,-14,148
1729670931.8757105,RIGHT_LEG,15640,-3748,5248,-496,82,-53,149
1729670931.9195054,RIGHT_LEG,15608,-3600,5252,-423,91,-52,150
1729670932.0093095,RIGHT_LEG,15676,-3668,5428,-318,30,14,151
1729670932.0538828,RIGHT_LEG,15520,-3672,5292,-279,17,13,152
1729670932.0549145,RIGHT_LEG,15524,-3544,5328,-100,61,123,153
1729670932.055969,RIGHT_LEG,15468,-3620,5364,-73,68,147,154
1729670932.1431236,RIGHT_LEG,15492,-3496,5496,-72,19,219,155
1729670932.1442127,RIGHT_LEG,15668,-3620,5420,-227,8,210,156
1729670932.2790625,RIGHT_LEG,15596,-3616,5396,-317,56,195,157
1729670932.2801049,RIGHT_LEG,15572,-3656,5664,-434,48,196,158
1729670932.2812815,RIGHT_LEG,15532,-3640,5604,-500,-6,177,159
1729670932.324233,RIGHT_LEG,15564,-3812,5552,-609,-65,131,160
1729670932.3253636,RIGHT_LEG,15496,-3724,5652,-537,-151,177,161
1729670932.3263762,RIGHT_LEG,15548,-3752,5596,-685,-171,133,162
1729670932.327469,RIGHT_LEG,15412,-3640,5700,-610,-268,178,163
1729670932.3692644,RIGHT_LEG,15556,-3948,5596,-595,-328,138,164
1729670932.458961,RIGHT_LEG,15548,-3888,5524,-573,-375,117,165
1729670932.4599075,RIGHT_LEG,15460,-3836,5612,-526,-316,117,166
1729670932.503269,RIGHT_LEG,15504,-3824,5416,-481,-325,98,167
1729670932.504318,RIGHT_LEG,15540,-3764,5556,-460,-300,85,168
1729670932.5053773,RIGHT_LEG,15412,-3852,5508,-487,-313,13,169
1729670932.5489886,RIGHT_LEG,15496,-3604,5600,-625,-320,-1,170
1729670932.5938282,RIGHT_LEG,15484,-3780,5432,-517,-366,116,171
1729670932.594856,RIGHT_LEG,15476,-3880,5708,-404,-409,101,172
1729670932.683409,RIGHT_LEG,15532,-3824,5568,-393,-409,86,173
1729670932.728807,RIGHT_LEG,15460,-3724,5692,-319,-394,91,174
1729670932.729722,RIGHT_LEG,15532,-3836,5624,-302,-509,79,175
1729670932.7306705,RIGHT_LEG,15552,-3876,5536,-290,-506,34,176
1729670932.773695,RIGHT_LEG,15532,-3756,5556,-261,-469,86,177
1729670932.7747588,RIGHT_LEG,15444,-3824,5572,-342,-461,11,178
1729670932.8166118,RIGHT_LEG,15500,-3820,5404,-383,-480,66,179
1729670932.8198109,RIGHT_LEG,15560,-3776,5400,-365,-437,60,180
1729670932.9081604,RIGHT_LEG,15548,-3824,5480,-249,-437,109,181
1729670932.9538379,RIGHT_LEG,15692,-3820,5268,-344,-408,81,182
1729670932.9548564,RIGHT_LEG,15604,-3780,5364,-263,-368,108,183
1729670932.9967935,RIGHT_LEG,15572,-3856,5384,-293,-324,77,184
1729670932.9973671,RIGHT_LEG,15596,-3768,5444,-284,-300,70,185
1729670933.0426016,RIGHT_LEG,15512,-3788,5640,-371,-308,41,186
1729670933.133764,RIGHT_LEG,15568,-3780,5596,-359,-290,27,187
1729670933.1787448,RIGHT_LEG,15484,-3744,5444,-354,-315,27,188
1729670933.1797554,RIGHT_LEG,15684,-3796,5352,-344,-327,39,189
1729670933.1807592,RIGHT_LEG,15596,-3732,5452,-335,-316,38,190
1729670933.2238326,RIGHT_LEG,15444,-3884,5328,-350,-315,39,191
1729670933.2249067,RIGHT_LEG,15580,-3668,5516,-350,-327,66,192
1729670933.2688317,RIGHT_LEG,15544,-3688,5624,-423,-357,61,193
1729670933.358204,RIGHT_LEG,15572,-3756,5516,-455,-375,80,194
1729670933.3601906,RIGHT_LEG,15484,-3812,5536,-461,-386,54,195
1729670933.361244,RIGHT_LEG,15576,-3800,5468,-464,-382,22,196
1729670933.3622768,RIGHT_LEG,15660,-3796,5240,-485,-386,27,197
1729670933.4492505,RIGHT_LEG,15504,-3760,5328,-448,-357,48,198
1729670933.493665,RIGHT_LEG,15540,-3828,5400,-439,-367,28,199
1729670933.4947445,RIGHT_LEG,15496,-3700,5336,-454,-389,33,200
1729670933.583142,RIGHT_LEG,15576,-3764,5452,-504,-409,57,201
1729670933.6731234,RIGHT_LEG,15504,-3780,5380,-530,-424,55,202
1729670933.6741915,RIGHT_LEG,15464,-3772,5456,-538,-452,95,203
1729670933.6752872,RIGHT_LEG,15556,-3816,5352,-614,-451,16,204
1729670933.676671,RIGHT_LEG,15560,-3724,5416,-460,-450,86,205
