time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671354.064681,RIGHT_HAND,2692,15820,1512,2549,725,468,236
1729671354.1096163,RIGHT_HAND,4832,14704,3772,909,775,2324,238
1729671354.1546993,RIGHT_HAND,3816,13628,1964,750,-13634,2387,240
1729671354.1996083,RIGHT_HAND,3596,17816,6632,-11209,-3395,2779,242
1729671354.289587,RIGHT_HAND,2488,18080,6024,-10923,-7609,5454,244
1729671354.3396184,RIGHT_HAND,1460,16424,2648,-14747,-10948,6599,246
1729671354.3406568,RIGHT_HAND,412,18184,1208,-16893,-11048,7272,247
1729671354.4255784,RIGHT_HAND,-568,19920,1436,-15530,-9089,8146,248
1729671354.426675,RIGHT_HAND,-708,20520,1176,-13634,-7833,7926,249
1729671354.5155354,RIGHT_HAND,-196,19908,468,-11289,-10156,6382,250
1729671354.51674,RIGHT_HAND,-700,19168,-464,-9992,-14355,4405,251
1729671354.560629,RIGHT_HAND,-2108,20252,-1792,-10250,-15354,2878,252
1729671354.5615916,RIGHT_HAND,-3100,19712,-5108,-6886,-10055,2627,253
1729671354.6056619,RIGHT_HAND,-2956,16284,-7868,-4123,-252,2001,254
1729671354.606738,RIGHT_HAND,-1124,15252,-7736,-4011,7274,147,255
1729671354.6506,RIGHT_HAND,1228,16916,-5220,-1269,10841,-1624,1
1729671354.6516662,RIGHT_HAND,2732,18032,-1840,4651,9440,-2767,2
1729671354.7404513,RIGHT_HAND,3408,17184,552,8317,2534,-3924,3
1729671354.7415705,RIGHT_HAND,2472,17056,24,9083,-2532,-6228,4
1729671354.785598,RIGHT_HAND,1392,17908,436,10066,-1351,-8113,5
1729671354.7866764,RIGHT_HAND,800,17652,108,11237,3906,-8146,6
1729671354.8304462,RIGHT_HAND,1064,16968,2040,10878,5580,-7590,7
1729671354.8314533,RIGHT_HAND,2200,16816,2776,10219,5715,-7780,8
1729671354.8760476,RIGHT_HAND,2672,16940,2908,9412,4791,-8047,9
1729671354.8765311,RIGHT_HAND,2884,16740,3612,8821,2767,-8123,10
1729671354.9656048,RIGHT_HAND,3144,16176,4552,8396,-540,-7740,11
1729671354.966161,RIGHT_HAND,2964,15400,2052,6772,-952,-7002,12
1729671355.009741,RIGHT_HAND,1896,15628,260,3086,1747,-5940,13
1729671355.010269,RIGHT_HAND,2032,16596,2136,2253,6405,-4310,14
1729671355.0565302,RIGHT_HAND,2828,15764,1804,2381,9073,-2870,15
1729671355.0577135,RIGHT_HAND,3104,16120,1332,74,8185,-1570,16
1729671355.101356,RIGHT_HAND,2492,19440,2240,-2027,5509,-310,17
1729671355.1025496,RIGHT_HAND,5160,18600,2080,-107,19190,3399,18
1729671355.1915762,RIGHT_HAND,5212,17808,2196,-340,23236,3108,19
1729671355.1926076,RIGHT_HAND,3588,13668,3756,97,19567,1166,20
1729671355.3276238,RIGHT_HAND,3216,12656,2756,-1937,5154,-1571,21
1729671355.328693,RIGHT_HAND,1144,15080,2036,-3460,-10933,-1991,22
1729671355.417713,RIGHT_HAND,-2664,16652,116,-1748,-13497,-878,23
1729671355.418776,RIGHT_HAND,-3236,15984,-472,-1474,-7835,-149,24
1729671355.4626272,RIGHT_HAND,-2472,15932,-576,-2477,-5798,140,25
1729671355.4637048,RIGHT_HAND,-2220,16020,-1244,-1405,-4825,32,26
1729671355.5073864,RIGHT_HAND,-1892,15700,-468,-2345,-4184,-2,27
1729671355.5083618,RIGHT_HAND,-1356,16568,-168,-3544,-5650,121,28
1729671355.5526302,RIGHT_HAND,-1944,17200,-872,-2321,-5699,45,29
1729671355.5537117,RIGHT_HAND,-2348,16936,-1876,-2213,-2723,-8,30
1729671355.643362,RIGHT_HAND,-1912,16808,-1528,-2929,1053,-127,31
1729671355.6445527,RIGHT_HAND,-1248,17100,-720,-1514,2060,-445,32
1729671355.733524,RIGHT_HAND,-908,16776,-188,-224,1351,-1186,33
1729671355.7774603,RIGHT_HAND,-636,16596,-220,-356,-567,-1926,34
1729671355.778646,RIGHT_HAND,-916,17012,-148,-301,-2186,-2062,35
1729671355.8686864,RIGHT_HAND,-1292,16432,-644,546,-1664,-2001,36
1729671355.869754,RIGHT_HAND,-1344,15924,-744,-18,-171,-1880,37
1729671355.9136384,RIGHT_HAND,-1268,16104,-804,-454,1241,-1625,38
1729671355.9147286,RIGHT_HAND,-1132,16356,-604,19,2170,-1279,39
