time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671347.9743793,RIGHT_LEG,11656,-4952,-2972,-1587,-21328,20232,250
1729671348.0194254,RIGHT_LEG,11336,-6904,1304,-13249,-32768,31136,252
1729671348.0211146,RIGHT_LEG,9304,-1348,12284,-21022,-32768,31511,254
1729671348.0664418,RIGHT_LEG,23268,6744,23496,-13581,-32768,32758,1
1729671348.11235,RIGHT_LEG,13152,1320,16032,2797,-14649,15162,3
1729671348.2461853,RIGHT_LEG,8220,-2864,11036,3848,15956,-17576,5
1729671348.2470675,RIGHT_LEG,11432,-960,11304,782,25067,-26175,6
1729671348.4282737,RIGHT_LEG,14904,-1640,12276,1292,30903,-27375,7
1729671348.4292593,RIGHT_LEG,15196,-1392,13508,2953,32767,-28347,8
1729671348.4722178,RIGHT_LEG,15276,-1860,12932,6219,32767,-27777,9
1729671348.4731169,RIGHT_LEG,16936,-920,12460,7227,32767,-26547,10
1729671348.4740753,RIGHT_LEG,16096,-2176,10700,3237,32767,-25673,11
1729671348.4749463,RIGHT_LEG,15608,-1924,10584,-4599,32767,-24490,12
1729671348.5167508,RIGHT_LEG,13396,-1760,9676,-11654,31658,-22899,13
1729671348.5176935,RIGHT_LEG,10700,-604,8956,-15691,26293,-20610,14
1729671348.518543,RIGHT_LEG,13656,3180,10428,-18109,18443,-16496,15
1729671348.5193982,RIGHT_LEG,16660,3296,11028,-11358,8959,-9493,16
1729671348.5625875,RIGHT_LEG,15540,1808,10452,-10543,143,-8074,17
1729671348.5636775,RIGHT_LEG,17200,3024,12332,-15608,-7674,-6856,18
1729671348.651342,RIGHT_LEG,19912,1932,13924,-16897,-14781,-4498,19
1729671348.6516147,RIGHT_LEG,23112,-548,14136,-16128,-20758,-3427,20
1729671348.697699,RIGHT_LEG,32767,18924,8552,-13112,-19752,-12121,21
1729671348.698553,RIGHT_LEG,28804,-17224,1068,4838,-21750,5094,22
1729671348.6994152,RIGHT_LEG,24888,-348,156,-6834,-13667,-1064,23
1729671348.7876067,RIGHT_LEG,16500,-3288,2176,-3024,-9500,790,24
1729671348.7892017,RIGHT_LEG,12336,-8432,3300,-4643,-4877,-2559,25
1729671348.790126,RIGHT_LEG,16660,-2048,5700,1156,-3631,-1236,26
1729671348.9230838,RIGHT_LEG,15128,-3640,7088,2404,-3389,-751,27
1729671348.9681175,RIGHT_LEG,16360,-128,6772,-266,-3158,-1491,28
1729671348.9702258,RIGHT_LEG,15672,-1864,6976,477,-3637,-384,29
1729671348.9711142,RIGHT_LEG,15104,-3756,7256,780,-3796,-859,30
1729671348.9720023,RIGHT_LEG,15684,-1856,6332,1655,-3636,-717,31
1729671349.0134568,RIGHT_LEG,16388,-1328,6100,998,-3341,-729,32
1729671349.103639,RIGHT_LEG,15868,-1124,5976,666,-2821,-28,33
1729671349.1487355,RIGHT_LEG,16296,-1272,5516,-858,-2280,165,34
1729671349.1496258,RIGHT_LEG,16020,-1656,4720,-1731,-1282,319,35
1729671349.150514,RIGHT_LEG,15872,-2668,4576,-1581,-234,158,36
1729671349.1944423,RIGHT_LEG,15468,-3208,5320,-521,345,-43,37
1729671349.2388334,RIGHT_LEG,16028,-1760,5392,127,848,-95,38
1729671349.2398255,RIGHT_LEG,15644,-2052,5972,38,1041,-26,39
1729671349.37489,RIGHT_LEG,15232,-2128,7100,-41,657,29,40
1729671349.4200177,RIGHT_LEG,15368,-1788,7232,-500,-11,25,41
1729671349.4212115,RIGHT_LEG,16020,-1664,6324,-1207,-248,420,42
1729671349.4221005,RIGHT_LEG,15512,-988,5704,-1455,-131,561,43
1729671349.422985,RIGHT_LEG,15408,-2232,5916,-1296,-129,769,44
1729671349.466581,RIGHT_LEG,15652,-3360,7180,-824,-503,677,45
1729671349.4671123,RIGHT_LEG,15492,-2744,6440,-661,-671,386,46
1729671349.5534499,RIGHT_LEG,15708,-1608,5156,-395,-533,425,47
1729671349.5551636,RIGHT_LEG,15748,-2072,5376,-429,39,465,48
1729671349.5566494,RIGHT_LEG,15512,-2980,5756,-484,438,127,49
1729671349.6009102,RIGHT_LEG,15480,-3028,5660,-187,852,-377,50
1729671349.6021054,RIGHT_LEG,15628,-2684,5452,154,1483,-581,51
1729671349.6481209,RIGHT_LEG,15492,-1056,5812,149,1873,-567,52
1729671349.6905987,RIGHT_LEG,15520,-1932,7304,298,1650,-17,53
1729671349.7804983,RIGHT_LEG,15316,-2300,8332,-610,1048,-102,54
1729671349.7813187,RIGHT_LEG,15088,-2216,7700,-548,301,187,55
1729671349.8266587,RIGHT_LEG,15272,-2052,6924,-475,8,367,56
1729671349.827569,RIGHT_LEG,15468,-2040,6556,-590,-30,334,57
1729671349.8284588,RIGHT_LEG,14996,-2568,6840,-532,123,227,58
1729671349.8708737,RIGHT_LEG,15528,-2540,7052,-548,188,-18,59
1729671349.9165928,RIGHT_LEG,15036,-2020,7100,-339,120,70,60
1729671349.9175165,RIGHT_LEG,15260,-2092,7372,-466,-179,258,61
1729671350.0062885,RIGHT_LEG,15336,-2140,7544,-874,-556,325,62
1729671350.0515077,RIGHT_LEG,14920,-2244,7088,-906,-920,500,63
1729671350.0524435,RIGHT_LEG,15228,-2564,6724,-583,-1114,664,64
1729671350.0533795,RIGHT_LEG,15440,-2696,6660,-609,-1025,430,65
1729671350.0542736,RIGHT_LEG,15212,-2660,6248,-433,-824,229,66
1729671350.096804,RIGHT_LEG,15452,-2824,6044,-339,-426,-17,67
1729671350.1418138,RIGHT_LEG,15412,-2204,6740,-193,-265,-108,68
1729671350.2317657,RIGHT_LEG,15212,-2032,7348,-452,-495,69,69
1729671350.2327025,RIGHT_LEG,15144,-2108,7684,-926,-1109,225,70
1729671350.277832,RIGHT_LEG,15420,-2560,6824,-1030,-1413,387,71
1729671350.3225658,RIGHT_LEG,15268,-2432,6180,-883,-1445,333,72
1729671350.323451,RIGHT_LEG,15444,-2856,6436,-569,-1307,335,73
1729671350.3243375,RIGHT_LEG,15632,-2736,6124,-600,-1063,153,74
1729671350.3672209,RIGHT_LEG,15548,-2820,6004,-423,-863,93,75
1729671350.4577541,RIGHT_LEG,15440,-2780,6216,-472,-674,-55,76
1729671350.458771,RIGHT_LEG,15344,-2476,6012,-434,-536,-53,77
1729671350.5025294,RIGHT_LEG,15548,-2500,6192,-367,-473,-7,78
1729671350.5033104,RIGHT_LEG,15476,-2532,6264,-425,-396,-16,79
