time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671650.4130402,RIGHT_HAND,-13108,16616,-6336,4826,-363,-1676,141
1729671650.4584477,RIGHT_HAND,-12320,17148,-892,2865,14391,-9616,143
1729671650.5038896,RIGHT_HAND,-9840,16180,1408,2363,9911,-16638,145
1729671650.5931284,RIGHT_HAND,-5824,16300,3740,-1103,11329,-17475,147
1729671650.683213,RIGHT_HAND,-2016,13364,3532,-1380,4001,-16985,149
1729671650.7279003,RIGHT_HAND,-80,10212,2824,533,-12262,-13820,151
1729671650.728779,RIGHT_HAND,192,8336,-484,424,-14699,-11072,152
1729671650.7731688,RIGHT_HAND,-396,8464,-1024,-3190,-14238,-7338,153
1729671650.773984,RIGHT_HAND,-1760,10532,-560,-7878,-9122,-2947,154
1729671650.8172293,RIGHT_HAND,-4928,16016,2568,-8390,-1272,2821,155
1729671650.9082153,RIGHT_HAND,-3592,19972,-1188,-669,18748,10564,156
1729671650.9093494,RIGHT_HAND,-2144,16636,-1572,4424,8110,10921,157
1729671650.9519742,RIGHT_HAND,-7024,14372,1176,-4079,-8242,10207,158
1729671650.953051,RIGHT_HAND,-17528,20808,3332,-8343,-17552,6058,159
1729671650.953859,RIGHT_HAND,-24248,24388,356,4514,-16503,-8,160
1729671650.9985442,RIGHT_HAND,-31116,23008,-4236,6368,-6404,-3820,161
1729671651.0426495,RIGHT_HAND,-32768,21308,-1336,-305,2022,-6334,162
1729671651.0886323,RIGHT_HAND,-32768,23320,288,839,9148,-9916,163
1729671651.0896301,RIGHT_HAND,-32768,22880,812,5032,14083,-14313,164
1729671651.177363,RIGHT_HAND,-30856,22764,960,4955,12566,-19822,165
1729671651.179209,RIGHT_HAND,-27164,22988,1276,6124,18159,-23897,166
1729671651.1801372,RIGHT_HAND,-21400,20776,2052,8169,25633,-25508,167
1729671651.2242246,RIGHT_HAND,-15136,18448,5112,8429,26978,-25291,168
1729671651.2671795,RIGHT_HAND,-9232,16340,3768,11712,25977,-25294,169
1729671651.2681165,RIGHT_HAND,-3432,13684,4552,13136,25892,-23446,170
1729671651.3124835,RIGHT_HAND,216,9912,4408,13555,19973,-20523,171
1729671651.313431,RIGHT_HAND,2912,7668,2228,11893,14753,-18388,172
1729671651.3595018,RIGHT_HAND,4480,5728,2192,10488,12649,-15262,173
1729671651.4028277,RIGHT_HAND,4664,4012,-548,9623,9955,-11001,174
1729671651.4482498,RIGHT_HAND,4872,1896,-1956,8720,12314,-6779,175
1729671651.4492066,RIGHT_HAND,4496,-48,112,9381,13989,-2885,176
1729671651.4918275,RIGHT_HAND,5184,-2228,-2752,10033,9037,283,177
1729671651.4942443,RIGHT_HAND,6044,-6460,-4972,5579,6103,-894,178
1729671651.539353,RIGHT_HAND,4068,-5288,-3856,-6326,3653,-1009,179
1729671651.6280596,RIGHT_HAND,556,-2036,-3500,-12593,415,-1580,180
1729671651.6743248,RIGHT_HAND,-1116,1572,-7380,-10505,5568,238,181
1729671651.675346,RIGHT_HAND,-4780,3748,-9320,-9480,14773,1927,182
1729671651.7180738,RIGHT_HAND,-4568,3452,-8532,-10968,28649,3613,183
1729671651.7631843,RIGHT_HAND,-2208,3488,-7192,-13522,21481,3843,184
1729671651.7643182,RIGHT_HAND,-272,5564,-10540,-18125,9912,2544,185
1729671651.8101826,RIGHT_HAND,-1620,6392,-9736,-16266,-4397,3895,186
1729671651.8528237,RIGHT_HAND,-4308,8048,-17440,-15299,-17240,7074,187
1729671651.85418,RIGHT_HAND,-7116,9072,-16852,-19443,-16641,8053,188
1729671651.8972735,RIGHT_HAND,-8664,9988,-16396,-14638,-17664,13218,189
1729671651.9424314,RIGHT_HAND,-9320,11280,-18160,-12116,-18487,17434,190
1729671651.9436119,RIGHT_HAND,-10420,11168,-12460,-12400,-22851,18210,191
1729671651.9889703,RIGHT_HAND,-12392,12884,-11340,-11378,-32768,18242,192
1729671652.0782592,RIGHT_HAND,-16296,15528,-12692,-11023,-32768,19511,193
1729671652.1242352,RIGHT_HAND,-18048,15120,-9064,-7631,-21976,20275,194
1729671652.125124,RIGHT_HAND,-15940,15076,-8396,-10451,-9687,22081,195
1729671652.1260068,RIGHT_HAND,-13824,16596,-8724,-14922,-4393,23465,196
1729671652.1686606,RIGHT_HAND,-12172,19620,-5928,-15755,-6197,23280,197
1729671652.169728,RIGHT_HAND,-10360,21476,-4304,-12815,-10540,21135,198
1729671652.212324,RIGHT_HAND,-10328,21164,-4804,-7471,-15428,17608,199
1729671652.258159,RIGHT_HAND,-10628,19724,-5032,-5546,-16654,15084,200
1729671652.2591562,RIGHT_HAND,-8956,19492,-5072,-5534,-15741,11290,201
1729671652.3036942,RIGHT_HAND,-8272,16380,-3816,-4747,-20659,7609,202
1729671652.3486433,RIGHT_HAND,-9180,16048,-4420,-6261,-20207,4328,203
1729671652.3497038,RIGHT_HAND,-8892,17516,-3104,-2905,-19094,8,204
1729671652.3921056,RIGHT_HAND,-9852,17224,-3088,-1240,-16885,-1681,205
1729671652.3930566,RIGHT_HAND,-7812,16128,-4100,-119,-1476,-600,206
1729671652.4373426,RIGHT_HAND,-5956,15372,-1964,-2136,12723,506,207
1729671652.4817502,RIGHT_HAND,-3120,15456,84,-3802,19072,814,208
1729671652.4824662,RIGHT_HAND,-1056,16664,1840,-3019,16799,700,209
1729671652.5276983,RIGHT_HAND,248,16784,2428,-611,10262,143,210
1729671652.5714464,RIGHT_HAND,560,15896,2096,524,3044,-651,211
1729671652.6171136,RIGHT_HAND,-84,15400,1464,-91,-1843,-1117,212
1729671652.618036,RIGHT_HAND,-744,15724,944,-999,-3608,-1126,213
1729671652.6631584,RIGHT_HAND,-988,16108,32,-884,-2865,-385,214
1729671652.70878,RIGHT_HAND,-1304,16320,-672,-336,-2777,26,215
1729671652.7097008,RIGHT_HAND,-1708,16324,-772,35,-4273,66,216
1729671652.7981608,RIGHT_HAND,-2252,16020,-1024,105,-4276,272,217
1729671652.843028,RIGHT_HAND,-2500,15872,-1364,-461,-2989,400,218
1729671652.8438897,RIGHT_HAND,-2668,16444,-1252,-704,-1588,580,219
1729671652.844773,RIGHT_HAND,-2192,16480,-364,-793,-494,379,220
1729671652.8880153,RIGHT_HAND,-2048,16412,-148,-341,349,87,221
1729671652.933379,RIGHT_HAND,-1900,15880,-164,-320,816,6,222
1729671652.934326,RIGHT_HAND,-1696,15932,48,-1188,1231,-93,223
1729671652.9765742,RIGHT_HAND,-1512,16216,384,-1039,711,-85,224
1729671653.113538,RIGHT_HAND,-1544,16028,20,-350,-191,-90,225
