time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729671583.4524612,RIGHT_LEG,15260,-5020,5352,-447,-170,-3,79
1729671583.4983203,RIGHT_LEG,15216,-5188,5280,-133,-150,-87,81
1729671583.5416505,RIGHT_LEG,15228,-5060,5156,139,197,-327,83
1729671583.5871828,RIGHT_LEG,15172,-5016,4820,310,1092,-807,85
1729671583.7676463,RIGHT_LEG,15164,-5116,4240,703,2727,-1537,87
1729671583.8123593,RIGHT_LEG,15460,-5764,3956,1624,4117,-2024,88
1729671583.8134735,RIGHT_LEG,15316,-5660,4104,2472,5706,-2895,89
1729671583.9027011,RIGHT_LEG,15296,-6216,5440,3218,7161,-4181,90
1729671583.9041665,RIGHT_LEG,14688,-3380,8800,2283,7365,-4641,91
1729671583.9479487,RIGHT_LEG,14432,-2368,6192,371,7579,-4699,92
1729671583.9484122,RIGHT_LEG,12376,388,7704,3920,7998,-2899,93
1729671583.9933004,RIGHT_LEG,12484,-4432,9552,3463,7016,-3518,94
1729671583.994143,RIGHT_LEG,15748,-2620,7980,2149,8603,-5078,95
1729671584.0374696,RIGHT_LEG,10316,-700,10616,3432,7962,-4353,96
1729671584.0384712,RIGHT_LEG,14304,308,10528,1950,8086,-4231,97
1729671584.0393226,RIGHT_LEG,12372,-852,11132,2549,7358,-2965,98
1729671584.0402377,RIGHT_LEG,12980,-32,12844,1845,6413,-2515,99
1729671584.17238,RIGHT_LEG,11884,668,13952,1051,5121,-1708,100
1729671584.1735475,RIGHT_LEG,11856,1060,14884,183,3355,-588,101
1729671584.2178183,RIGHT_LEG,11564,396,15276,-1058,1323,467,102
1729671584.21896,RIGHT_LEG,11776,592,15820,-2093,-1166,1547,103
1729671584.2634428,RIGHT_LEG,11580,-200,15324,-3117,-3744,2481,104
1729671584.400012,RIGHT_LEG,11932,-892,14324,-4107,-5708,2752,105
1729671584.401316,RIGHT_LEG,12312,-1252,13476,-4733,-7039,2892,106
1729671584.4429135,RIGHT_LEG,12704,-1660,12064,-4664,-7772,3480,107
1729671584.444998,RIGHT_LEG,13536,-2316,10816,-5012,-8172,3840,108
1729671584.4872763,RIGHT_LEG,14216,-3068,10360,-5102,-8776,4545,109
1729671584.4887202,RIGHT_LEG,14492,-3552,9148,-4964,-8729,5022,110
1729671584.5347805,RIGHT_LEG,15476,-4556,8152,-4640,-8373,5524,111
1729671584.5390613,RIGHT_LEG,14920,-3560,7244,-3616,-7916,6070,112
1729671584.5796595,RIGHT_LEG,14088,-4356,6392,-3103,-6891,5930,113
1729671584.6222937,RIGHT_LEG,12660,-4248,6348,-2127,-6386,5460,114
1729671584.6234434,RIGHT_LEG,11400,-4052,5228,-1201,-5564,4925,115
1729671584.6683276,RIGHT_LEG,11544,-4104,4708,-107,-4109,3915,116
1729671584.6695468,RIGHT_LEG,12172,-5108,4692,467,-2419,2587,117
1729671584.7146764,RIGHT_LEG,13744,-5888,5224,-1508,-1015,272,118
1729671584.7157383,RIGHT_LEG,14928,-5580,5796,-1324,-270,41,119
1729671584.8026416,RIGHT_LEG,15096,-5268,6216,-1141,-74,9,120
1729671584.8475537,RIGHT_LEG,15028,-5580,5760,-63,161,244,121
1729671584.8497198,RIGHT_LEG,14260,-7492,6452,753,644,102,122
1729671584.8924234,RIGHT_LEG,14504,-7372,7088,-3019,1465,-1542,123
1729671584.8935266,RIGHT_LEG,14016,-4872,6948,-2047,1347,-1298,124
1729671584.9374602,RIGHT_LEG,14264,-5852,7952,-901,1019,-497,125
1729671584.9385786,RIGHT_LEG,14244,-5924,7860,-1716,494,-409,126
1729671585.027737,RIGHT_LEG,14980,-5632,8116,-1133,-311,307,127
1729671585.0288568,RIGHT_LEG,14296,-6244,7028,-1452,-633,235,128
1729671585.0726492,RIGHT_LEG,14724,-6092,6728,-1272,-749,192,129
1729671585.0737185,RIGHT_LEG,14964,-5916,7008,-717,-920,529,130
1729671585.117572,RIGHT_LEG,14276,-5704,7136,-773,-1210,453,131
