time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729672114.7550495,RIGHT_HAND,-1888,14996,-980,-2059,-5815,1305,126
1729672114.7988987,RIGHT_HAND,-1768,18212,236,-2117,-7191,997,128
1729672114.8441422,RIGHT_HAND,-1904,18364,1196,-1296,-9866,-477,130
1729672114.8893726,RIGHT_HAND,-2172,17812,-120,-610,-8338,-486,132
1729672114.978808,RIGHT_HAND,-1524,16852,912,279,-2421,-664,134
1729672114.979628,RIGHT_HAND,-860,16868,1132,612,-2048,-793,135
1729672115.0234675,RIGHT_HAND,-644,16636,1372,173,-1672,-670,136
1729672115.0683231,RIGHT_HAND,-280,15572,1560,1147,-2412,-1000,137
1729672115.0691452,RIGHT_HAND,-456,14420,1164,393,-3369,-1648,138
1729672115.1141129,RIGHT_HAND,-636,15240,56,-730,-2926,-1539,139
1729672115.2035236,RIGHT_HAND,-504,14812,-88,777,-318,-808,140
1729672115.2489471,RIGHT_HAND,-328,13308,436,631,-798,-1157,141
1729672115.2497213,RIGHT_HAND,-692,13976,184,-536,-3456,-1694,142
1729672115.2504938,RIGHT_HAND,-1484,14860,140,793,-3711,-2009,143
1729672115.293467,RIGHT_HAND,-1584,14280,-256,805,-3270,-1918,144
1729672115.2942884,RIGHT_HAND,-1684,15336,-280,-165,-2106,-1409,145
1729672115.3394454,RIGHT_HAND,-1560,16460,152,285,-1657,-557,146
1729672115.428355,RIGHT_HAND,-1456,17064,256,93,-2067,407,147
1729672115.4292357,RIGHT_HAND,-1576,17712,28,-214,-2944,998,148
1729672115.4734545,RIGHT_HAND,-1792,18616,364,802,-4196,777,149
1729672115.4742517,RIGHT_HAND,-2048,19520,576,1657,-5165,349,150
1729672115.4750473,RIGHT_HAND,-2016,21844,1672,960,-4504,481,151
1729672115.5187125,RIGHT_HAND,-1800,19948,2360,3307,-4869,788,152
1729672115.563717,RIGHT_HAND,-1288,14364,296,2848,-4868,193,153
1729672115.564207,RIGHT_HAND,-1412,12460,-1644,93,-3076,-588,154
1729672115.6538892,RIGHT_HAND,-1464,15140,-1100,-1609,1873,-663,155
1729672115.6985059,RIGHT_HAND,-776,17012,896,771,4971,-845,156
1729672115.699297,RIGHT_HAND,-36,16220,1640,1646,3694,-1942,157
1729672115.700077,RIGHT_HAND,56,15796,1664,1520,854,-3213,158
1729672115.743156,RIGHT_HAND,-292,15788,1052,1525,-569,-3291,159
1729672115.7439728,RIGHT_HAND,-380,15240,616,1278,-47,-2292,160
1729672115.7902462,RIGHT_HAND,-472,14508,420,519,158,-1130,161
1729672115.8332431,RIGHT_HAND,-816,14004,-272,-383,706,-118,162
1729672115.9681442,RIGHT_HAND,-1080,13840,-872,-967,2285,779,163
1729672115.9689603,RIGHT_HAND,-1220,14240,-472,-1325,3311,1331,164
1729672115.9700234,RIGHT_HAND,-1416,15056,-56,-1378,2823,1720,165
1729672115.970819,RIGHT_HAND,-1900,14648,-1720,-1491,3772,1523,166
1729672116.0140936,RIGHT_HAND,-1624,14768,-1088,-1721,5686,804,167
1729672116.0148964,RIGHT_HAND,-656,16428,532,-1049,3548,109,168
1729672116.1034873,RIGHT_HAND,-472,18276,1116,-384,-1766,-556,169
1729672116.1043067,RIGHT_HAND,-1016,17904,1256,101,-5882,-1432,170
1729672116.1490862,RIGHT_HAND,-1584,18700,664,-1683,-7388,-1892,171
1729672116.1498492,RIGHT_HAND,-2276,21076,-128,-2388,-5336,-1067,172
1729672116.1506245,RIGHT_HAND,-2336,18956,-1164,375,-251,204,173
1729672116.1945257,RIGHT_HAND,-1472,14964,-220,1439,3058,235,174
1729672116.2387202,RIGHT_HAND,-620,14668,408,-702,3064,-368,175
1729672116.3290973,RIGHT_HAND,-992,16632,368,-763,3311,403,176
1729672116.3298979,RIGHT_HAND,-1416,17264,-176,-1381,5738,2064,177
1729672116.3743057,RIGHT_HAND,-960,16760,1432,-1071,7195,2542,178
1729672116.3751562,RIGHT_HAND,20,14788,1568,290,4768,1738,179
1729672116.418504,RIGHT_HAND,-156,13104,316,-502,2045,1091,180
1729672116.4192924,RIGHT_HAND,-580,13020,-400,-746,2048,1210,181
1729672116.420072,RIGHT_HAND,-660,13680,552,-767,2961,1295,182
1729672116.4645512,RIGHT_HAND,-532,14316,1428,-321,1942,1075,183
1729672116.5535288,RIGHT_HAND,-896,14380,1076,-885,102,455,184
1729672116.5991142,RIGHT_HAND,-1376,15168,288,-1816,-110,19,185
1729672116.5998816,RIGHT_HAND,-1620,16156,20,-1526,1039,111,186
1729672116.6006649,RIGHT_HAND,-1492,16252,24,-930,2169,325,187
1729672116.6436918,RIGHT_HAND,-1212,16616,260,-1261,1721,355,188
1729672116.6446095,RIGHT_HAND,-1188,18176,248,-1785,277,125,189
1729672116.6881466,RIGHT_HAND,-1356,19272,616,-642,-1635,-453,190
1729672116.73445,RIGHT_HAND,-1564,20264,904,-121,-3243,-1222,191
1729672116.7352748,RIGHT_HAND,-1800,21700,1420,53,-3576,-1807,192
1729672116.7785454,RIGHT_HAND,-1612,19368,1496,2130,-3634,-2326,193
1729672116.8673913,RIGHT_HAND,-1148,13196,-968,3098,-3767,-3338,194
1729672116.867672,RIGHT_HAND,-1364,11504,-2348,18,-2118,-4020,195
1729672116.870748,RIGHT_HAND,-1432,14824,-1648,-1900,2286,-3720,196
1729672116.8711298,RIGHT_HAND,-604,17440,56,216,4832,-3120,197
1729672116.913134,RIGHT_HAND,156,17444,1592,657,3834,-3305,198
1729672117.002342,RIGHT_HAND,532,15876,788,1597,374,-3636,199
1729672117.0041504,RIGHT_HAND,-216,14240,-44,942,-1707,-3133,200
1729672117.048125,RIGHT_HAND,-828,14024,-628,115,-1264,-1950,201
1729672117.0489132,RIGHT_HAND,-1436,14076,-848,-296,355,-583,202
1729672117.094134,RIGHT_HAND,-1792,14552,-728,-1170,1661,475,203
1729672117.095148,RIGHT_HAND,-1408,15544,-484,-1255,1665,904,204
1729672117.1384807,RIGHT_HAND,-1656,15424,-696,-617,146,644,205
1729672117.2291708,RIGHT_HAND,-1960,14984,-1464,-330,-743,22,206
1729672117.2731524,RIGHT_HAND,-1728,15236,-2064,-248,-573,81,207
1729672117.2739115,RIGHT_HAND,-1524,16100,-2148,145,284,795,208
1729672117.274694,RIGHT_HAND,-1348,17792,-940,-1070,-382,1548,209
