time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729672032.2633178,RIGHT_LEG,7180,-1780,8756,5078,-5964,4202,242
1729672032.3521156,RIGHT_LEG,5000,-2220,6660,-7763,-19728,7581,244
1729672032.3970706,RIGHT_LEG,7640,-2324,9012,-8309,-32768,11006,246
1729672032.4881067,RIGHT_LEG,11636,216,14644,-10936,-32768,13912,248
1729672032.5318334,RIGHT_LEG,27156,1072,23324,-20807,-32768,14281,250
1729672032.5780709,RIGHT_LEG,10108,7684,20328,-2194,-11337,3222,252
1729672032.6224515,RIGHT_LEG,6412,4600,17628,14506,642,3743,253
1729672032.6667352,RIGHT_LEG,28840,-17712,-10552,12190,7825,-3042,254
1729672032.7117276,RIGHT_LEG,9932,5784,11820,13159,6876,163,255
1729672032.7122235,RIGHT_LEG,28872,1768,7256,3110,4370,-14187,1
1729672032.7571092,RIGHT_LEG,14144,-2120,2056,11090,7115,-3894,2
1729672032.757864,RIGHT_LEG,17656,-2576,3972,10868,5547,-1996,3
1729672032.8024368,RIGHT_LEG,16680,-7460,6116,3212,6455,-6682,4
1729672032.8475149,RIGHT_LEG,15208,288,5136,6964,6489,-4785,5
1729672032.8486736,RIGHT_LEG,16916,-3668,3312,3917,6232,-5114,6
1729672032.8921943,RIGHT_LEG,15248,-1224,4372,712,6786,-6562,7
1729672032.937529,RIGHT_LEG,15544,-2396,5880,-27,7103,-7084,8
1729672032.938622,RIGHT_LEG,16612,1924,5908,359,6691,-5696,9
1729672032.9850574,RIGHT_LEG,16308,364,6432,-1102,5908,-5581,10
1729672033.0718162,RIGHT_LEG,17496,492,8216,-1077,4807,-5344,11
1729672033.0720754,RIGHT_LEG,16372,-452,7708,-2261,4103,-5497,12
1729672033.1169415,RIGHT_LEG,16720,1252,6484,-1299,4186,-4959,13
1729672033.1175206,RIGHT_LEG,17096,736,5628,-1501,4786,-5250,14
1729672033.1624472,RIGHT_LEG,16480,-460,4364,-2186,6323,-6770,15
1729672033.1632686,RIGHT_LEG,16516,-1352,4588,-1160,8312,-7583,16
1729672033.2544322,RIGHT_LEG,16792,-1132,4108,-672,10977,-9017,17
1729672033.301871,RIGHT_LEG,18120,-2404,7340,-152,12344,-10183,18
1729672033.3418186,RIGHT_LEG,16712,-2868,8144,-2851,13782,-12414,19
1729672033.342286,RIGHT_LEG,23420,-6404,3292,-7163,15779,-15475,20
1729672033.3872488,RIGHT_LEG,21924,-1992,6048,-8868,18556,-15978,21
1729672033.3882034,RIGHT_LEG,27496,-1464,10968,-9399,22153,-15877,22
1729672033.4333599,RIGHT_LEG,19372,8912,12580,-16417,23341,-12922,23
1729672033.4344504,RIGHT_LEG,21428,11888,10072,-5817,15271,-4603,24
1729672033.477694,RIGHT_LEG,1452,8316,14968,2617,6382,4634,25
1729672033.5676713,RIGHT_LEG,5044,2136,7608,1984,-2506,4596,26
1729672033.5686429,RIGHT_LEG,7024,2616,6552,4198,-9625,10939,27
1729672033.6126943,RIGHT_LEG,5976,796,6244,644,-15632,14982,28
1729672033.613765,RIGHT_LEG,6584,1688,6808,-5082,-22707,13656,29
1729672033.702768,RIGHT_LEG,7404,2320,8584,-5036,-29362,15221,30
1729672033.7038562,RIGHT_LEG,8952,4560,11728,-1155,-32768,17393,31
1729672033.7474823,RIGHT_LEG,11084,2044,10700,-5117,-32768,17279,32
1729672033.748329,RIGHT_LEG,15740,3648,17428,-19964,-32768,13526,33
1729672033.7924564,RIGHT_LEG,23772,-340,23112,-28389,-32768,8523,34
1729672033.7935002,RIGHT_LEG,20176,3988,23084,-29058,-28461,-809,35
1729672033.8375459,RIGHT_LEG,14592,5908,17580,-15043,-16781,-1102,36
1729672033.8386662,RIGHT_LEG,7136,4084,17612,6781,-3879,3281,37
1729672033.882752,RIGHT_LEG,11404,-1020,12012,17042,6603,-1002,38
1729672033.9276953,RIGHT_LEG,28900,-8708,-6800,12707,-525,-3798,39
1729672033.9285817,RIGHT_LEG,17636,-6536,6132,11052,7743,-1628,40
1729672033.973492,RIGHT_LEG,15652,-4816,6836,7914,7515,-6985,41
