time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730447430.3670685,RIGHT_HAND,-1924,16524,4312,-3021,-6704,3487,91
1730447430.3678656,RIGHT_HAND,-2496,17184,3860,-4021,-6689,767,92
1730447430.41139,RIGHT_HAND,-3428,18408,2828,-1973,-789,-4439,94
1730447430.5009344,RIGHT_HAND,-2320,15156,2216,-834,7164,-10481,96
1730447430.5912945,RIGHT_HAND,-1336,20696,4124,-413,11108,-14562,98
1730447430.6369276,RIGHT_HAND,284,20752,6288,3584,13681,-16524,100
1730447430.6814594,RIGHT_HAND,184,18320,6020,4333,12124,-17379,101
1730447430.6826606,RIGHT_HAND,412,17288,5596,4276,8990,-17947,102
1730447430.7261477,RIGHT_HAND,600,17220,5072,4275,6967,-17544,103
1730447430.7270563,RIGHT_HAND,504,16304,4760,4480,5651,-15854,104
1730447430.7712374,RIGHT_HAND,288,15636,4152,4027,4603,-13363,105
1730447430.816868,RIGHT_HAND,24,15196,3756,3162,4105,-10705,106
1730447430.8174372,RIGHT_HAND,380,15232,3704,2323,3793,-7890,107
1730447430.8609195,RIGHT_HAND,568,14432,3780,2053,2807,-5410,108
1730447430.9061265,RIGHT_HAND,492,13832,3676,1915,1441,-3013,109
1730447430.906997,RIGHT_HAND,244,14504,3244,604,-20,-151,110
1730447430.996219,RIGHT_HAND,144,15640,3216,202,-1080,2571,111
1730447431.04105,RIGHT_HAND,224,15712,3588,690,-3122,4711,112
1730447431.0418994,RIGHT_HAND,280,18448,4736,-877,-6303,7731,113
1730447431.04269,RIGHT_HAND,188,20772,6092,-249,-8133,10094,114
1730447431.1310625,RIGHT_HAND,28,17416,5548,1241,-10710,9995,115
1730447431.1319516,RIGHT_HAND,-228,16272,4992,-1742,-15499,10621,116
1730447431.1765134,RIGHT_HAND,-660,17280,4484,-2616,-18114,9707,117
1730447431.177393,RIGHT_HAND,-1484,18200,4332,-2259,-18390,9570,118
1730447431.178145,RIGHT_HAND,-1888,18360,4996,-760,-15860,9419,119
1730447431.2210286,RIGHT_HAND,-1400,17140,5752,860,-13159,8747,120
1730447431.2662542,RIGHT_HAND,-988,15984,6288,743,-13762,7712,121
1730447431.3112862,RIGHT_HAND,-560,15980,6884,-173,-15904,6726,122
1730447431.3121305,RIGHT_HAND,-1000,16140,6748,-1097,-18434,5952,123
1730447431.3566573,RIGHT_HAND,-1760,15892,5696,-1750,-19410,5891,124
1730447431.401167,RIGHT_HAND,-2640,15800,4672,-2140,-18498,6706,125
1730447431.4020386,RIGHT_HAND,-3148,16692,5004,-2605,-16065,7758,126
1730447431.5361814,RIGHT_HAND,-3460,17120,5204,-2498,-13611,7634,127
1730447431.6262536,RIGHT_HAND,-3764,16212,4032,-2935,-10348,6197,128
1730447431.6270757,RIGHT_HAND,-4000,16528,3580,-4326,-7448,5135,129
1730447431.627805,RIGHT_HAND,-3596,17324,3984,-4264,-4918,3747,130
