time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730447322.6846879,RIGHT_LEG,15836,11116,664,1532,10773,-4943,132
1730447322.7726874,RIGHT_LEG,14896,6820,6008,5983,10096,-787,133
1730447322.7743354,RIGHT_LEG,15608,5360,4416,-3561,8329,-3881,134
1730447322.8182986,RIGHT_LEG,14400,8108,4784,2271,8487,631,135
1730447322.8630037,RIGHT_LEG,15788,3620,4544,-1067,7793,-401,136
1730447322.9083114,RIGHT_LEG,14680,6148,4504,-2722,8054,-843,137
1730447322.9092333,RIGHT_LEG,15200,5116,6732,-417,8402,152,138
1730447322.9532654,RIGHT_LEG,14696,4152,7740,-2397,7231,-795,139
1730447322.998487,RIGHT_LEG,14844,4592,8308,-1667,6485,-607,140
1730447322.999453,RIGHT_LEG,14984,4364,7604,-2095,5957,-896,141
1730447323.0426574,RIGHT_LEG,14760,5236,6820,-1831,6311,-789,142
1730447323.044282,RIGHT_LEG,14560,4220,6100,-1798,7583,-635,143
1730447323.1335793,RIGHT_LEG,15732,5044,6192,-1883,9419,-68,144
1730447323.1780214,RIGHT_LEG,16208,4852,6760,-2478,11128,32,145
1730447323.1787972,RIGHT_LEG,15680,5180,7096,-3444,12748,295,146
1730447323.1795378,RIGHT_LEG,15892,4516,7364,-3850,14093,388,147
1730447323.2229478,RIGHT_LEG,15896,3684,7380,-5419,15102,-625,148
1730447323.268175,RIGHT_LEG,19368,3636,6428,-10066,15192,-2726,149
1730447323.3135562,RIGHT_LEG,26776,5352,1160,-19018,13939,-7589,150
1730447323.3142788,RIGHT_LEG,23540,6544,6704,-20117,15753,-5423,151
1730447323.3580327,RIGHT_LEG,23104,7148,15784,-30990,18744,-2614,152
1730447323.4029894,RIGHT_LEG,18664,16352,17636,-25318,16241,68,153
1730447323.4037273,RIGHT_LEG,9128,11796,11944,-598,10949,7225,154
1730447323.4479358,RIGHT_LEG,6312,2572,8740,5972,1182,5050,155
1730447323.4929981,RIGHT_LEG,4680,3384,4176,6103,-8857,4336,156
1730447323.4937282,RIGHT_LEG,4672,1536,7872,16860,-16398,7869,157
1730447323.5839229,RIGHT_LEG,6888,1352,7252,23371,-24117,8144,158
1730447323.6731973,RIGHT_LEG,7472,-196,9900,19821,-30958,7691,159
1730447323.6739295,RIGHT_LEG,8048,372,12544,19306,-32768,6161,160
1730447323.6746454,RIGHT_LEG,10692,3736,14852,22166,-32768,7727,161
1730447323.808413,RIGHT_LEG,15060,6144,22196,15545,-32768,5795,162
1730447323.809087,RIGHT_LEG,19200,6124,25988,19140,-32768,4096,163
1730447323.8098173,RIGHT_LEG,19204,4216,27908,16696,-32768,4084,164
1730447323.8979902,RIGHT_LEG,8400,6540,20620,2983,-18692,-38,165
1730447323.898693,RIGHT_LEG,7240,4668,17844,13780,-2241,4114,166
1730447323.8993726,RIGHT_LEG,7864,-3724,16640,-596,8400,-2781,167
1730447323.9001186,RIGHT_LEG,32767,-2228,-16464,-24025,7996,-14008,168
1730447323.9435925,RIGHT_LEG,8760,13752,16080,9113,7293,5400,169
1730447323.9443219,RIGHT_LEG,26176,6844,3504,2806,13367,-10399,170
1730447323.9879289,RIGHT_LEG,13164,-12432,3924,4301,9657,-3103,171
1730447323.9885967,RIGHT_LEG,15976,8796,764,-1289,8726,-6121,172
1730447323.989256,RIGHT_LEG,14980,9764,4640,6477,9484,-26,173
1730447324.168457,RIGHT_LEG,15888,3628,4344,-1736,7357,-2311,174
1730447324.1711376,RIGHT_LEG,15052,8592,3308,-2836,7300,-958,175
1730447324.1721401,RIGHT_LEG,15932,3336,3592,1303,8212,1164,176
1730447324.1732855,RIGHT_LEG,16060,4824,4892,-3240,7513,-1033,177
1730447324.3029463,RIGHT_LEG,14648,4744,5680,-2672,7334,-614,178
1730447324.303623,RIGHT_LEG,14772,4576,5912,-2606,7313,-194,179
1730447324.3043344,RIGHT_LEG,15176,4380,7436,-2774,6692,-272,180
1730447324.3049805,RIGHT_LEG,15368,4088,7348,-2679,6070,-102,181
1730447324.4828825,RIGHT_LEG,14188,3780,5940,-2230,6730,97,182
1730447324.4835403,RIGHT_LEG,14604,4148,5396,-1792,8423,512,183
1730447324.4842033,RIGHT_LEG,15436,4116,5348,-1653,10576,980,184
1730447324.573239,RIGHT_LEG,16224,4624,7044,-1585,12356,1443,185
1730447324.6178648,RIGHT_LEG,15812,2208,8512,-1384,13593,1818,186
1730447324.6185637,RIGHT_LEG,15816,2964,8484,-2272,14663,1707,187
1730447324.6192455,RIGHT_LEG,17896,3020,8876,-3808,15002,1134,188
1730447324.662871,RIGHT_LEG,20176,3328,5692,-8991,15217,-1294,189
1730447324.663533,RIGHT_LEG,27476,5776,1348,-14974,16135,-2384,190
1730447324.6641953,RIGHT_LEG,26208,4904,4784,-15318,16114,-2212,191
1730447324.798192,RIGHT_LEG,22384,12996,11008,-20087,17284,2100,192
1730447324.7989957,RIGHT_LEG,16132,15056,18808,-13444,16890,10428,193
1730447324.7998116,RIGHT_LEG,12532,12268,16560,-2287,11565,12879,194
1730447324.8004553,RIGHT_LEG,3004,5300,12564,7941,3315,15394,195
1730447324.801165,RIGHT_LEG,7428,3256,6492,2826,-6175,12469,196
1730447324.842958,RIGHT_LEG,756,8356,8376,14368,-13105,18237,197
1730447324.887904,RIGHT_LEG,2640,4828,7352,17953,-22299,15972,198
1730447324.933503,RIGHT_LEG,7200,9144,9352,19489,-28350,15668,199
1730447324.9341555,RIGHT_LEG,6448,10576,11808,21772,-32768,12288,200
1730447324.9348426,RIGHT_LEG,9796,9448,15368,25643,-32768,10455,201
1730447325.022863,RIGHT_LEG,12720,10188,17820,24067,-32768,7059,202
1730447325.0235384,RIGHT_LEG,17924,7852,22972,22187,-32768,1524,203
1730447325.068068,RIGHT_LEG,18760,7356,24472,12719,-32768,-2550,204
1730447325.0689118,RIGHT_LEG,13800,2440,20028,5638,-27619,-3054,205
1730447325.1578984,RIGHT_LEG,8376,7232,19792,6058,-12668,-3504,206
1730447325.1586425,RIGHT_LEG,6976,144,18800,14930,2101,1110,207
1730447325.1592777,RIGHT_LEG,8084,-568,17220,10347,12011,-1838,208
1730447325.2928865,RIGHT_LEG,27860,-2888,-6692,-13021,12211,-10709,209
1730447325.2935429,RIGHT_LEG,11428,26620,10360,22384,8691,7767,210
1730447325.2942052,RIGHT_LEG,30696,-13020,4560,11527,14799,-5246,211
